Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa
2024-09-30,4.94910,,4.94910,0.23540,0.00130,,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,11.50000,11.50000,0.41000,0.41000,100.00000,95.27050,95.27050,95.27050,95.27060,1.16690,111.17290,111.17290
2024-06-30,4.01940,,4.01940,0.12620,-0.09820,,3.79500,3.79500,3.79500,3.79500,3.79500,3.79500,3.79500,11.50000,11.50000,0.33000,0.33000,100.00000,94.41800,94.41800,94.41800,94.41800,0.86500,81.67530,81.67530
2024-03-31,5.55910,,5.55910,0.31470,0.10320,,5.34750,5.34750,5.34750,5.34750,5.34750,5.34750,5.34750,11.50000,11.50000,0.46500,0.46500,100.00000,96.19440,96.19440,96.19440,96.19440,1.12530,108.24560,108.24560
2023-12-31,4.55360,,4.55360,0.33230,0.14870,,4.37000,4.37000,4.37000,4.37000,4.37000,4.37000,4.37000,11.50000,11.50000,0.38000,0.38000,100.00000,95.96800,95.96800,95.96800,95.96800,0.83460,80.09410,80.09410
2023-09-30,3.93920,,3.93920,0.14370,-0.05800,,3.73750,3.73750,3.73750,3.73750,3.73750,3.73750,3.73750,11.50000,11.50000,0.32500,0.32500,100.00000,94.88070,94.88070,94.88070,94.88070,0.65500,62.14230,62.14230
2023-06-30,4.38950,,4.38950,0.24230,-0.17970,,3.96750,3.96750,3.96750,3.96750,3.96750,3.96750,3.96750,11.50000,11.50000,0.34500,0.34500,100.00000,90.38620,90.38620,90.38620,90.38620,0.68840,62.22380,62.22380
2023-03-31,5.18630,,5.18630,0.33250,-0.13880,,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,4.71500,11.50000,11.50000,0.41000,0.41000,100.00000,90.91260,90.91260,90.91260,90.91260,0.78610,71.46640,71.46640
2022-12-31,8.20290,,8.20290,0.17740,-0.14800,,7.87750,7.87750,7.87750,7.87750,7.87750,7.87750,7.87750,11.50000,11.50000,0.68500,0.68500,100.00000,96.03340,96.03340,96.03340,96.03340,1.19170,114.43940,114.43940
2022-09-30,8.67440,,8.67440,0.19770,-0.42680,,8.05000,8.05000,8.05000,8.05000,8.05000,8.05000,8.05000,11.50000,11.50000,0.70000,0.70000,100.00000,92.80150,92.80150,92.80150,92.80150,1.20860,112.15740,112.15740
2022-06-30,5.24260,,5.24260,0.22880,-0.12630,,4.88750,4.88750,4.88750,4.88750,4.88750,4.88750,4.88750,11.50000,11.50000,0.42500,0.42500,100.00000,93.22660,93.22660,93.22660,93.22660,0.72800,67.86480,67.86480
