Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,19.59300,17.95710,1.63590,3.38370,3.38370,-1.74780,-0.64480,-2.39260,-2.39260,-2.39260,-3.37220,-1.32710,-1.74780,16.35800,16.35800,-0.21000,-0.21000,0.05830,0.27090,-8.92050,-8.92050,-12.21160,-17.21130,0.99520,-23.02720,70.68580,-12.15330,-21.68380,0.55980,-0.028,-0.0283
2024-06-30,19.05140,17.46510,1.58630,3.42670,3.42680,-1.84040,-0.42580,-2.26620,-2.26620,-2.26620,-2.32010,-1.40920,-1.84040,14.86400,14.86400,-0.16000,-0.16000,0.06030,0.24280,-9.66030,-9.66030,-11.89540,-12.17800,1.01730,-22.51710,68.79190,-12.10120,-21.16040,0.66500,-0.0508,-0.0508
2024-03-31,13.08890,11.92690,1.16200,5.74570,5.74570,-4.58370,-0.08130,-4.66500,-4.66500,-4.66500,-4.82950,-4.25450,-4.58370,13.67300,13.67300,-0.35000,-0.35000,0.06090,0.13110,-35.01990,-35.01990,-35.64070,-36.89740,0.80430,-46.72390,264.62710,-28.66750,-43.88060,0.70050,-0.03940,-0.03940
2023-12-31,11.43880,10.46810,0.97070,6.93930,6.93920,-5.96850,-0.11890,-6.08750,-6.08750,-6.08750,-7.55470,-5.80610,-5.96850,7.29300,7.29300,-0.98000,-0.98000,0.05920,0.06340,-52.17810,-52.17810,-53.21780,-66.04420,0.79830,-62.32660,1071.74000,-42.48350,-58.63390,0.72860,-0.1869,-0.1869
2023-09-30,6.79230,6.21680,0.57550,0.99300,0.99290,-0.41750,0.07360,-0.34380,-0.34380,-0.34380,-0.34380,-0.16500,-0.41750,6.18100,6.18100,-0.06000,-0.06000,0.32920,1.11380,-6.14600,-6.14600,-5.06220,-5.06220,1.17770,-47.58920,-47.58920,-5.96160,-31.92400,0.11500,-0.0467,-0.0467
2023-06-30,7.48670,6.81950,0.66720,0.95740,0.95730,-0.29010,-0.11340,-0.40350,-0.40350,-0.40350,-0.40350,-0.20780,-0.29010,6.00400,6.00400,-0.07000,-0.07000,,,-3.87510,-3.87510,-5.38950,-5.38950,,,,,,,0.0191,0.0191
2023-03-31,6.04160,5.41390,0.62770,1.04400,1.04400,-0.41620,-0.57270,-0.98900,-0.98900,-0.98900,-0.98900,0.17640,-0.41620,6.00300,6.00300,-0.16000,-0.16000,,,-6.88960,-6.88960,-16.36890,-16.36890,,,,,,,-0.04530,-0.04530
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0.1075,0.1075
2022-09-30,6.13190,5.58270,0.54920,1.18600,1.18600,-0.63680,-0.05560,-0.69240,-0.69240,-0.69240,-0.69240,-0.63680,-0.63680,6.00000,6.00000,-0.12000,-0.12000,,,-10.38530,-10.38530,-11.29120,-11.29120,,,,,,,-0.1075,-0.1075
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
