Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,0.05490,-0.05490,0.23310,1.16390,1.89300,-1.94790,-0.00160,-1.94940,-1.94940,-1.94940,-1.94940,-1.45190,-1.94790,3.92040,3.92040,-0.50000,-0.50000,7.83100,,,,,,,,-31.76690,-31.78490,-29.13200,-31.76690,1.08150,0.0135,0.0101
2024-06-30,,0.05020,-0.05020,0.15960,0.95120,1.60420,-1.65440,-0.64900,-2.30340,-2.30340,-2.30340,-2.30340,-1.16100,-1.65440,2.67770,2.67770,-0.86000,-0.86000,5.56460,,,,,,,,-48.92000,-48.95400,-44.80890,-48.91990,1.68520,0.2778,0.3226
2024-03-31,,0.04820,-0.04820,0.16550,1.35720,2.00640,-2.05460,-0.15270,-2.20730,-2.20730,-2.20730,-2.20730,-1.57090,-2.05460,1.11390,1.11390,-1.98000,-1.98000,0.65790,1.55250,,,,,,,-113.28420,-113.49480,-35.45900,-113.28430,0.88810,-1.26140,-1.50680
2023-12-31,,0.05090,-0.05090,0.16340,1.31080,1.96420,-2.01510,-0.19770,-2.21280,-2.21280,-2.21280,-2.21280,-1.52510,-2.01510,0.68120,0.68120,-2.27000,-2.27000,0.21660,7.19520,,,,,,,-526.33370,-531.32880,-50.25700,-526.34050,0.49230,-2.3444,-2.9273
2023-09-30,,0.04350,-0.04350,0.22710,1.09380,1.78610,-1.82960,-0.28690,-2.11650,-2.11650,-2.11650,-2.11650,-1.36440,-1.82960,0.79790,0.79790,-2.65000,-2.65000,0.62220,1.23960,,,,,,,-87.63870,-87.63860,-35.02790,-87.63860,3.02680,-0.661,-0.7301
2023-06-30,,0.04500,-0.04500,0.18040,1.11630,1.73930,-1.78430,-0.53860,-2.32290,-2.32290,-2.32290,-2.32290,-1.34170,-1.78430,0.61410,0.61410,-3.78000,-3.78000,1.08260,0.65540,,,,,,,-53.62370,-53.62380,-30.12020,-53.62380,5.42910,-1.5022,-1.834
2023-03-31,,0.04230,-0.04230,0.21010,1.15190,1.80510,-1.84740,-0.30790,-2.15530,-2.15530,-2.15530,-2.15530,-1.40440,-1.84740,0.51000,0.51000,-4.23000,-4.23000,0.11510,0.96740,,,,,,,-102.86680,-102.86670,-46.57040,-102.86670,4.07600,-2.10430,-2.63480
2022-12-31,,0.05190,-0.05190,0.17330,1.10070,1.54360,-1.59550,-0.16800,-1.76350,-1.76350,-1.76350,-1.76350,-1.32590,-1.59550,0.50010,0.50010,-3.54000,-3.54000,0.73470,0.46130,,,,,,,-45.80390,-45.80390,-28.85510,-45.80390,7.60890,-2.268,-2.7788
2022-09-30,,0.03270,-0.03270,0.18160,0.83910,1.29560,-1.32830,-0.00200,-1.33030,-1.33030,-1.33030,-1.33030,-1.05350,-1.32830,0.50060,0.50060,-2.75000,-2.75000,2.32450,,,,,,,,-27.90470,-27.90470,-25.57150,-27.90470,9.52330,-1.9762,-2.7651
2022-06-30,,0.04350,-0.04350,0.15130,1.58260,2.00490,-2.04840,-0.00200,-2.05040,-2.05040,-2.05040,-2.05040,-1.77740,-2.04840,0.50060,0.50060,-4.00000,-4.00000,7.32710,,,,,,,,-33.37590,-33.37580,-31.69210,-33.37580,12.27190,-2.7925,-4.0205
2022-03-31,,0.05260,-0.05260,0.14880,1.37480,1.69960,-1.75220,-0.00100,-1.75330,-1.75330,-1.75330,-1.75330,-1.57610,-1.75220,0.49860,0.49860,-3.50000,-3.50000,16.53120,,,,,,,,-22.15090,-22.15090,-21.42200,-22.15090,15.81110,-2.46700,-3.80080
2021-12-31,,0.02020,-0.02020,0.15490,1.38810,1.62590,-1.64610,0.27290,-1.37860,-1.37860,-1.37860,-1.37860,-1.56330,-1.64610,0.41590,0.41590,16.50000,16.50000,28.42960,,,,,,,,-14.64940,-14.64940,-14.31000,-14.64940,18.94920,-4.4295,-6.2086
2021-09-30,,0.03650,-0.03650,0.11930,1.81760,2.01560,-2.05210,-0.00270,-2.04940,-2.04940,-2.04940,-2.04940,-1.97340,-2.05210,0.49510,0.49510,-4.25000,-4.25000,12.92710,0.02590,,,,,,,-19.85920,-19.85920,-18.72480,-19.85920,20.78060,-1.7883,-2.4685
2021-06-30,,0.07610,-0.07610,0.07830,0.84620,0.92730,-1.00340,0.24990,-0.75350,-0.75350,-0.75350,-0.75350,-1.00060,-1.00340,0.45170,0.45170,-1.75000,-1.75000,2.46890,0.34590,,,,,,,-11.49330,-11.49330,-8.17030,-11.49330,14.51510,1.5096,1.6322
2021-03-31,,0.05740,-0.05740,0.04700,0.76120,0.81030,-0.86770,-8.42880,-9.29650,-9.29650,-9.29650,-9.29650,-0.86560,-0.86770,0.21630,0.21630,-43.00000,-43.00000,2.58890,0.34770,,,,,,,-127.45650,-127.45660,-88.98850,-127.45660,16.14830,-8.44740,-9.84390
2020-12-31,0.00100,0.05720,-0.05620,-0.12740,-0.08500,0.15960,-0.21580,-0.35200,-0.57200,-0.57200,-0.57200,-0.57200,-0.21520,-0.21580,0.01940,0.01940,-27.25000,-27.25000,0.00770,-0.90830,,,,,,0.00040,4.36530,4.36530,-24.74300,4.36530,-675.42520,-20.1307,-36.7898
2020-09-30,,0.04240,-0.04240,0.09100,0.35360,0.44450,-0.48690,-0.44130,-0.92720,-0.92720,-0.92720,-0.92720,-0.48590,-0.48690,0.01940,0.01940,-47.75000,-47.75000,,,,,,,,,,,,,,-19.6156,-28.3389
2020-06-30,0.04510,0.16370,-0.11860,0.09720,0.63000,0.72720,-0.84580,-0.47360,-1.31940,-1.31940,-1.31940,-1.31940,-0.66060,-0.84580,0.01940,0.01940,-68.25000,-68.25000,,,-263.02910,-1875.29200,-1875.29200,-2925.22900,-2925.22900,,,,,,,-34.6836,-43.6345
2020-03-31,0.06480,0.13870,-0.07390,0.04460,0.71400,0.75850,-0.83240,-0.40050,-1.23300,-1.23300,-1.23300,-1.23300,-0.64730,-0.83240,0.01880,0.01880,-65.50000,-65.50000,,,-114.06540,-1285.11000,-1285.11000,-1903.46900,-1903.46900,,,,,,,-28.15720,-38.62860
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
