Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2035.50000,1264.90000,770.60010,486.90000,31.50000,496.50000,274.10010,274.09990,35.90000,238.20000,238.20000,,239.10000,396.40010,315.19980,114.00000,114.50000,2.10000,2.09000,1.07690,0.41070,0.99030,37.85800,13.46600,15.48510,13.46600,11.74650,0.18120,0.97820,1.12960,79.67580,6.48130,-17.20600,2.12070,3.81940,32.49510,3.7656,3.2025
2024-06-30,2050.60000,1255.80000,794.80000,500.60000,1.80000,539.80000,255.00010,255.00000,23.90000,231.10000,231.10000,,232.00000,374.50010,296.00010,113.70000,114.20000,2.03000,2.02000,1.03520,0.42210,1.05150,38.75940,12.43540,14.43480,12.43540,11.31380,0.18330,0.92580,1.09360,82.29740,6.59650,-14.90290,2.06550,3.81180,30.86700,2.451,2.0891
2024-03-31,2126.00000,1292.60000,833.40000,501.40000,17.60000,523.00000,310.40000,310.40000,45.10000,265.30000,265.30000,,266.20000,430.40000,349.60000,114.30000,114.80000,2.32000,2.31000,1.11100,0.40980,0.98640,39.20040,14.60020,16.44400,14.60020,12.52120,0.18700,0.93350,1.08460,82.98120,7.12790,-19.18160,2.33390,4.20680,32.64910,1.0445,0.5965
2023-12-31,2052.10000,1257.50000,794.60010,513.70000,12.00000,535.00000,259.60010,259.60000,46.90000,212.70000,212.70000,,215.20000,369.80010,292.90010,114.60000,115.20000,1.87000,1.86000,1.24920,0.43050,0.89100,38.72130,12.65050,14.27320,12.65050,10.48680,0.18110,0.85310,1.06060,84.85990,5.61640,-15.52550,1.87680,3.19840,33.04630,0.28300,-0.30640
2023-09-30,2562.90000,1507.40000,1055.50000,551.59990,2.00000,738.10000,317.40040,317.39990,111.70000,205.70000,205.70000,,302.90000,574.30040,348.40040,114.80000,115.60000,2.63000,2.60000,1.45920,0.43340,0.79240,41.18380,12.38440,13.59400,12.38440,11.81860,0.22670,1.07300,1.18250,76.11140,5.49500,-32.23130,1.81970,3.11370,32.60800,7.2621,6.7154
2023-06-30,2238.70000,1323.30000,915.39990,501.40000,92.20000,443.60000,471.79980,471.80000,73.10000,398.70000,398.70000,,400.20000,568.29980,506.19980,114.80000,115.60000,3.47000,3.45000,1.12210,0.44180,1.03630,40.88980,21.07470,22.61130,21.07470,17.87650,0.19060,0.92200,0.99720,90.25330,11.00710,-41.45350,3.39510,6.14420,31.52480,2.4369,2.077
2023-03-31,2275.40000,1342.90000,932.49990,501.20000,-44.10000,581.10000,351.39980,351.40000,56.50000,294.90000,294.90000,,300.30000,449.29980,387.19980,114.80000,115.60000,2.60000,2.59000,1.08090,0.45500,1.16160,40.98180,15.44340,17.01680,15.44340,13.19770,0.19840,1.01080,1.11230,80.91060,8.58390,-25.42900,2.57130,4.67830,29.89990,1.618,1.3457
2022-12-31,1981.00000,1167.40000,813.60000,469.50000,157.90000,345.70000,467.90000,467.90000,89.20000,378.70000,378.70000,,384.00000,559.80000,502.00000,114.80000,115.50000,3.33000,3.31000,1.03010,0.47250,1.25710,41.07020,23.61940,25.34070,23.61940,19.38420,0.17770,0.91890,1.07700,83.56690,11.83220,-27.88450,3.39650,6.24150,27.87980,0.57400,0.36450
2022-09-30,2126.30000,1239.90000,886.40010,448.70000,0.80000,480.60000,405.80020,405.80000,69.80000,335.99990,335.99990,,338.90000,499.20020,438.50020,115.90000,116.70000,2.92000,2.91000,1.01080,0.48730,1.27170,41.68740,19.08480,20.62270,19.08480,15.93850,0.19760,1.17620,1.22430,73.50940,11.13800,-23.84160,3.12310,5.70990,26.18660,3.4162,3.068
2022-06-30,1968.70000,1166.30000,802.39990,442.00000,14.60000,458.20000,344.19980,344.20000,49.40000,294.80000,294.80000,,297.90000,431.79980,374.99980,116.00000,116.50000,2.56000,2.55000,1.06430,0.56330,1.51390,40.75790,17.48360,19.04810,17.48360,15.13180,0.18230,1.17920,1.15660,77.81680,10.97710,-16.08380,2.72970,4.79370,23.27210,2.964,2.8033
2022-03-31,1808.10000,1144.00000,664.10000,428.50000,-164.40000,623.00000,41.10000,41.10000,-8.30000,49.40000,49.40000,,53.90000,133.70000,71.20000,116.20000,117.10000,0.46000,0.46000,1.08500,0.54190,1.40180,36.72920,2.27310,3.93780,2.27310,2.98100,0.16870,1.22850,1.14980,78.27280,1.68610,-2.97810,0.46100,0.77240,25.19260,0.7752,0.3913
2021-12-31,1857.30000,1108.20000,749.10010,447.50000,10.50000,466.60000,282.50010,282.50000,43.60000,238.90000,238.90000,,241.50000,371.00010,312.10010,116.00000,117.30000,2.08000,2.05000,1.07490,0.55280,1.45180,40.33270,15.21030,16.80400,15.21030,13.00280,0.17290,1.27540,1.24870,72.07560,8.51150,-13.20180,2.22370,3.80660,24.15490,-0.10230,-0.41860
2021-09-30,1807.80000,1088.40000,719.39990,447.20000,-241.60000,715.10000,4.29990,4.29990,-70.30000,74.59990,74.59990,,79.20010,84.69990,30.59980,116.00000,117.10000,0.67000,0.66000,1.02380,0.56260,1.47770,39.79420,0.23790,1.69270,0.23790,4.38100,0.16890,1.36370,1.26910,70.91770,2.76900,-3.81860,0.69710,1.21130,23.22500,1.7353,1.3626
2021-06-30,1848.20000,1083.80000,764.39990,436.90000,8.40000,450.90000,313.49990,313.50000,44.50000,269.00000,269.00000,,271.30000,381.69990,335.89990,116.00000,117.00000,2.34000,2.32000,1.33790,0.43400,0.77640,41.35920,16.96240,18.17440,16.96250,14.67920,0.21560,1.47580,1.29150,69.68890,10.43400,180.17470,3.13770,5.90530,22.22500,3.9488,3.739
2021-03-31,1776.10000,1008.70000,767.40000,421.30000,184.90000,259.70000,507.70000,507.70000,97.40000,410.30000,410.30000,,415.00000,576.90000,530.99990,116.10000,117.10000,3.57000,3.54000,1.38770,0.48170,0.94140,43.20700,28.58510,29.89700,28.58510,23.36580,0.21350,1.48100,1.21760,73.91640,19.27470,-139.84330,4.93290,9.99000,18.33510,2.1255,1.9112
2020-12-31,1565.30000,918.80000,646.50010,374.60000,451.40000,-54.20000,700.70010,700.70000,110.30000,590.40000,590.40000,,592.60000,767.30000,723.30000,116.10000,117.10000,5.11000,5.06000,1.33970,0.51380,1.13720,41.30200,44.76460,46.20840,44.76460,37.85860,0.19160,1.43430,1.13510,79.28830,31.50820,-103.81570,7.22560,15.31880,16.12570,2.95900,2.72840
2020-09-30,1570.00000,930.70010,639.29970,354.40010,40.90000,339.69990,299.59940,299.59990,35.90000,263.70000,263.70000,,262.70000,370.79940,325.79950,115.80000,116.60000,2.27000,2.25000,1.48320,0.59450,1.48450,40.71980,19.08280,20.75160,19.08280,16.73250,0.21610,1.59370,1.25690,71.60450,19.57980,-33.68680,3.62990,7.93920,11.59040,2.7825,2.5958
