Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,60.28000,60.28000,0.09700,-5.49600,54.68700,-18.06200,0.00000,-0.01800,36.64300,36.64300,36.64300,50.46600,54.68700,54.68890,54.68890,0.58000,0.58000,1.69370,0.52490,1.10480,100.00000,90.72160,90.72160,,60.78800,0.02820,2.53450,35.51030,3.69900,3.69900,1.71220,1.75740,18.15250,-0.7818,-0.7818
2024-06-30,55.08900,55.08900,8.43500,3.07500,49.72900,-29.80600,19.92300,-0.28200,20.20500,20.20500,20.20500,61.64100,49.72900,54.78900,54.78900,0.37000,0.37000,1.21410,0.50860,1.03480,100.00000,90.27030,90.27030,36.16510,36.67700,0.02640,2.62970,34.22480,2.04840,2.04840,0.97000,1.00670,18.03040,-3.0226,-3.0226
2024-03-31,51.59500,51.59500,9.38000,4.45900,46.67400,-16.50900,30.16500,0.14100,30.02400,30.02400,30.02400,42.89700,46.67400,52.75840,52.75840,0.57000,0.57000,1.34580,0.45010,0.81870,100.00000,90.46230,90.46230,58.46500,58.19170,0.02750,3.12910,28.76270,3.00770,3.00770,1.60090,1.65380,18.21060,-1.84910,-1.84910
2023-12-31,48.94900,48.94900,4.94000,0.00000,44.00900,-15.14800,48.98300,0.09500,28.76600,28.76600,28.76600,39.56800,44.00900,33.38590,33.38590,0.74000,0.74000,2.28410,0.55790,1.26210,100.00000,89.90790,89.90790,100.06950,58.76730,0.02830,2.26690,39.70190,3.84630,3.84630,1.66190,1.70030,18.13400,-4.3232,-4.3232
2023-09-30,41.74600,41.74600,4.04300,,37.70300,-17.58100,0.00000,-0.02700,20.14900,20.14900,20.14900,26.20800,37.70300,34.81270,34.81270,0.62000,0.62000,1.45900,0.57380,1.34620,100.00000,90.31520,90.31520,,48.26570,0.02710,1.99370,45.14230,3.15340,3.15340,1.30950,1.34400,17.95540,-2.8102,-2.8102
2023-06-30,37.10100,37.10100,4.24100,0.14400,33.00400,-18.32200,14.68200,0.37600,14.30600,14.30600,14.30600,37.05900,33.00400,30.62100,30.62100,0.47000,0.47000,1.72220,0.59490,1.46830,100.00000,88.95720,88.95720,39.57310,38.55960,0.02630,2.67970,33.58540,2.56610,2.56610,1.01380,1.03960,17.92600,-2.5054,-2.5054
2023-03-31,33.96000,33.96000,3.47200,0.01400,30.50200,-17.39900,13.10300,0.38600,12.71700,12.71700,12.71700,41.15400,30.50200,28.72730,28.72730,0.44000,0.44000,1.61150,0.59610,1.47560,100.00000,89.81740,89.81740,38.58360,37.44700,0.02570,2.71220,33.18290,2.45720,2.45720,0.96310,0.99250,18.00530,-1.42950,-1.42950
2022-12-31,29.25300,29.25300,3.91300,0.03000,25.37000,-18.08600,7.28400,,7.26000,7.26000,7.26000,32.34400,25.37000,23.27930,23.27930,0.29000,0.29000,1.83320,0.57140,1.33300,100.00000,86.72620,86.72610,24.90000,24.81800,0.02330,2.23730,40.22660,1.38300,1.38300,0.57900,0.59280,18.32250,-4.5126,-4.5126
2022-09-30,22.60000,22.60000,2.93400,0.05500,19.72100,-13.72600,5.99500,,5.99500,5.99500,5.99500,25.63400,19.72100,24.49000,24.49000,0.24000,0.24000,1.99830,0.58300,1.39810,100.00000,87.26110,87.26110,26.52660,26.52660,0.01960,1.98180,45.41420,1.27340,1.27340,0.51910,0.53100,18.54250,-3.6519,-3.6519
2022-06-30,16.46100,16.46100,2.53400,0.04300,13.97000,-16.69000,-2.72000,,-2.72000,-2.72000,-2.72000,26.48500,13.97000,22.21240,22.21240,-0.12000,-0.12000,2.65470,0.57740,1.36650,100.00000,84.86730,84.86730,-16.52390,-16.52390,0.01600,1.36700,65.83930,-0.63880,-0.63880,-0.26520,-0.27000,18.76400,-6.8285,-6.8285
