Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1323.00000,1323.00000,580.00000,,543.00000,-90.00000,453.00000,103.00000,350.00000,350.00000,,350.00000,743.00000,543.00000,195.00000,195.00000,1.80000,1.80000,0.58020,0.54780,1.28870,100.00000,41.04310,41.04310,34.24040,26.45500,0.04160,2.87610,31.29250,3.37770,3.79650,1.10100,1.52740,53.16740,3.4821,-0.0205
2024-06-30,1149.00000,1149.00000,508.00000,1.00000,449.00000,-88.00000,361.00000,84.00000,277.00000,277.00000,,277.00000,642.00000,449.00000,195.00000,195.00000,1.42000,1.42000,0.63840,0.55290,1.29340,100.00000,39.07750,39.07750,31.41860,24.10790,0.03680,2.80240,32.11490,2.72850,3.07470,0.88740,1.21980,52.09890,1.7692,-1.6667
2024-03-31,1011.00000,1011.00000,497.00000,,326.00000,-84.00000,242.00000,57.00000,185.00000,185.00000,,185.00000,514.00000,326.00000,195.00000,195.00000,0.95000,0.95000,0.85460,0.55670,1.31170,100.00000,32.24530,32.24530,23.93670,18.29870,0.03250,2.89680,31.06830,1.84870,2.08710,0.59510,0.81950,51.36480,1.95900,-1.16410
2023-12-31,1032.00000,1032.00000,552.00000,,299.00000,-81.00000,218.00000,47.00000,171.00000,171.00000,,171.00000,480.00000,299.00000,193.00000,193.00000,0.89000,0.89000,0.64570,0.54460,1.26280,100.00000,28.97290,28.97290,21.12400,16.56980,0.03410,2.42820,37.06400,1.74540,1.97600,0.56440,0.79480,50.31070,2.8021,-1.4167
2023-09-30,1167.00000,1167.00000,512.00000,,478.00000,-71.00000,407.00000,84.00000,323.00000,323.00000,,323.00000,655.00000,478.00000,195.00000,195.00000,1.66000,1.66000,1.03500,0.54180,1.23200,100.00000,40.95970,40.95970,34.87580,27.67780,0.03910,2.67660,33.62470,3.26360,3.68970,1.08320,1.49550,50.83070,3.2462,0.0359
2023-06-30,1097.00000,1097.00000,492.00000,1.00000,432.00000,-75.00000,357.00000,77.00000,280.00000,280.00000,,280.00000,606.00000,432.00000,195.00000,195.00000,1.44000,1.44000,1.12760,0.54480,1.25640,100.00000,39.38010,39.38010,32.54330,25.52420,0.03720,2.57510,34.94990,2.88630,3.27180,0.94930,1.31390,49.83330,2.1292,-0.9556
2023-03-31,938.00000,938.00000,471.00000,,295.00000,-81.00000,214.00000,44.00000,170.00000,170.00000,,170.00000,467.00000,295.00000,186.00000,186.00000,0.91000,0.91000,0.70720,0.52350,1.17460,100.00000,31.44990,31.44990,22.81450,18.12370,0.03320,2.26570,39.72280,1.78070,2.02280,0.60100,0.84860,49.04880,1.53230,-1.29570
2022-12-31,931.00000,931.00000,506.00000,,261.00000,-83.00000,178.00000,31.00000,147.00000,147.00000,,147.00000,425.00000,261.00000,182.00000,182.00000,0.81000,0.81000,0.44470,0.58690,1.60990,100.00000,28.03440,28.03440,19.11920,15.78950,0.03350,2.07810,43.30830,1.91080,2.24430,0.52900,0.78940,42.30220,1.8901,-1.956
2022-09-30,1082.00000,1082.00000,479.00000,,439.00000,-72.00000,367.00000,70.00000,297.00000,297.00000,,297.00000,603.00000,439.00000,182.00000,182.00000,1.63000,1.63000,0.47750,0.58520,1.52640,100.00000,40.57300,40.57300,33.91870,27.44920,0.03990,3.02230,29.77820,3.82830,4.48980,1.09490,1.58820,42.66690,3.1209,-0.1868
2022-06-30,937.00000,937.00000,447.00000,,327.00000,-57.00000,270.00000,52.00000,218.00000,218.00000,,218.00000,490.00000,327.00000,182.00000,182.00000,1.20000,1.20000,0.58910,0.59290,1.53550,100.00000,34.89860,34.89860,28.81540,23.26570,0.03530,2.44650,36.78760,2.87980,3.39190,0.82040,1.17230,41.64260,0.2307,-2.9066
