Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.19500,0.19500,5.90200,3.93100,-2.80400,-12.44200,0.57600,-11.86600,0.00700,-11.87300,-11.87300,-11.87300,-12.80400,-12.44200,65.45700,65.45700,-0.18000,-0.18000,3.64080,100.00000,-6380.51300,-6380.51300,-6085.12800,-6088.71800,0.00250,,,-57.58280,-57.58280,-15.07570,-57.58280,0.31500,-0.2478,-0.2486
2024-06-30,0.59800,0.59800,13.26400,5.13900,-31.16900,-48.97400,0.85500,-48.11900,0.01200,-48.13100,-48.13100,-48.13100,-49.50400,-48.97400,65.46000,65.46000,-0.74000,-0.74000,3.60210,100.00000,-8189.63200,-8189.63200,-8046.65500,-8048.66300,0.00630,,,-155.37650,-155.37660,-50.88810,-155.37660,0.47320,-0.2975,-0.2997
2024-03-31,0.53200,0.53200,18.23800,5.81800,,-23.52400,1.08600,-22.43800,0.01400,-22.45200,-22.45200,-22.45200,-24.32100,-23.52400,64.01100,64.01100,-0.35000,-0.35000,4.77690,100.00000,-4421.80400,-4421.80400,-4217.66900,-4220.30100,0.00380,,,-28.96880,-28.96880,-15.86410,-28.96880,1.27130,-0.35080,-0.38440
2023-12-31,0.14600,0.14600,12.26600,4.35700,,-16.47700,1.33800,-15.13900,0.01700,-15.15600,-15.15600,-15.15600,-17.48000,-16.47700,49.80400,49.80400,-0.19000,-0.19000,5.34880,100.00000,-11285.62000,-11285.63000,-10369.18000,-10380.83000,0.00100,,,-16.94920,-16.94920,-10.62830,-16.94920,1.56290,-0.4942,-0.5107
2023-09-30,0.54400,0.54400,12.36800,5.00300,,-16.82700,1.19200,-15.63500,0.01600,-15.65100,-15.65100,-15.65100,-17.95100,-16.82700,56.95400,56.95400,-0.27000,-0.27000,5.45460,100.00000,-3093.19800,-3093.19800,-2874.08100,-2877.02200,0.00450,,,-18.57930,-18.57930,-12.98030,-18.57930,1.70020,-0.087,-0.0888
2023-06-30,0.45800,0.45800,10.79900,4.57000,-1.59200,-16.50300,0.89700,-15.60600,0.01200,-15.61800,-15.61800,-15.61800,-17.15200,-16.50300,43.67600,43.67600,-0.36000,-0.36000,8.38020,100.00000,-3603.27400,-3603.27400,-3407.42300,-3410.04400,0.00360,,,-15.84350,-15.84350,-12.42730,-15.84350,1.98960,-0.2596,-0.2611
2023-03-31,0.41000,0.41000,12.59600,5.12700,,-17.31300,1.07200,-16.24100,0.01400,-16.25500,-16.25500,-16.25500,-17.75500,-17.31300,36.83300,36.83300,-0.44000,-0.44000,5.99120,100.00000,-4222.68300,-4222.68300,-3961.21900,-3964.63400,0.00440,,,-24.59490,-24.59490,-17.31690,-24.59490,2.07590,-0.43030,-0.43150
2022-12-31,0.01100,0.01100,9.45100,4.39900,,-15.15500,0.93300,-14.22200,,-14.23500,-14.23500,-14.23500,-15.42500,-15.15500,30.23600,30.23600,-0.09000,-0.09000,6.96810,100.00000,-137771.50000,-137771.50000,-129289.80000,-129407.90000,0.00010,,,-17.62760,-17.62760,-12.94470,-17.62760,2.53720,-0.5871,-0.5888
2022-09-30,0.35900,0.35900,10.04800,5.13700,,-14.82600,0.06000,-14.76600,,-14.76600,-14.76600,-14.76600,-14.54700,-14.82600,36.82600,36.82600,-0.40000,-0.40000,8.24920,100.00000,-4129.80500,-4129.80500,-4113.09200,-4113.09200,0.00300,,,-15.83960,-15.83960,-12.36030,-15.83960,2.92900,-0.2476,-0.2481
2022-06-30,0.52500,0.52500,10.79300,4.13200,,-14.40000,0.03400,-14.36600,,-14.36600,-14.36600,-14.36600,-14.11400,-14.40000,33.94600,33.94600,-0.42000,-0.42000,11.53780,100.00000,-2742.85700,-2742.85700,-2736.38100,-2736.38100,0.00400,,,-13.52110,-13.52110,-11.04780,-13.52110,3.33840,0.3149,0.3189
