Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,149.99900,149.99900,82.80700,67.19200,9.90200,77.09400,1.17200,75.92200,75.92200,54.98200,69.55900,67.19200,39.70500,54.18100,1.38000,1.37000,3.36950,0.19560,0.24310,100.00000,44.79500,44.79500,51.39640,36.65490,0.10530,1.57050,57.30580,9.46750,9.46750,5.33040,7.61590,14.46600,2.1632,2.1343
2024-06-30,196.73100,196.73100,107.12000,89.61100,17.16300,106.77400,19.68700,87.08700,87.08700,58.96400,91.92400,89.61100,39.69600,54.05000,1.49000,1.47000,2.72500,0.20970,0.26540,100.00000,45.55000,45.55000,54.27410,29.97190,0.14340,1.39430,64.54960,11.81910,11.81920,6.34790,9.34010,13.59490,1.47540,1.44750
2024-03-31,176.66500,176.66500,92.77700,83.88800,13.35000,97.22600,20.39800,76.82800,76.82800,48.36000,86.30000,83.88800,37.85800,53.90200,1.27000,1.26000,3.01650,0.22490,0.29020,100.00000,47.48420,47.48420,55.03410,27.37390,0.13900,1.63140,55.16760,11.36580,11.36580,6.04370,8.80940,12.46860,0.4058,0.3755
2023-12-31,125.26400,125.26400,73.87000,51.39400,-1.06200,50.33200,15.80000,34.53200,34.53200,19.50600,53.43200,51.39400,37.73600,53.98800,0.52000,0.51000,2.58190,0.23970,0.31530,100.00000,41.02860,41.02860,40.18070,15.57190,0.10360,1.84890,48.67790,5.53300,5.53300,2.85670,4.20680,11.55430,-0.677,-0.7358
2023-09-30,126.87600,126.87600,71.27900,55.59700,10.76200,66.35900,1.85600,64.50300,64.50300,41.99400,57.46000,55.59700,37.71800,53.94100,1.11000,1.11000,3.44750,0.20160,0.25250,100.00000,43.82000,43.82000,52.30230,33.09850,0.09340,2.05300,43.83810,8.25300,8.25300,4.74760,6.58920,14.46890,1.4369,1.3833
2023-06-30,125.03700,125.03700,70.09800,54.93900,12.80500,67.74400,16.40000,51.34400,51.34400,30.99800,56.81200,54.93900,37.70800,53.85600,0.82000,0.81000,2.93080,0.23570,0.30850,100.00000,43.93820,43.93820,54.17920,24.79110,0.10420,1.89840,47.40800,8.00120,8.00120,4.27830,6.11500,11.88360,1.07640,1.01360
2023-03-31,112.78800,112.78800,63.47100,49.31700,18.77900,68.09600,16.66000,51.43600,51.43600,31.08600,51.16000,49.31700,37.06000,53.69900,0.83000,0.82000,2.71950,0.27110,0.37190,100.00000,43.72540,43.72540,60.37520,27.56150,0.09890,2.39260,37.61570,8.95800,8.95800,4.50980,6.52970,10.62890,0.2513,0.2236
2022-12-31,127.07400,127.07400,68.70200,58.37200,-24.70000,33.67200,11.78800,21.88400,21.88400,9.66900,60.39500,58.37200,37.02500,53.76900,0.32000,0.31000,2.16150,0.27310,0.37570,100.00000,45.93540,45.93540,26.49800,7.60900,0.11300,2.44030,36.88140,4.12940,4.12940,1.94640,3.00160,9.84630,1.0685,1.0541
2022-09-30,153.38200,153.38200,83.55600,69.82600,3.40200,73.22800,15.48900,57.73900,57.73900,34.88100,71.63900,69.82600,37.00900,53.74600,0.98000,0.97000,1.82030,0.26990,0.36980,100.00000,45.52430,45.52430,47.74220,22.74130,0.11050,3.22940,27.86920,10.99840,10.99840,4.16060,8.02940,9.75430,1.7649,1.7504
2022-06-30,135.50900,135.50900,72.98400,62.52500,5.08900,67.61400,11.48800,56.12600,56.12600,33.48400,64.28900,62.52500,37.00000,53.70700,0.92000,0.91000,1.85850,0.31030,0.44990,100.00000,46.14090,46.14090,49.89630,24.70980,0.10020,3.01250,29.87540,11.43160,11.43160,4.15040,7.88440,9.22030,1.13490,1.10310
2022-03-31,100.90000,100.90000,54.63300,46.26700,20.20500,66.46400,28.90800,37.55600,37.55600,13.82400,48.01800,46.26700,36.51200,53.67400,0.39000,0.39000,1.80740,0.27070,0.37120,100.00000,45.85430,45.85430,65.87120,13.70070,0.07790,1.94530,46.26570,8.13810,8.13810,2.90020,5.93480,8.65600,0.3207,0.3067
