Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1557.35800,678.39000,878.96800,341.92900,-5.09100,627.80400,251.16420,-272.42900,-21.26500,12.40000,-33.66500,,-33.66500,,-33.62000,490.07020,251.16420,293.60300,293.60300,-0.11000,-0.11000,0.74540,1.00780,-130.67350,56.43970,16.12760,16.12760,-1.36550,-2.15880,0.08430,1.25240,71.86000,32.87340,0.51180,-0.18230,-0.25610,-0.34900,0.8746,-0.4928
2024-06-30,1534.40900,675.97100,858.43800,344.83800,-2.79000,628.14400,230.29390,-182.35400,47.94000,13.31900,34.62100,,34.62100,,35.78300,460.93800,230.29390,293.34000,295.83800,0.12000,0.12000,0.79410,1.01050,-97.47400,55.94580,15.00860,15.00860,3.12430,2.33200,0.08540,1.20450,74.72000,-26.08000,-0.53130,0.19270,0.27300,-0.45260,1.2909,-0.0465
2024-03-31,1476.86300,653.25500,823.60800,319.46500,-0.38900,577.98500,245.62290,-151.98900,93.63400,16.60900,77.02500,,77.02500,,74.06100,461.27790,245.62290,292.74600,295.22100,0.25000,0.25000,0.85520,0.99850,680.99360,55.76740,16.63140,16.63140,6.34010,5.01480,0.08280,1.16470,77.27560,412.77520,-1.19990,0.43200,0.61100,0.06370,0.44050,-0.83160
2023-12-31,1419.82900,601.32910,818.49990,314.93200,-6.15700,587.74290,230.75720,-192.54500,38.21200,9.01800,29.19400,,29.19400,,28.48200,433.97720,230.75720,291.93600,293.96500,0.10000,0.10000,0.77610,0.98240,56.34890,57.64780,16.25250,16.25250,2.69130,2.00600,0.08130,1.12700,79.85770,13.78550,-0.47970,0.16710,0.24280,0.72490,1.5236,0.2681
2023-09-30,1388.17500,592.20100,795.97410,315.03000,4.41600,558.14100,237.83300,-136.53000,101.30300,9.91200,91.39100,,91.39100,,91.04300,442.07500,237.83300,292.14800,294.26900,0.31000,0.31000,0.81210,0.97780,44.38250,57.33960,17.13280,17.13280,7.29760,6.55850,0.08230,1.18890,75.70290,34.79830,-1.51600,0.54150,0.77380,0.89960,0.7447,-0.4473
2023-06-30,1357.93600,592.64400,765.29210,311.80500,1.50500,552.76600,212.52610,-207.12800,5.39800,4.25500,1.14300,,1.14300,,0.11400,411.65610,212.52610,291.82500,293.52700,0.00000,0.00000,0.78120,0.96400,27.01330,56.35700,15.65070,15.65070,0.39750,0.00840,0.08140,1.14870,78.34970,0.27450,-0.01950,0.00690,0.00990,1.42670,1.0803,-0.0601
2023-03-31,1314.34900,571.62600,742.72300,294.52000,13.06100,502.06100,240.66200,-158.36900,82.29300,16.75800,65.53500,,65.53500,,64.59500,427.08800,240.66200,291.44200,293.04900,0.22000,0.22000,0.79780,0.95220,20.09530,56.50880,18.31040,18.31040,6.26110,4.91460,0.07980,1.11920,80.41190,12.01180,-1.14340,0.39800,0.57450,1.87110,0.43950,-0.34620
2022-12-31,1279.04900,539.98100,739.06820,279.16100,27.14400,490.87000,248.19810,-105.15300,143.04500,17.39200,125.65300,,125.65300,,122.43700,443.35520,248.19820,290.81200,292.44400,0.42000,0.42000,0.80680,0.94270,16.59720,57.78260,19.40490,19.40490,11.18370,9.57250,0.07920,1.08860,82.67260,19.73210,-2.21650,0.77850,1.13020,2.18960,1.2568,0.478
2022-09-30,1286.94500,546.04100,740.90390,285.29900,14.17000,455.14200,285.76190,-68.89700,216.86500,23.93400,192.93100,,192.93100,,192.16400,465.31090,285.76190,290.93700,292.55200,0.66000,0.66000,0.90200,0.95040,19.31320,57.57080,22.20470,22.20470,16.85120,14.93180,0.08200,1.13530,79.27580,36.14030,-3.35980,1.22930,1.79260,1.83650,0.7327,-0.1
2022-06-30,1289.53400,556.47600,733.05800,295.39400,51.24900,439.27710,293.78100,-73.84000,219.94100,18.08300,201.85800,,201.85800,,200.08100,476.71000,293.78100,290.75600,292.48700,0.69000,0.68000,0.86520,0.93880,15.46530,56.84670,22.78200,22.78200,17.05590,15.51580,0.08250,1.15520,77.91160,30.97050,-3.49210,1.29210,1.89630,2.24220,0.9959,0.7303
