Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.08300,0.83000,2.25300,2.42400,2.42400,-0.17100,-0.17100,,-0.17100,-0.17100,-0.17100,4.90900,4.90900,-0.03000,-0.03000,-7.65790,-7.65790,0.00830,-0.21800,-0.21800,-0.06370,-0.21800,14.86940,0.3278,0.3171
2024-06-30,3.06400,0.77500,2.28900,2.61500,2.61500,-0.32600,-0.32600,,-0.32600,-0.32600,-0.32600,4.92500,4.92500,-0.07000,-0.07000,-15.05080,-15.05080,0.00810,-0.42610,-0.42610,-0.12260,-0.42610,14.44760,-0.3314,-0.3549
2024-03-31,2.71700,0.70000,2.01700,2.26300,2.26300,-0.24600,-0.24600,,-0.24600,-0.24600,-0.24600,4.92700,4.92700,-0.05000,-0.05000,-12.19030,-12.19030,0.00760,-0.31960,-0.31960,-0.09260,-0.31960,14.48020,0.01870,0.01540
2023-12-31,0.48900,0.59500,-0.10600,2.56600,2.56600,-2.67200,-2.67200,1.09700,-3.76900,-3.76900,-3.76900,5.00400,5.00400,-0.74000,-0.74000,1161.74000,1638.69700,-0.00090,-4.86040,-4.86040,-1.46780,-4.86040,14.58980,0.0148,-0.0728
2023-09-30,2.08900,0.42300,1.66600,2.00300,2.00300,-0.33700,-0.33700,-0.10500,-0.23200,-0.23200,-0.23200,5.09400,5.09400,-0.05000,-0.05000,-20.85400,-14.35640,0.00640,-0.30070,-0.30070,-0.09210,-0.30070,14.20490,0.044,0.0295
2023-06-30,1.99500,0.26900,1.72600,1.81700,1.81700,-0.09100,-0.09100,0.03500,-0.12600,-0.12600,-0.12600,4.97600,4.97600,-0.03000,-0.03000,-5.36560,-7.42920,0.00660,-0.15730,-0.15730,-0.04910,-0.15730,14.53130,-0.0254,-0.0264
2023-03-31,2.00500,0.22100,1.78400,1.64200,1.64200,0.14200,0.14200,-0.02800,0.17000,0.17000,0.17000,4.98990,4.98990,0.03000,0.03000,7.83660,9.38190,0.00700,0.20710,0.20710,0.06550,0.20710,15.20360,0.05270,0.05270
2022-12-31,2.03200,0.19000,1.84200,1.59000,1.59000,0.25200,0.25200,0.21300,0.03900,0.03900,0.03900,4.72900,4.72900,0.03000,0.03000,12.77890,1.97770,0.00750,0.04840,0.04840,0.01480,0.04840,14.92070,-0.0602,-0.0626
2022-09-30,1.87300,0.19200,1.68100,1.59400,1.59400,0.08700,0.08700,-0.03100,0.11800,0.11800,0.11800,4.97190,4.97190,0.02000,0.02000,4.92920,6.68560,0.00660,0.14910,0.14910,0.04400,0.14910,14.66450,0.3514,0.3483
2022-06-30,2.19600,0.19100,2.00500,1.81600,1.81600,0.18900,0.18900,0.04000,0.14900,0.14900,0.14900,4.97190,4.97190,0.03000,0.03000,9.35180,7.37260,0.00740,0.17840,0.17840,0.05430,0.17840,15.47090,-0.0775,-0.1065
2022-03-31,1.48300,0.19100,1.29200,1.64700,1.64700,-0.35500,-0.35500,-0.07600,-0.27900,-0.27900,-0.27900,3.97440,3.97440,-0.07000,-0.07000,-27.47680,-21.59440,0.00450,-0.32210,-0.32210,-0.09790,-0.32210,16.04760,0.41840,0.40740
2021-12-31,1.50300,0.22400,1.27900,1.30200,1.30200,-0.02300,-0.02300,0.03400,-0.05700,-0.05700,-0.05700,,,,0.00000,-1.75980,-4.36110,0.00380,-0.12620,-0.12620,-0.01670,-0.12620,8.37030,0,0
2021-09-30,1.57400,0.22500,1.34900,1.34400,1.34400,0.00500,0.00500,-0.01100,0.01600,0.01600,0.01600,,,,0.00000,0.36740,1.17560,0.00520,0.03480,0.03480,0.00620,0.03480,,0,0
2021-06-30,1.52400,0.23700,1.28700,1.41300,1.41300,-0.12600,-0.12600,-0.19300,0.06700,0.06700,0.06700,,,,0.00000,-9.92130,5.27560,0.00530,0.14610,0.14610,0.02790,0.14610,,0,0
2021-03-31,1.64600,0.25400,1.39200,1.51700,1.51700,-0.12500,-0.12500,-0.04400,-0.08100,-0.08100,-0.08100,,,,0.00000,-8.97990,-5.81900,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2020-09-30,1.81100,0.34300,1.46800,1.68800,1.68800,-0.22000,-0.22000,-0.24500,0.02500,0.02500,0.02500,,,,0.00000,-15.96520,1.81420,,,,,,,0,0
2020-06-30,,,,,,,0.00000,0.00000,,0.00000,,,,,0.00000,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
