Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,116.76100,77.23900,39.52200,-22.38600,22.38600,17.13600,-1.31600,15.82000,3.72800,12.09200,12.09200,12.09200,17.32200,17.13600,32.65880,33.26400,0.37000,0.36000,14.67610,14.67610,13.54900,10.35620,0.07540,3.31590,3.31590,0.78130,3.31590,11.16600,2.9165,2.8958
2024-06-30,98.89800,66.82400,32.07400,-22.85500,22.85500,9.21900,-1.80900,7.41000,1.87700,5.53300,5.53300,5.53300,9.21900,9.21900,27.64890,27.77110,0.20000,0.20000,9.32170,9.32170,7.49260,5.59470,0.07090,1.62800,1.62800,0.39660,1.62800,10.40650,4.084,4.0264
2023-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,-7.2855,-7.1648
2023-09-30,76.09300,48.41300,27.68000,-16.37600,16.37600,11.30400,-0.04000,11.26400,2.55600,8.70800,8.70800,8.70800,11.32200,11.30400,24.00000,24.00000,0.36000,0.36000,14.85550,14.85550,14.80290,11.44390,,,,,,,3.678,3.6325
2023-06-30,65.45300,42.36900,23.08400,-14.61600,14.61600,8.46800,-0.00800,8.46000,1.90500,6.55500,6.55500,6.55500,8.46800,8.46800,24.00000,24.00000,0.27000,0.27000,12.93750,12.93750,12.92530,10.01480,,,,,,,3.6075,3.5323
