Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2184.58300,1090.87000,1093.71300,-736.69200,890.41900,203.29410,-40.00800,163.28600,35.29700,127.98900,127.98900,127.98900,357.02110,203.29410,84.60900,85.12300,1.51000,1.50000,0.98210,0.45630,0.92990,50.06510,9.30590,9.30590,7.47450,5.85870,0.29130,43.32800,2.10170,42.82160,4.65100,96.45700,1.70660,2.52870,32.51480,4.1241,2.8727
2024-06-30,2264.54500,1109.15300,1155.39200,-794.73700,947.27700,208.11500,-47.41300,160.70200,42.93300,117.76900,117.76900,117.76900,360.65500,208.11500,84.50000,85.12400,1.39000,1.38000,0.93760,0.47020,1.02110,51.02090,9.19010,9.19010,7.09640,5.20060,0.30400,42.74850,2.05820,43.72730,4.47840,633.75390,1.58100,2.37280,31.08270,2.926,1.7574
2024-03-31,1870.81500,938.80800,932.00700,-663.44210,780.45100,151.55590,-27.32900,124.22700,31.38000,92.84700,92.84700,92.84700,268.56490,151.55590,84.47500,85.34800,1.10000,1.09000,1.65820,0.46170,0.96130,49.81820,8.10110,8.10110,6.64030,4.96290,0.27110,40.97270,1.99180,45.18550,3.58840,18.14130,1.34540,1.93160,30.60070,2.35140,1.59250
2023-12-31,1968.67800,1005.91200,962.76610,-648.85420,764.50900,198.25730,-23.26300,174.99400,43.60800,131.38600,131.38600,131.38600,313.91240,198.25700,85.90800,87.05500,1.55000,1.52000,1.25320,0.39750,0.72710,48.90420,10.07060,10.07060,8.88890,6.67380,0.31330,41.97600,2.14360,41.98590,5.07010,22.96520,2.09090,3.05460,30.68860,3.4567,2.6706
2023-09-30,1911.04600,961.94900,949.09700,-634.44700,748.53800,200.55900,-21.74900,178.81000,45.47100,133.33900,133.33900,133.33900,314.65000,200.55900,85.85000,86.85200,1.55000,1.54000,1.23020,0.37660,0.61400,49.66380,10.49470,10.49470,9.35670,6.97730,0.31560,35.30480,1.92510,46.75120,5.08380,22.01980,2.20190,3.16940,30.52220,3.2249,2.0341
2023-06-30,1791.26600,897.70500,893.56100,-592.97000,701.14400,192.41700,-18.73000,173.68700,45.45300,128.23400,128.23400,128.23400,300.59100,192.41700,86.13500,87.12500,1.49000,1.47000,1.40570,0.33900,0.52490,49.88430,10.74200,10.74200,9.69630,7.15880,0.32620,37.95310,1.93030,46.62600,5.03520,14.71680,2.33520,3.32820,29.68190,2.3239,1.5761
2023-03-31,1850.17700,940.28000,909.89700,-639.44000,743.49500,166.40190,-17.12900,149.27300,37.35500,111.91800,111.91800,111.91800,270.45680,166.40190,86.58200,87.91400,1.29000,1.27000,1.32420,0.33410,0.51480,49.17890,8.99380,8.99380,8.06800,6.04900,0.33610,43.61230,1.91950,46.88840,4.42070,12.77590,2.03320,2.94370,29.17630,2.64050,2.05430
2022-12-31,1956.69400,1034.15600,922.53830,-603.67930,705.67800,216.86010,-16.96300,199.89700,46.40300,153.49400,153.49400,153.49400,318.85910,216.86010,89.36000,91.25800,1.77000,1.73000,1.30710,0.34170,0.53420,47.14780,11.08300,11.08300,10.21610,7.84460,0.35540,42.76730,1.87510,47.99740,6.23180,17.62350,2.78780,4.10220,28.46160,2.6136,1.6023
2022-09-30,2241.96100,1158.50300,1083.45800,-658.45900,765.01600,318.44190,-21.70800,296.73400,51.54400,245.19000,245.19000,245.19000,424.99890,318.44190,88.22600,90.03400,2.78000,2.72000,1.26900,0.35380,0.56270,48.32640,14.20370,14.20370,13.23550,10.93640,0.40760,49.25610,1.96940,45.69870,10.53360,32.30330,4.45740,6.80650,26.70020,3.8588,3.2708
2022-06-30,2422.31700,1259.12400,1163.19300,-660.41800,772.22300,390.97000,-21.53700,369.43300,92.60800,276.82500,276.82500,276.82500,502.77500,390.97000,90.64700,92.34300,3.05000,3.00000,1.21490,0.41380,0.72210,48.01990,16.14030,16.14030,15.25120,11.42810,0.39840,46.28110,1.93700,46.46260,11.63960,48.01570,4.55280,6.82280,26.69400,2.709,2.3708
