Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.08110,20.88410,0.19700,0.10310,2.12450,2.22750,-2.03060,0.05990,-1.97070,-1.97070,-1.97070,,-1.96200,-1.94490,-2.03060,4.04100,4.04100,-0.49000,-0.49000,1.91040,,0.28260,0.93440,-9.63210,-9.63210,-9.34800,-9.30690,2.64950,100.37450,5.10780,17.62020,-48.48220,-55.56780,-24.76760,-48.48220,0.57350,-0.18130,-0.18200
2024-06-30,4.36370,4.07640,0.28730,0.01580,5.64290,5.65860,-5.37140,-0.00950,-5.38080,-5.38080,-5.38080,,-5.38020,-5.28920,-5.37140,2.59700,2.59700,-2.10000,-2.10000,0.73550,,-3.79620,6.58310,-123.09380,-123.09380,-123.31060,-123.29690,1.32570,26.54190,5.28230,17.03810,1745.44500,629.86980,-163.46690,1745.45200,-0.08590,-0.2306,-0.2318
2024-03-31,1.38300,1.37310,0.00990,0.07120,4.04640,4.11760,-4.10770,-0.03410,-4.14180,-4.14180,-4.14180,,-4.14170,-3.97150,-4.10770,2.66600,2.66600,-1.55000,-1.55000,1.19350,,0.40840,0.71370,-297.01290,-297.01290,-299.48100,-299.47340,0.40980,7.45710,11.89030,7.56920,-350.60720,-675.63810,-122.73580,-350.60670,0.39140,-0.0138,-0.0138
2023-12-31,11.34850,11.24620,0.10220,0.11740,1.77340,1.89080,-1.78850,-0.04460,-1.83310,-1.83310,-1.83310,,-1.83300,-1.65030,-1.78850,2.53800,2.53800,-0.72000,-0.72000,1.68240,0.00030,0.26020,0.90090,-15.76020,-15.76020,-16.15280,-16.15230,2.29510,60.52680,82.76910,1.08740,-72.40310,-97.93680,-37.07240,-72.38390,0.99760,1.2162,1.2149
2023-09-30,6.88070,6.80600,0.07470,0.15500,0.77750,0.93250,-0.85780,-0.00780,-0.86550,-0.86550,-0.86550,0.83350,-0.02210,-0.71990,-0.85780,1.96300,1.96300,-0.01000,-0.01000,1.77010,0.00470,0.59180,1.08610,-12.46630,-12.46630,-12.57910,-0.32050,0.78050,28.03260,74.56940,1.20690,-20.09100,-24.08950,-9.81750,-19.99550,1.69640,-3.43580,-3.43590
2023-06-30,3.42470,3.39630,0.02840,0.17010,5.04870,5.21880,-5.19040,-0.00630,-5.19660,-5.19660,-5.19660,-0.56710,-5.55620,-5.02120,-5.19040,1.66300,1.66300,-3.35040,-3.35040,0.26280,-0.64330,-0.55760,0.82960,-151.55860,-151.55860,-151.74120,-162.24070,1.24330,14.07020,10.47350,8.59310,145.15360,109.03830,-188.66350,238.53370,-1.89520,-0.4503,-0.4517
2023-03-31,0.08460,0.01290,0.07160,0.14410,0.80030,0.94440,-0.87270,0.01730,-0.85540,-0.85540,-0.85540,-0.44170,-1.29520,-0.70810,-0.87270,1.62200,1.62200,-0.80000,-0.80000,0.34920,-0.06810,-0.79250,84.72710,-1032.16700,-1032.16700,-1011.65600,-1531.73500,0.02500,0.05140,0.07990,1126.06900,37.98400,24.00840,-25.28000,40.57010,-1.38800,-0.3457,-0.3452
2022-12-31,0.13150,0.09600,0.03540,0.14880,0.91200,1.06080,-1.02540,-0.03430,-1.05970,-1.05970,-1.05970,-0.24530,-1.29100,-0.84750,-1.02540,1.62100,1.62100,-0.80000,-0.80000,0.32150,-0.19490,-1.70590,26.95060,-779.99220,-779.99220,-806.08180,-982.04770,0.04040,0.37890,0.29500,305.11990,102.66280,42.73100,-32.52900,122.67550,-0.63620,-0.6259,-0.627
2022-09-30,,,,0.10660,0.98910,,-1.09570,-0.00120,-1.09690,-1.09690,-1.09690,-0.23530,-1.33730,-0.90590,-1.09570,1.62250,1.62250,-0.74960,-0.74960,0.34950,,2.98240,,,,,,,,,,-377.47670,82.94890,-35.47370,-377.47730,0.17910,-0.46390,-0.46420
2022-06-30,0.78680,0.72940,0.05740,0.29130,2.33010,2.62150,-2.56410,0.07490,-2.48920,-2.48920,-2.48920,,-2.12580,-2.39910,-2.56410,1.59790,1.59790,-1.34930,-1.34930,0.59160,,0.05120,7.29250,-325.90480,-325.90480,-316.38170,-270.19100,0.20950,3.45100,2.57180,34.99480,-155.60980,1750.98400,-66.27790,-155.60960,0.98590,-0.6091,-0.6213
