Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,43.73500,17.55900,26.17600,16.17500,-1.10800,27.74500,-1.56900,2.93000,1.36100,0.45300,0.90800,,0.90800,,0.64700,8.89300,-1.56900,91.18200,96.40700,0.01000,0.01000,0.99800,0.26170,0.45270,59.85140,-3.58750,-3.58750,3.11190,1.47940,0.03980,5.46010,16.48340,0.12740,0.14160,0.08260,0.09410,7.61930,-0.013,-1.134
2024-06-30,35.21500,20.63600,14.57900,17.89900,-71.84200,101.27200,-86.69300,14.36700,-72.32600,-1.87400,-70.45200,,-70.45200,-1.73800,-71.86600,-75.16200,-86.69300,90.19300,90.19300,-0.80000,-0.80000,1.67530,0.29910,0.53120,41.40000,-246.18200,-246.18200,-205.38410,-204.07780,0.03240,4.65440,19.33670,-10.54160,-11.79710,-6.48150,-7.38870,7.34860,-0.1922,-0.2355
2024-03-31,51.74100,28.14700,23.59400,19.99900,274.76400,-243.29300,266.88700,-4.15800,262.72900,4.39600,258.33300,,258.33300,-7.62600,250.87600,278.35900,266.88700,89.15000,93.69700,2.81000,2.68000,0.31070,0.15200,0.27580,45.60020,515.81340,515.81340,507.77720,484.86890,0.05180,6.68140,13.47020,34.88200,38.67620,25.85810,29.57940,8.27870,-0.28120,-0.38000
2023-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0079,0.0548
2023-09-30,21.70300,13.52600,8.17700,4.17100,-0.18500,8.84200,-0.66500,-3.64800,-4.31300,0.06100,-4.37400,,-4.37400,,-4.37400,3.82100,-0.66500,43.19700,43.19700,-0.10000,-0.10000,4.61260,0.04090,0.20000,37.67680,-3.06410,-3.06410,-19.87280,-20.15390,0.05860,11.50980,7.81940,-1.47690,-1.53320,-1.18170,-1.41640,6.67880,0.0509,0.0239
2023-06-30,20.53000,11.98700,8.54300,5.21100,1.66700,7.60800,0.93500,-2.29900,-1.36400,0.32200,-1.68600,,-1.68600,,-1.68600,4.99900,0.93500,43.19300,43.19300,-0.04000,-0.04000,6.95540,0.05680,0.13600,41.61230,4.55430,4.55430,-6.64390,-8.21240,0.04950,13.04420,6.89960,-0.48110,-0.49670,-0.40660,-0.45370,7.90690,-0.0932,-0.0919
2023-03-31,15.64700,8.50700,7.14000,6.37500,0.36400,8.91500,-1.77500,19.39200,17.61700,0.28900,17.32800,,17.32800,,17.32800,1.12900,-1.77500,42.46400,42.54000,0.41000,0.41000,9.85340,0.06380,0.10260,45.63180,-11.34400,-11.34400,112.59030,110.74330,0.03910,7.38830,12.18140,4.98080,5.14430,4.32940,4.66290,7.86130,0.03440,0.01320
2022-12-31,15.19150,33.70030,-18.50880,11.00650,,98.59990,-117.10870,-108.74630,-225.85490,-0.14060,-225.71430,,-143.56870,,-143.56870,-94.60220,-117.10860,37.55400,37.55400,-3.88610,-3.80720,8.15130,0.08160,0.13490,-121.83620,-770.88170,-770.88150,-1486.71700,-945.05800,0.04780,12.42910,7.24110,-53.11670,-55.50750,-45.19980,-48.78480,6.12770,-0.5222,0.7139
2022-09-30,24.26630,34.94720,-10.68080,8.59370,,8.59370,-19.27450,1.04970,-18.22480,,-18.22480,,-18.22480,,-18.22480,-0.26950,-19.27450,38.90600,38.90600,-0.45970,-0.45970,9.56700,0.06580,0.10160,-44.01500,-79.42910,-79.42910,-75.10340,-75.10340,0.05640,17.09170,5.26570,-4.80740,-4.93950,-4.23300,-4.49130,9.66020,-0.4026,-0.8757
2022-06-30,34.33500,37.34290,-3.00790,9.61490,,9.61490,-12.62280,32.43760,19.81480,6.63440,13.18040,-82.14560,-68.96530,,-68.96530,3.89490,-12.62280,35.60260,35.60260,-1.91850,-1.91850,10.61210,0.06940,0.09780,-8.76040,-36.76360,-36.76360,57.71010,-200.85990,0.07650,14.97950,6.00820,-17.29240,-17.76600,-15.37300,-16.09290,10.38250,-0.5998,-1.8239
2022-03-31,42.11170,29.11890,12.99290,9.10720,,9.10720,3.88560,40.98660,44.87220,0.88510,43.98700,,43.98700,,43.98700,18.56750,3.88560,34.09220,35.63360,1.30280,1.22390,20.12510,0.04350,0.06680,30.85330,9.22690,9.22690,106.55500,104.45320,0.07080,14.24870,6.31640,8.56310,8.75040,7.39380,8.19080,14.74500,-0.62680,-1.65480
2021-12-31,45.66760,21.19360,24.47400,12.43400,0.66310,11.77090,12.70310,-91.24840,-78.54520,9.46150,-88.00670,,-88.00670,,-88.00670,20.18480,12.70310,26.83120,26.83120,-3.33790,-3.20370,17.95900,0.04100,0.07190,53.59160,27.81650,27.81650,-171.99330,-192.71160,0.07940,88.40320,1.01810,-19.48840,-19.48840,-15.30410,-18.68930,13.31400,-1.0464,-2.7493
