Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,340.19800,340.19800,295.90400,22.78900,35.24900,58.03800,15.33800,42.70000,42.70000,42.78900,33.40800,22.78900,15.41200,15.66700,2.78000,2.73000,1.79770,0.12390,0.14900,100.00000,6.69880,6.69880,17.06010,12.57770,0.21770,2.64170,34.06950,4.32710,5.35560,2.73240,3.79120,63.90750,2.1559,1.8012
2024-06-30,300.65800,300.65800,258.23000,22.52000,14.08000,36.60000,9.49400,27.10600,27.10600,26.84400,31.85800,22.52000,15.39200,15.55600,1.74000,1.73000,2.06450,,,100.00000,7.49020,7.49020,12.17330,8.92840,0.22440,2.74860,32.74430,2.85980,3.50880,2.02330,2.85980,61.45660,3.2547,2.7523
2024-03-31,297.17600,297.17600,260.56700,15.67500,20.03800,35.71300,9.46200,26.25100,26.25100,26.21300,26.26100,15.67500,15.35000,15.50500,1.71000,1.69000,2.02290,,,100.00000,5.27460,5.27460,12.01750,8.82070,0.22520,2.36480,38.05750,2.83330,3.49460,1.98930,2.83330,60.16330,0.62210,0.23810
2023-12-31,300.91390,300.91390,257.53200,20.26890,16.39600,36.66500,8.70000,27.96500,27.96500,28.40600,32.03690,20.17590,15.31000,15.37700,1.86000,1.84000,1.89410,,0.00090,100.00000,6.73580,6.70490,12.18460,9.43990,0.22960,2.77230,32.46460,3.07150,3.80400,2.13340,3.07150,59.31080,1.6542,1.0993
2023-09-30,288.48500,288.48500,255.15400,13.10200,0.92700,14.02900,3.90800,10.12100,10.12100,10.38800,23.23700,13.10200,15.30000,15.32400,0.68000,0.68000,1.86900,,0.00240,100.00000,4.54170,4.54170,4.86300,3.60090,0.22500,2.81170,32.00950,1.14060,1.42150,0.78950,1.14060,57.90150,2.1077,1.6829
2023-06-30,282.58200,282.58200,248.52800,13.97700,8.34600,22.32300,6.40600,15.91700,15.91700,16.28100,24.15300,14.07000,15.29700,15.32200,1.06000,1.06000,1.86420,,0.00380,100.00000,4.94620,4.97910,7.89970,5.76150,0.22060,2.79070,32.25050,1.79580,2.23860,1.24290,1.79580,57.85250,2.5683,2.166
2023-03-31,269.56300,269.56300,239.31300,10.11000,5.61100,15.72100,4.43600,11.28500,11.28500,11.72300,20.15800,10.11000,15.33700,15.35600,0.76000,0.76000,1.84430,,0.00530,100.00000,3.75050,3.75050,5.83200,4.34890,0.21300,2.61370,34.43370,1.28250,1.60170,0.89180,1.28250,57.43490,0.90240,0.47000
2022-12-31,264.55300,264.55300,238.43400,9.16190,-1.74900,7.41300,1.83900,5.57400,5.57400,6.35300,19.63990,9.16200,15.41000,15.44700,0.42000,0.41000,1.78860,0.00100,0.00670,100.00000,3.46320,3.46320,2.80210,2.40140,0.20740,2.64590,34.01490,0.63520,0.79380,0.43700,0.63460,57.13730,0.7726,0.4078
2022-09-30,270.84300,270.84300,246.08100,4.21500,-8.46200,-4.24700,-1.14000,-3.10700,-3.10700,-2.42900,14.46800,4.21500,15.44560,15.44560,-0.16000,-0.16000,1.63940,0.00240,0.00800,100.00000,1.55630,1.55630,-1.56810,-0.89680,0.20910,2.73570,32.89830,-0.35250,-0.44010,-0.23980,-0.35170,57.25510,-0.1282,-0.5098
2022-06-30,271.35900,271.35900,246.24700,4.70000,-1.17700,3.52300,1.36200,2.16100,2.16100,3.20300,13.98900,4.70000,15.45200,15.48700,0.21000,0.21000,1.75950,0.00370,0.00910,100.00000,1.73200,1.73200,1.29830,1.18040,0.20090,2.70240,33.30400,0.23940,0.29710,0.16000,0.23850,58.27800,1.6971,1.3382
