Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,19.14300,19.14300,34.07700,-3.18500,-20.90300,2.35700,-18.54600,0.29800,-18.84400,-18.84400,-18.34200,-18.48500,-20.90300,184.15900,184.15900,-0.10000,-0.10000,5.37100,100.00000,-109.19400,-109.19400,-96.88140,-95.81570,0.06920,3.86340,23.29570,-7.90830,-17.48080,-6.81340,-7.90830,1.29390,-0.0305,-0.0314
2024-06-30,22.02600,22.02600,34.14000,-2.64900,-17.65100,3.86900,-13.78200,0.25800,-14.04000,-14.04000,-13.72400,-15.20800,-17.65100,182.68100,182.68100,-0.08000,-0.08000,6.55280,100.00000,-80.13710,-80.13710,-62.57150,-62.30820,0.07710,4.86870,18.48540,-5.62780,-11.94690,-4.91490,-5.62780,1.36690,-0.0779,-0.0794
2024-03-31,19.21300,19.21300,38.21200,-3.06000,-25.01000,6.23200,-18.77800,0.21600,-18.99400,-18.99400,-18.62400,-22.55100,-25.01000,179.91100,179.91100,-0.10000,-0.10000,6.15870,100.00000,-130.17230,-130.17230,-97.73590,-96.93440,0.06430,3.45990,26.01210,-7.40230,-15.42760,-6.35940,-7.40230,1.42670,-0.06880,-0.07100
2023-12-31,18.87800,18.87800,36.43800,-3.87900,-24.41500,-1.76600,-26.18100,0.05000,-26.23100,-26.23100,-25.79600,-21.88200,-24.41500,173.40200,173.40200,-0.15000,-0.15000,6.73650,100.00000,-129.33040,-129.33040,-138.68530,-136.64590,0.06080,4.64180,19.38920,-9.77240,-19.67710,-8.44170,-9.77240,1.51870,-0.0386,-0.0409
2023-09-30,18.41500,18.41500,33.31300,-3.76300,-21.51300,2.84700,-18.66600,0.29100,-18.95700,-18.95700,-18.34800,-19.05400,-21.51300,173.95800,173.95800,-0.11000,-0.11000,8.23450,100.00000,-116.82320,-116.82320,-101.36300,-99.63620,0.05800,4.75720,18.91880,-6.63880,-12.66930,-5.97030,-6.63880,1.63010,-0.0197,-0.0198
2023-06-30,16.63700,16.63700,32.82000,-3.47500,-22.55300,-2.25400,-24.80700,0.29300,-25.10000,-25.10000,-24.88900,-20.07200,-22.55300,173.29000,173.29000,-0.14000,-0.14000,10.03150,100.00000,-135.55930,-135.55930,-149.10740,-149.60030,0.05100,3.55110,25.34410,-8.49530,-15.89780,-7.69780,-8.49530,1.69430,-0.0777,-0.0779
2023-03-31,15.46000,15.46000,31.92300,-3.39000,-22.96800,1.89200,-21.07600,0.18500,-21.26100,-21.26100,-21.18800,-20.33400,-22.96800,171.81700,171.81700,-0.12000,-0.12000,10.82170,100.00000,-148.56400,-148.56400,-136.32600,-137.05040,0.04570,4.70480,19.12940,-6.82620,-12.34640,-6.28410,-6.82620,1.79200,-0.10310,-0.10350
2022-12-31,16.73400,16.73400,38.37700,-3.01500,-27.80500,1.76200,-26.04300,0.12100,-26.16400,-26.16400,-26.11800,-25.13000,-27.80500,143.84000,145.01300,0.33000,0.50000,7.84110,100.00000,-166.15880,-166.15870,-155.62920,-156.07740,0.04600,4.72180,19.06060,-8.03910,-13.65740,-7.19330,-8.03910,1.88610,-0.1234,-0.1408
2022-09-30,15.81400,15.81400,51.36800,-4.35700,-42.43600,26.28600,-16.15000,0.04800,-16.19800,-16.19800,-16.19800,-40.15000,-42.43600,169.83900,170.20900,-0.10000,-0.12000,9.13140,100.00000,-268.34450,-268.34450,-102.12470,-102.42820,0.04260,5.19340,17.32960,-4.79500,-8.25610,-4.36770,-4.79500,1.95900,-0.0725,-0.0809
2022-06-30,16.46200,16.46200,35.84800,-3.50100,-26.04800,20.96400,-5.08400,0.03500,-5.11900,-5.11900,-5.11900,-23.12300,-26.04800,167.05300,173.57800,-0.03000,-0.20000,9.46260,100.00000,-158.23110,-158.23110,-30.88330,-31.09590,0.04260,7.22330,12.45960,-1.61740,-2.92030,-1.32580,-1.61740,1.84690,0.1786,0.185
2022-03-31,19.89000,19.89000,50.26400,-5.72900,-38.75100,-25.55000,-64.30100,0.12300,-64.42400,-64.42400,-64.42400,-36.61200,-38.75100,66.00700,66.00700,-0.98000,-0.98000,8.19020,100.00000,-194.82660,-194.82660,-323.28310,-323.90150,0.05250,5.58550,16.11310,-22.52280,-44.51790,-16.99070,-22.52280,1.69030,-0.45720,-0.48280
2021-12-31,29.81000,29.81000,29.91800,-3.12300,-5.51700,-0.65600,-6.17300,0.18700,-6.36000,-6.36000,-6.36000,-3.45200,-5.51700,54.29500,54.29500,-0.09000,-0.09000,2.31660,100.00000,-18.50730,-18.50720,-20.70780,-21.33510,0.11560,5.54090,16.24290,12.08210,-12.01110,-2.46610,-3.28830,3.06570,-0.0491,-0.0558
2021-09-30,27.07600,27.07600,28.14000,-2.33000,-5.69300,0.82200,-4.87100,0.20300,-5.07400,-5.07400,-5.07400,-3.63300,-5.69300,51.45100,51.45100,-0.10000,-0.10000,0.28440,100.00000,-21.02600,-21.02600,-17.99010,-18.73980,0.06520,,,10.92970,10.92970,-1.22210,10.92970,-4.48540,-0.0917,-0.0967
2021-06-30,37.05700,37.05700,33.35800,-2.23800,-0.80500,-7.19400,-7.99900,0.00400,-8.00300,-8.00300,-8.00300,1.21700,-0.80500,52.50500,52.50500,-0.15000,-0.15000,1.10280,100.00000,-2.17230,-2.17230,-21.58570,-21.59650,0.08920,,,-160.05990,-160.06100,-1.92590,-160.05990,0.34830,0.3523,0.3456
2021-03-31,31.07900,31.07900,25.13600,-1.43400,2.22600,-1.29600,0.93000,-0.00800,0.93800,0.93800,0.93800,4.27300,2.22600,61.59800,116.31300,0.00000,0.00000,12.31830,100.00000,7.16240,7.16240,2.99240,3.01810,0.07470,,,18.76000,18.76000,0.22560,18.76000,0.35540,-0.01070,-0.01170
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
