Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,19490.00000,15079.00000,4411.00000,3678.00000,-180.00000,3858.00000,553.00000,553.00000,140.00000,413.00000,451.00000,,448.00000,512.00000,553.00000,356.90000,358.70000,1.24000,1.24000,0.37340,0.62550,2.83740,2.83740,2.83740,2.29860,0.02560,1.40870,1.40870,0.05930,0.88270,89.94720,3.1512,3.1512
2024-06-30,14883.00000,10142.00000,4741.00000,3502.00000,176.00000,3326.00000,1415.00000,1415.00000,264.00000,1151.00000,1171.00000,,1198.00000,1389.00000,1415.00000,358.80000,360.50000,3.30000,3.28000,0.39570,0.67460,9.50750,9.50750,9.50750,8.04950,0.02080,3.96140,3.96140,0.16370,2.39400,82.64860,-0.405,-0.405
2024-03-31,23509.00000,18167.00000,5342.00000,3969.00000,17.00000,3952.00000,1390.00000,1390.00000,289.00000,1101.00000,1151.00000,,1138.00000,1787.00000,1390.00000,359.00000,360.50000,3.13000,3.12000,0.40150,0.69110,5.91260,5.91260,5.91260,4.84070,0.03240,3.98680,3.98680,0.15860,2.38610,80.40080,14.48270,14.48270
2023-12-31,15084.00000,9234.00000,5850.00000,3905.00000,-106.00000,4188.00000,1662.00000,1662.00000,359.00000,1303.00000,1326.00000,,1317.00000,1768.00000,1662.00000,363.50000,364.60000,3.67000,3.66000,0.39220,0.66640,11.01830,11.01830,11.01830,8.73110,0.02090,4.53130,4.53130,0.18390,2.75420,81.46350,2.9434,2.9434
2023-09-30,8352.00000,6032.00000,2320.00000,3427.00000,49.00000,3378.00000,-1058.00000,-1058.00000,-251.00000,-807.00000,-791.00000,,-802.00000,-1103.00000,-1058.00000,362.60000,362.60000,-2.23000,-2.23000,0.41190,0.72330,-12.66760,-12.66760,-12.66760,-9.60250,0.01230,-2.93540,-2.93540,-0.11610,-1.72620,74.58060,7.9001,7.9001
2023-06-30,13498.00000,9113.00000,4385.00000,3509.00000,-255.00000,3764.00000,621.00000,621.00000,123.00000,498.00000,496.00000,,511.00000,626.00000,621.00000,364.80000,366.10000,1.38000,1.38000,0.39060,0.66670,4.60070,4.60070,4.60070,3.78570,0.01940,1.68390,1.68390,0.07110,1.02630,81.04350,3.3593,3.3593
2023-03-31,17045.00000,11604.00000,5441.00000,3569.00000,-25.00000,3594.00000,1847.00000,1847.00000,382.00000,1465.00000,1477.00000,,1462.00000,1888.00000,1847.00000,366.50000,367.70000,3.94000,3.93000,0.38660,0.65200,10.83600,10.83600,10.83600,8.57730,0.02400,4.55200,4.55200,0.20820,2.79220,88.68650,3.65240,3.65240
2022-12-31,13433.00000,8809.00000,4624.00000,3704.00000,-57.00000,4664.00000,-40.00000,-40.00000,-5.00000,-35.00000,-44.00000,,-52.00000,922.00000,-40.00000,372.30000,372.30000,-0.19000,-0.19000,0.38690,0.65560,-0.29780,-0.29780,-0.29780,-0.38710,0.01950,-0.13950,-0.13950,-0.00640,-0.08550,86.20540,-1.7251,-1.7251
2022-09-30,20201.00000,16933.00000,3268.00000,3429.00000,35.00000,3394.00000,-126.00000,-126.00000,-11.00000,-115.00000,-108.00000,,-92.00000,-250.00000,-126.00000,371.00000,371.00000,-0.26000,-0.26000,0.53670,1.20290,-0.62370,-0.62370,-0.62370,-0.45540,0.02980,-0.62860,-0.62860,-0.01590,-0.29130,46.54460,11.5677,11.5677
2022-06-30,11392.00000,8395.00000,2997.00000,3288.00000,-777.00000,4065.00000,-1068.00000,-1068.00000,-119.00000,-949.00000,-1017.00000,,-1010.00000,-901.00000,-1068.00000,374.40000,374.40000,-2.71000,-2.71000,0.40410,0.69750,-9.37500,-9.37500,-9.37500,-8.86590,0.01640,-3.51680,-3.51680,-0.14620,-2.09560,77.60700,4.0091,4.0091
