Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,127.96700,37.83500,90.13200,106.30500,-21.61000,132.36300,-42.23100,13.70300,-28.52800,0.11500,-28.64300,-28.64300,-28.64300,-38.61000,-42.23100,507.16000,507.16000,-0.06000,-0.06000,3.66090,0.15250,70.43380,-33.00150,-33.00150,-22.29330,-22.38310,0.08910,1.50800,59.68050,-2.61420,-3.04420,-1.99490,-2.61420,2.17330,0.0161,0.0067
2024-06-30,125.27000,45.91700,79.35300,108.70200,138.34700,-25.68900,105.04200,14.21600,119.25800,0.15000,119.10800,119.10800,119.10800,108.15300,105.04200,515.95900,524.40100,0.23000,0.23000,3.76770,0.15440,63.34560,83.85250,83.85250,95.20080,95.08100,0.08420,1.42530,63.14370,10.42640,12.07810,8.00300,10.42640,2.23670,0.049,0.0374
2024-03-31,117.96800,33.80700,84.16100,112.35900,-18.11700,134.01300,-49.85200,13.92600,-35.92600,0.13400,-36.06000,-36.06000,-36.06000,-47.29300,-49.85200,517.98740,517.98740,-0.07000,-0.07000,3.98180,0.15680,71.34220,-42.25890,-42.25890,-30.45400,-30.56760,0.07570,1.03340,87.09180,-2.97850,-3.42460,-2.31400,-2.97850,2.33720,0.00080,-0.01170
2023-12-31,118.82200,35.58900,83.23300,144.27190,7.86300,139.56800,-56.33500,14.93200,-41.40300,-1.02900,-40.37400,-40.37400,-40.37400,-52.14600,-56.33500,532.54020,532.54020,-0.08000,-0.08000,4.12590,0.13970,70.04850,-47.41120,-47.41120,-34.84460,-33.97860,0.07470,1.15060,78.21960,-3.24710,-3.72370,-2.53970,-3.24710,2.38960,0.0309,0.0265
2023-09-30,108.89100,36.38300,72.50800,106.97600,-32.25000,142.33400,-69.82600,15.07400,-54.75200,0.23800,-54.99000,-54.99000,-54.99000,-69.93200,-69.82600,529.48900,529.48900,-0.10000,-0.10000,4.74020,0.11310,66.58770,-64.12470,-64.12470,-50.28150,-50.50000,0.06790,1.56150,57.63780,-4.24610,-4.69160,-3.42990,-4.24610,2.45940,0.0765,0.0704
2023-06-30,231.11500,146.50600,84.60900,118.95500,-32.58100,154.03000,-69.42100,10.76200,-58.65900,0.13800,-58.79700,-58.79700,-58.79700,-68.26300,-69.42100,538.26700,538.26700,-0.11000,-0.11000,4.75530,0.09170,36.60910,-30.03740,-30.03740,-25.38090,-25.44060,0.13560,2.48960,36.14990,-4.28360,-4.70690,-3.45020,-4.28360,2.56940,-0.0483,-0.0548
2023-03-31,217.34300,128.17900,89.16400,153.63700,-20.98000,176.59700,-87.43300,11.67200,-75.76100,-6.96000,-68.80100,-68.80100,-68.80100,-86.42800,-87.43300,539.74410,539.74410,-0.13000,-0.13000,4.85740,0.10240,41.02460,-40.22810,-40.22810,-34.85780,-31.65550,0.12250,2.57020,35.01650,-4.79900,-5.25120,-3.87790,-4.79900,2.65280,-0.01950,-0.02620
2022-12-31,203.80500,116.68100,87.12400,119.14800,-21.28000,141.44700,-54.32300,28.46800,-25.85500,0.47100,-26.32600,-26.32600,-26.32600,-53.47600,-54.32300,545.39730,545.39730,-0.05000,-0.05000,6.17500,0.09650,42.74870,-26.65440,-26.65440,-12.68620,-12.91730,0.11510,2.67260,33.67540,-1.78730,-1.78730,-1.48710,-1.78730,2.72080,0.027,0.0259
2022-09-30,191.62100,111.51900,80.10200,113.19500,-25.46900,139.59800,-59.49600,6.33300,-53.16300,0.00500,-53.16800,-53.16800,-53.16800,-58.45100,-59.49600,548.99000,548.99000,-0.10000,-0.10000,6.96520,0.07680,41.80230,-31.04880,-31.04880,-27.74380,-27.74640,0.10800,3.81620,23.58390,-3.51560,-3.51560,-2.99630,-3.51560,2.76040,-0.0068,-0.0084
2022-06-30,186.67800,108.62900,78.04900,104.54800,-19.29700,124.76600,-46.71700,1.80200,-44.91500,-0.22700,-44.68800,-44.68800,-44.68800,-45.64200,-46.71700,544.70420,544.70420,-0.08000,-0.08000,7.62960,0.07630,41.80940,-25.02540,-25.02540,-24.06020,-23.93860,0.10510,5.86890,15.33510,-2.91210,-2.91210,-2.51490,-2.91210,2.81090,0.0422,0.0418
