Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.41500,2.41500,7.52700,-1.80400,-6.91600,37.23900,30.32300,6.93300,23.39000,23.39000,,23.24200,-6.82500,-6.91600,21.27500,21.27500,1.09000,1.09000,5.22400,0.00830,100.00000,-286.37680,-286.37680,1255.61100,962.40170,0.00250,0.07230,1244.23600,2.61980,2.63020,2.39370,2.61980,41.53800,-3.4928,-3.4928
2024-06-30,2.59500,2.59500,4.38400,-1.88500,-3.67400,7.25200,3.57800,0.68400,2.89400,2.89400,,2.98500,-3.58300,-3.67400,21.39200,21.39200,0.14000,0.14000,15.01520,0.00700,100.00000,-141.58000,-141.58000,137.88050,115.02890,0.00270,0.08430,1067.54900,0.31610,0.31730,0.30490,0.31610,42.86950,1.3894,1.3894
2024-03-31,3.01100,3.01100,5.80200,-2.17900,-4.97000,22.62500,17.65500,3.79800,13.85700,13.85700,,13.82100,-4.88000,-4.97000,21.50000,21.50000,0.64000,0.64000,13.64300,0.01030,100.00000,-165.06140,-165.06140,586.35010,459.01690,0.00320,0.08580,1048.91400,1.51140,1.51720,1.45220,1.51140,42.80150,-0.05140,-0.05140
2023-12-31,5.63600,5.63600,8.18000,-2.27800,-4.82200,26.67200,21.85000,5.55100,16.29900,16.29900,,16.34200,-4.73200,-4.82200,21.77100,21.77100,0.76000,0.76000,14.40470,0.00650,100.00000,-85.55710,-85.55720,387.68640,289.95750,0.00600,0.15720,572.56040,1.79710,1.80410,1.72700,1.79710,42.11050,-2.3255,-2.3255
2023-09-30,2.20000,2.20000,4.06600,-1.65500,-3.52100,3.79400,0.27300,0.16600,0.10700,0.10700,,-0.01600,-3.43100,-3.52100,21.67200,21.67200,0.00000,0.00000,17.60150,0.00570,100.00000,-160.04540,-160.04540,12.40910,-0.72730,0.00240,0.07100,1266.95500,0.01190,0.01200,0.01150,0.01190,41.42520,0.786,0.786
2023-06-30,2.38200,2.38200,4.33300,-1.52000,-3.47100,8.61100,5.14000,1.84000,3.30000,3.30000,,3.37100,-3.38100,-3.47100,21.87000,21.87000,0.15000,0.15000,15.36520,0.00440,100.00000,-145.71790,-145.71790,215.78500,141.51970,0.00260,0.07850,1145.89400,0.36680,0.36830,0.35350,0.36680,41.40510,-0.1533,-0.1533
2023-03-31,2.46500,2.46500,6.11300,-1.48500,-5.13300,24.73500,19.60200,1.58000,18.02200,18.02200,,17.75400,-5.04300,-5.13300,21.97000,21.97000,0.81000,0.81000,13.97070,0.00390,100.00000,-208.23530,-208.23530,795.21300,720.24340,0.00260,0.19750,455.76880,1.98920,1.99690,1.91140,1.98920,41.29830,8.35650,8.35650
2022-12-31,7.53800,7.53800,8.35200,-1.80200,-2.61600,19.55000,16.93400,2.85500,14.07900,14.07900,,13.66400,-2.52600,-2.61600,22.02400,22.02400,0.62000,0.62000,15.48880,0.00320,100.00000,-34.70420,-34.70420,224.64850,181.26820,0.00810,0.40980,219.63920,1.58160,1.58780,1.51760,1.58160,40.48000,-1.815,-1.815
2022-09-30,2.56200,2.56200,3.59100,-2.10000,-3.12900,-17.78900,-20.91800,-4.91400,-16.00400,-16.00400,,-16.49800,-3.03900,-3.12900,22.01000,22.01000,-0.75000,-0.75000,6.42430,0.00360,100.00000,-122.13110,-122.13110,-816.47150,-643.95000,0.00260,0.13080,688.20840,-1.82020,-1.82750,-1.62190,-1.82020,39.95890,-2.7168,-2.7168
2022-06-30,2.54600,2.54600,3.00700,-1.75000,-2.21100,-35.91700,-38.12800,-8.03600,-30.09200,-30.09200,,-29.88700,-2.14000,-2.21100,22.03600,22.03600,-1.36000,-1.36000,16.50760,0.00400,100.00000,-86.84210,-86.84210,-1497.56500,-1173.88100,0.00230,0.10780,834.60330,-3.39690,-3.41050,-2.68680,-3.39690,40.23700,0.0335,0.0335
2022-03-31,2.58200,2.58200,3.93300,-1.95500,-3.30600,-15.04700,-18.35300,-4.84800,-13.50500,-13.50500,,-16.18600,-3.21600,-3.30600,22.05400,22.05400,-0.73000,-0.73000,3.49140,0.00630,100.00000,-128.04030,-128.04030,-710.80560,-626.87840,0.00200,0.01410,6396.69200,-1.47080,-1.47650,-1.05160,-1.47080,41.63930,1.29490,1.29490
2021-12-31,13.99800,13.99800,13.96400,-2.16500,-2.13100,14.96100,12.83000,2.61100,10.21900,10.21900,,9.42900,-2.04100,-2.13100,22.12000,22.12000,0.44000,0.44000,8.14590,0.01380,100.00000,-15.22360,-15.22360,91.65600,67.35960,0.01160,0.22990,391.47240,1.09250,1.09670,0.84920,1.09250,42.40390,-11.3324,-11.3324
2021-09-30,2.11200,2.11200,3.04500,0.76400,-0.16900,6.15700,5.98800,0.48400,5.50400,5.50400,,1.50300,-0.08000,-0.16900,22.08400,22.08400,0.07000,0.07000,2.29930,0.01460,100.00000,-8.00190,-8.00190,283.52270,71.16480,0.00150,0.04180,2154.20400,0.59110,0.59330,0.38380,0.59110,42.20780,11.6268,11.6268
2021-06-30,2.48900,2.48900,9.34300,-3.55700,-10.41100,48.61500,38.20400,9.02000,29.18400,29.18400,,29.71600,-10.22300,-10.41100,22.11800,22.11800,1.34000,1.34000,6.01720,0.01770,100.00000,-418.28040,-418.28040,1534.91400,1193.89300,0.00210,0.05120,1756.10300,3.12980,3.14160,2.41600,3.12980,42.19110,-0.4868,-0.4868
2021-03-31,2.32500,2.32500,6.53100,-2.15900,-6.36500,30.68200,24.31700,5.59000,18.72700,18.72700,,18.55500,-6.35300,-6.36500,22.22200,22.22200,0.83000,0.83000,7.15280,0.01820,100.00000,-273.76350,-273.76350,1045.89300,798.06460,0.00200,0.06870,1310.28400,2.04500,2.05290,1.59890,2.04500,41.33360,10.96070,10.96070
2020-12-31,12.00900,12.00900,14.13100,-2.49400,-4.61600,75.59900,70.98300,18.23100,52.75200,52.75200,0.00000,51.11900,-4.60400,-4.61600,22.36900,22.36900,2.28000,2.28000,6.98850,0.01950,100.00000,-38.43780,-38.43780,591.08170,425.67240,0.01020,0.32660,275.53830,5.85230,5.87520,4.49130,5.85230,40.46820,-0.3173,-0.3169
2020-09-30,1.94500,1.94500,3.02600,-2.47100,-3.55200,14.00700,10.45500,3.56400,6.89100,6.89100,-0.13900,5.81500,-3.53400,-3.55200,22.35400,22.35400,0.26000,0.26000,11.09350,0.01500,100.00000,-182.62210,-182.62210,537.53220,298.97170,0.00180,0.08530,1055.61400,0.80680,0.81010,0.62610,0.80680,38.24690,-0.8691,-0.8697
2020-06-30,2.06700,2.06700,3.14800,-2.58000,-3.66100,52.83700,49.17600,11.24100,37.93500,37.93500,-0.26200,35.23700,-4.43800,-3.66100,22.37800,22.37800,1.57000,1.57000,15.47030,0.01150,100.00000,-177.11660,-177.11660,2379.10000,1704.74100,0.00220,0.10240,879.01310,4.44890,4.46730,4.09390,4.44890,38.12940,-12.5348,-12.5362
2020-03-31,2.96200,2.96200,2.23200,-1.37000,-0.64000,-100.09100,-100.73100,-23.66200,-77.06900,-77.06900,-0.23100,-73.35500,0.15900,-0.64000,22.44100,22.44100,-3.27000,-3.27000,16.07210,0.02120,100.00000,-21.60700,-21.60700,-3400.77700,-2476.53600,0.00330,0.15310,587.67400,-9.38950,-9.42990,-8.52450,-9.38950,36.65280,1.22700,0.73310
2019-12-31,9.97800,9.97800,11.01300,1.39500,0.36000,18.61200,18.97200,5.07500,13.89700,13.53800,-1.58900,11.02200,0.36900,0.36000,22.53400,22.53400,0.50000,0.50000,6.69170,0.01830,100.00000,3.60790,3.60790,190.13830,110.46300,0.00990,0.26920,334.28440,1.50850,1.51450,1.33920,1.50850,39.93040,0.0175,0.0059
2019-09-30,2.75400,2.75400,3.07100,-2.27600,-2.59300,10.12400,7.53100,1.63800,5.89300,6.25200,-0.30100,5.95100,-2.59500,-2.59300,22.51400,22.51400,0.26000,0.26000,11.38080,0.02870,100.00000,-94.15400,-94.15400,273.45680,216.08570,0.00280,0.10700,840.75160,0.70340,0.70620,0.62950,0.70340,39.50910,-0.2799,-0.2804
2019-06-30,4.82100,4.82100,5.86800,-2.10400,-3.15100,3.02600,-0.12500,-0.27700,0.15200,0.15200,,-0.93200,-3.14500,-3.15100,22.55200,22.55200,-0.04000,-0.04000,9.22020,0.05200,100.00000,-65.35990,-65.35990,-2.59280,-19.33210,0.00480,0.18510,486.27260,0.01720,0.01730,0.01510,0.01720,39.23970,-1.0373,-1.3144
