Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-03-31,4.65200,4.65200,9.57100,-2.95700,-7.87600,38.72100,30.84500,6.19100,24.65400,24.65400,,23.14700,-7.87000,-7.87600,22.58400,22.58400,1.02000,1.02000,11.72850,0.01930,100.00000,-169.30350,-169.30350,663.04810,497.57100,0.00470,0.16100,559.09500,2.77320,2.78420,2.47850,2.77320,39.38000,-0.56260,-0.56260
2018-12-31,8.61400,8.61400,8.43400,-2.46500,-2.28500,-45.64100,-47.92600,-7.27400,-40.65200,-40.65200,,-40.31500,-2.27900,-2.28500,23.07000,23.07000,-1.76000,-1.76000,17.45100,0.01110,100.00000,-26.52660,-26.52660,-556.37330,-468.01720,0.00900,0.28400,316.91200,-4.69290,-4.71200,-4.25930,-4.69290,38.35500,3.1359,3.1359
2018-09-30,4.66600,4.66600,5.90700,-2.25800,-3.49900,-4.58100,-8.08000,-0.85800,-7.22200,-7.22200,,-7.37900,-3.49300,-3.49900,22.97900,22.97900,-0.32000,-0.32000,13.84370,0.02420,100.00000,-74.98930,-74.98930,-173.16760,-158.14400,0.00460,0.23170,388.35410,-0.78170,-0.78470,-0.70740,-0.78170,40.21700,2.4352,2.4352
2018-06-30,4.79600,4.79600,5.87000,-2.37200,-3.44600,19.69700,16.25100,3.38800,12.86300,12.86300,,11.82400,-3.53800,-3.44600,23.08000,23.08000,0.51000,0.51000,16.94410,0.01460,100.00000,-71.85150,-71.85150,338.84480,246.53880,0.00480,0.19970,450.60050,1.41050,1.41600,1.28770,1.41050,39.66490,-0.9842,-0.9842
2018-03-31,4.70300,4.70300,6.39600,-2.55700,-4.25000,-24.85600,-29.10600,-6.73400,-22.37200,-22.37200,,-22.22900,-4.24600,-4.25000,23.50800,23.50800,-0.95000,-0.95000,33.82430,0.00590,100.00000,-90.36790,-90.36790,-618.88150,-472.65570,0.00490,0.22130,406.75100,-2.52000,-2.52970,-2.34180,-2.52000,38.37780,-1.25010,-1.25010
2017-12-31,11.58500,11.58500,12.31400,-2.76000,-3.48900,25.47800,21.98900,6.24700,15.74200,15.74200,,15.80000,-3.48500,-3.48900,23.79200,23.92500,0.67000,0.67000,16.50840,0.00620,100.00000,-30.11650,-30.11650,189.80580,136.38320,0.01150,0.20510,438.82090,1.71450,1.72100,1.56340,1.71450,38.84040,2.1869,2.1869
2017-09-30,5.24800,5.24800,8.35400,-3.00600,-6.11200,7.51200,1.40000,0.06700,1.33300,1.33300,,1.51900,-6.10800,-6.11200,23.84100,23.84100,0.06000,0.06000,14.20020,0.01010,100.00000,-116.46340,-116.46340,26.67680,28.94440,0.00540,0.25780,349.16160,0.14840,0.14900,0.13610,0.14840,37.76050,-5.1031,-5.1031
2017-06-30,5.09500,5.09500,9.34100,-2.20700,-6.45300,10.76900,4.31600,-0.31000,4.62600,4.62600,,4.59600,-6.44900,-6.45300,23.80800,24.04100,0.19000,0.19000,14.26490,0.01030,100.00000,-126.65360,-126.65360,84.71050,90.20610,0.00550,0.30910,291.14430,0.52160,0.52360,0.49910,0.52160,37.11270,0.695,0.695
2017-03-31,4.98700,4.98700,7.22700,-2.09200,-4.33200,-17.10900,-21.44100,-8.42400,-13.01700,-13.01700,,-13.07800,-4.32800,-4.33200,23.82900,23.82900,-0.55000,-0.55000,16.24040,0.00850,100.00000,-86.86590,-86.86590,-429.93780,-262.24190,0.00540,0.33480,268.79090,-1.47610,-1.48190,-1.41850,-1.47610,36.36570,-0.60510,-0.60510
2016-12-31,16.29500,16.29500,13.77600,-2.38700,0.13200,4.59900,4.73100,1.10300,3.62800,3.62800,,3.64700,0.13600,0.13200,24.87000,25.17500,0.15000,0.15000,9.15640,0.01140,100.00000,0.81000,0.81010,29.03350,22.38110,0.01710,0.68190,131.97610,0.41510,0.41670,0.38090,0.41510,36.03620,-2.0715,-2.0715
2016-09-30,5.45100,5.45100,7.78300,-2.16500,-4.49700,10.33300,5.83600,1.80700,4.02900,4.02900,,3.95900,-4.49300,-4.49700,24.91800,25.21900,0.16000,0.16000,23.67900,0.00470,100.00000,-82.49860,-82.49860,107.06290,72.62890,0.00590,0.18380,489.64220,0.44860,0.45030,0.43570,0.44860,35.41140,2.6364,2.6364
2016-06-30,4.96400,4.96400,6.23600,-2.08000,-3.35200,4.92200,1.57000,0.30500,1.26500,1.26500,,1.01900,-3.34600,-3.35200,24.85400,25.18900,0.04000,0.04000,9.44150,0.00870,100.00000,-67.52620,-67.52620,31.62770,20.52780,0.00620,0.17180,523.88200,0.16760,0.16830,0.15750,0.16760,29.65610,-0.3062,-0.3062
2016-03-31,4.51700,4.51700,7.23000,-1.80200,-4.51500,6.72300,2.20800,0.66100,1.54700,1.54700,,1.59300,-4.51200,-4.51500,24.86300,25.17700,0.06000,0.06000,9.62330,0.01050,100.00000,-99.95570,-99.95570,48.88200,35.26680,0.00560,0.15990,562.83370,0.20240,0.20330,0.19040,0.20240,30.14620,0.00300,0.00300
2015-12-31,8.99500,8.99500,13.39300,-1.48500,-5.88300,11.25100,5.36800,1.46900,3.89900,3.89900,,4.18900,-5.87900,-5.88300,24.88700,25.17000,0.17550,0.17560,7.76490,0.01280,100.00000,-65.40300,-65.40300,59.67760,46.57030,0.01070,0.13060,689.01290,0.51880,0.52110,0.46600,0.51880,29.54200,-4.4597,-4.4597
2015-09-30,4.69000,4.69000,4.33500,-1.43600,-1.08100,-11.31100,-12.39200,-4.38800,-8.00400,-8.00400,,-7.54000,-1.07800,-1.08100,24.94700,25.24100,-0.30000,-0.30000,5.43060,0.00890,100.00000,-23.04900,-23.04900,-264.22170,-160.76760,0.00640,0.08560,1051.36900,-1.27140,-1.27800,-1.09510,-1.27140,,0.587,0.587
2015-06-30,4.59000,4.59000,6.33300,-1.72500,-3.46800,4.43900,0.97100,0.13300,0.83800,0.83800,,0.85500,-3.46500,-3.46800,25.06500,25.35800,0.03000,0.03000,4.94760,0.01500,100.00000,-75.55560,-75.55560,21.15470,18.62750,0.00600,0.07880,1142.54900,0.12830,0.12900,0.10930,0.12830,,0.4873,0.4873
2015-03-31,4.56700,4.56700,6.90400,-1.54300,-3.88000,7.35700,3.47700,1.10100,2.37600,2.37600,,2.38500,-3.87700,-3.88000,25.13200,25.41400,0.09000,0.09000,7.11390,0.01370,100.00000,-84.95730,-84.95730,76.13310,52.22250,0.00660,0.21460,419.47450,0.38060,0.38260,0.34140,0.38060,,1.50420,1.50420
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,1.3525,1.3525
2014-09-30,4.89500,4.89500,3.75100,-1.89200,-0.74800,-8.63000,-9.37800,-2.56100,-6.81700,-6.81700,,-3.78300,-0.74800,-0.74800,25.29600,25.51700,-0.15000,-0.15000,5.81830,0.02250,100.00000,-15.28090,-15.28090,-191.58330,-77.28290,0.00610,0.06050,1487.30800,-1.08170,-1.08730,-0.85370,-1.08170,,-1.3525,-1.3525
