Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,771.90000,518.98600,252.91400,-224.32500,224.32500,28.58900,-11.14400,17.44500,3.36300,14.08200,,14.08200,,13.82400,45.03700,28.58900,57.16200,58.57600,0.24000,0.24000,1.28920,0.56350,1.30990,32.76510,3.70370,3.70370,2.26000,1.79090,0.36630,0.80740,15.54030,5.79140,3.96070,10.16020,0.66830,1.72890,6.40740,0.7047,0.4686
2024-04-30,746.59600,501.52700,245.06900,-235.68700,235.68700,9.38200,-11.70400,-2.32200,-3.20700,0.88500,,0.88500,,0.78300,25.76100,9.38200,57.46400,59.47000,0.01000,0.01000,1.29150,0.56700,1.32810,32.82490,1.25660,1.25660,-0.31100,0.10490,0.34510,0.80830,7.71980,11.65840,0.24690,0.63420,0.04090,0.10690,6.20270,-0.33090,-0.59810
2024-01-31,754.34800,546.99410,207.35380,-243.37100,243.37110,-36.01720,-9.99100,-46.00800,-16.39100,-29.61700,,-29.61700,,-29.69800,-17.67820,-36.01710,61.29600,63.37500,-0.45000,-0.44000,1.24930,0.53920,1.18890,27.48780,-4.77460,-4.77460,-6.09900,-3.93690,0.36330,0.95740,9.02440,9.97300,-8.24480,-19.40390,-1.42650,-3.79920,6.27740,-0.7356,-0.9143
2023-10-31,786.32900,529.92300,256.40600,-228.28500,228.28490,28.12100,-8.92900,19.19200,8.98700,10.20500,,10.20500,,10.14100,42.78800,28.12100,58.63300,61.40500,0.17000,0.17000,1.17920,0.49040,0.96870,32.60800,3.57620,3.57620,2.44070,1.28970,0.36870,0.88100,7.35460,12.23720,2.63300,5.64460,0.47850,1.34180,6.82530,1.2925,0.9784
2023-07-31,792.21700,518.83000,273.38700,-212.70000,212.70000,60.68700,-6.35300,54.33400,17.07900,37.25500,,37.25500,,37.20400,77.25600,60.68700,65.57600,66.99700,0.57000,0.56000,1.23030,0.41670,0.71990,34.50910,7.66040,7.66040,6.85850,4.69620,0.36890,0.85500,8.13670,11.06110,8.10210,14.78850,1.73490,4.72580,7.19860,1.6693,1.5088
2023-04-30,742.08200,504.34300,237.73900,-218.12900,218.12900,19.61000,-6.93100,12.67900,1.30600,11.37300,,11.37300,,11.41500,36.17500,19.61000,64.37100,67.04200,0.18000,0.17000,1.29490,0.47000,0.88670,32.03680,2.64260,2.64260,1.70860,1.53820,0.34770,0.79130,7.40330,12.15680,2.58390,4.94620,0.53280,1.36950,6.69830,0.33630,0.12180
2023-01-31,760.54600,538.55510,221.99090,-219.92000,219.91990,2.07100,-4.36500,-2.29400,-47.39400,45.10000,,45.10000,,45.11000,18.63200,2.07100,67.60300,72.10100,0.69000,0.65000,1.24180,0.39360,0.64920,29.18840,0.27230,0.27230,-0.30160,5.93130,0.37850,0.88920,9.78030,9.20220,10.41810,14.83940,2.24420,6.31710,6.80080,2.245,2.0889
2022-10-31,865.02000,579.20100,285.81900,-221.29100,221.29100,64.52800,-4.97800,59.55000,14.37900,45.17100,,45.17100,,45.17100,85.13600,64.52800,64.24500,69.14000,0.70000,0.65000,1.43140,0.52000,1.08330,33.04190,7.45970,7.45970,6.88420,5.22200,0.39840,0.84950,3.78160,23.79960,11.77830,16.69390,2.08030,5.65360,6.02810,0.4018,0.1626
2022-07-31,859.31900,563.64900,295.67000,-228.07100,228.07100,67.59900,-2.71500,64.88400,18.67100,46.21300,,46.21300,,46.21300,90.36100,67.59900,69.60400,73.94200,0.66000,0.62000,1.35280,0.51770,1.07340,34.40750,7.86660,7.86660,7.55060,5.37790,0.40870,0.81220,4.19430,21.45790,12.80320,18.70550,2.19810,6.17500,5.59300,0.6756,0.4677
2022-04-30,830.54300,554.79800,275.74510,-222.55300,222.55300,53.19210,-15.80800,37.38400,11.20200,26.18200,,26.18200,,26.18200,74.57610,53.19210,72.92300,76.92400,0.36000,0.34000,1.31970,0.42400,0.73620,33.20060,6.40450,6.40450,4.50120,3.15240,0.39780,0.82500,3.73620,24.08870,6.28180,8.64710,1.25410,3.61800,5.77410,-0.52870,-0.68800
