Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,16.24200,5.70600,-21.94800,1.63500,-20.31300,-20.31300,-20.31300,-20.31300,-22.85000,-21.94800,7.29600,7.29600,-2.78000,-2.78000,7.65480,0.04520,0.07660,,,,,,,,,-15.15340,-15.15340,-12.37950,-14.46820,18.37290,-2.3892,-2.3917
2024-06-30,,,16.29800,5.60300,-23.38300,1.83600,-21.54700,-21.54700,-21.54700,-21.54700,-24.44600,-23.38300,7.28460,7.28460,-3.00000,-3.00000,9.58090,0.04790,0.06770,,,,,,,,,-14.29940,-14.29940,-11.97580,-13.61370,20.67350,-2.3359,-2.3359
2024-03-31,,,17.17200,6.53900,-23.71100,2.05300,-21.65800,-21.65800,-21.65800,-21.65800,-24.90000,-23.71100,7.28000,7.28000,-3.00000,-3.00000,11.48520,0.04960,0.05990,,,,,,,,,-12.80620,-12.80620,-10.87630,-12.17080,23.23060,-3.14040,-3.14040
2023-12-31,,,22.64200,5.76000,-34.58900,2.32900,-32.26000,-32.26000,-32.26000,-32.26000,-35.78200,-34.58900,7.25540,7.25540,-4.32000,-4.32000,11.66310,0.05090,0.05370,,,,,,,,,-17.19890,-17.19890,-14.58180,-16.32270,25.77220,-2.631,-2.6315
2023-09-30,7.00000,7.00000,23.73800,8.78900,-25.52700,2.42400,-23.10300,-23.10300,-23.10300,-23.10300,-26.95700,-25.52700,7.26800,7.26800,-3.18000,-3.18000,13.82650,0.04430,0.04630,100.00000,-364.67140,-364.67140,-330.04290,-330.04290,0.02810,1.00000,90.00000,-10.69610,-10.69610,-9.26620,-10.22240,29.71320,-2.7624,-2.7798
2023-06-30,,,20.99900,5.78500,-26.78400,2.47600,-24.30800,-24.30800,-24.30800,-24.30800,-28.29500,-26.78400,7.24620,7.24620,-3.40000,-3.40000,17.72610,0.04110,0.04280,,,,,,,,,-10.46510,-10.46510,-9.22930,-10.03510,32.02360,-2.9755,-3.1654
2023-03-31,,,18.31800,6.20600,-24.52400,2.32500,-22.19900,-22.19900,-22.19900,-22.19900,-25.91900,-24.52400,7.23280,7.23280,-3.10000,-3.10000,19.43950,0.03770,0.03920,,,,,,,,,-8.79200,-8.79200,-7.81160,-8.46050,35.65440,-2.88410,-2.92510
2022-12-31,,,14.85900,5.17500,-20.03400,1.85300,-18.18100,-18.18100,-18.18100,-18.18100,-21.61900,-20.03400,6.73690,6.73690,-2.50000,-2.50000,25.98180,0.03520,0.03640,,,,,,,,,-6.73690,-6.73690,-6.06910,-6.50000,39.40140,-2.7806,-2.8436
2022-09-30,,,13.86000,5.06700,-18.92700,1.08000,-17.84700,-17.84700,-17.84700,-17.84700,-19.04100,-18.92700,7.21540,7.21540,-2.50000,-2.50000,31.15450,0.03340,0.03450,,,,,,,,,-6.30220,-6.30220,-5.85590,-6.09180,41.41870,-1.8157,-1.8886
2022-06-30,,,11.34600,4.97700,-16.32300,0.13600,-16.18700,-16.18700,-16.18700,-16.18700,-15.59900,-16.32300,6.42800,6.42800,-2.50000,-2.50000,39.64450,0.03170,0.03270,,,,,,,,,-5.44350,-5.44350,-5.09820,-5.27110,43.51120,-1.9427,-1.9667
