Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,55.78300,55.78300,6.76500,-9.79400,30.17000,0.69200,30.86200,30.86200,30.86200,,29.16500,39.66800,30.17000,43.86800,44.39400,0.66000,0.66000,0.42990,0.75410,54.08460,54.08460,55.32510,52.28300,0.02980,2.96340,2.96340,1.64890,1.68940,23.12560,0.7372,0.5979
2024-06-30,50.11600,50.11600,6.76000,-15.26500,19.06700,0.67100,19.73800,19.73800,19.73800,,19.18800,28.56400,19.06700,43.17100,43.46300,0.44000,0.44000,0.46700,0.87610,38.04570,38.04570,39.38460,38.28720,0.02650,2.00840,2.00840,1.04390,1.07050,22.59680,0.8456,0.7928
2024-03-31,51.36600,51.36600,6.49100,-11.46700,24.31300,0.37600,24.68900,24.68900,24.68900,,24.06500,33.90800,24.31300,42.89100,43.03200,0.56000,0.56000,0.48350,0.93620,47.33290,47.33290,48.06490,46.85010,0.02820,2.68700,2.68700,1.35770,1.38780,21.23460,0.48680,0.44860
2023-12-31,50.19500,50.19500,5.94200,-6.62900,28.29300,0.37700,28.67000,28.67000,28.67000,,28.14100,38.11800,28.29300,41.27200,41.35800,0.67000,0.67000,0.49310,0.97280,56.36620,56.36620,57.11730,56.06340,0.02710,3.12900,3.12900,1.54550,1.58610,21.29760,0.6091,0.5012
2023-09-30,49.30300,49.30300,5.95900,-11.59300,22.25200,0.37500,22.62700,22.62700,22.62700,,22.05000,32.22200,22.25200,41.15300,41.21100,0.54000,0.54000,0.52640,1.11140,45.13320,45.13320,45.89380,44.72340,0.02640,2.62990,2.62990,1.21140,1.24560,20.77620,0.7867,0.7419
2023-06-30,48.24600,48.24600,6.09100,-26.55100,6.22800,0.37600,6.60400,6.60400,6.60400,,6.02800,16.10800,6.22800,41.14500,41.23200,0.15000,0.15000,0.52590,1.10910,12.90880,12.90880,13.68820,12.49430,0.02600,0.76830,0.76830,0.35540,0.36430,20.75910,0.6906,-0.3856
2023-03-31,49.50000,49.50000,6.29400,-0.81100,33.18500,0.37600,33.56100,33.56100,33.56100,,32.92900,42.90400,33.18500,41.08200,41.18900,0.80000,0.80000,0.51030,1.04210,67.04040,67.04040,67.80000,66.52320,0.02750,3.88160,3.88160,1.86570,1.90080,20.88640,0.43800,0.37460
2022-12-31,47.83900,47.83900,6.29900,-14.42500,17.82100,0.37700,18.19800,18.19800,18.19800,,17.94500,27.62500,17.82100,39.89400,40.06700,0.43000,0.44000,0.47450,0.90300,37.25200,37.25210,38.04010,37.51130,0.02890,2.14020,2.14020,1.09880,1.12460,20.60750,0.8407,0.713
2022-09-30,43.50300,43.50300,5.88800,-15.21700,13.01300,0.37600,13.38900,13.38900,13.38900,,13.15900,22.92800,13.01300,40.27000,40.55200,0.33000,0.32000,0.49030,0.96190,29.91290,29.91290,30.77720,30.24850,0.02630,1.62260,1.62260,0.81050,0.82700,20.37200,0.5732,0.5601
2022-06-30,43.02400,43.02400,5.71100,26.18000,54.11400,0.37600,54.49000,54.49000,54.49000,,54.06500,63.98200,54.11400,39.49200,39.66500,1.37000,1.36000,0.47550,0.90670,125.77630,125.77630,126.65020,125.66240,0.02730,6.72300,6.72300,3.45260,3.52600,20.07170,0.7494,-0.6029
