Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.05930,,-1.05930,0.36440,-0.69490,-0.69490,-0.69490,-0.69490,-1.05930,-1.05930,3.75000,3.75000,-0.11000,-0.11000,0.00840,,-0.10560,13.34200,13.34200,-3.45820,13.34200,-1.38900,0,0
2024-06-30,1.08130,,-1.08130,0.64630,-0.43500,-0.43500,-0.43500,-0.43500,-1.08130,-1.08130,3.75000,3.75000,-0.07000,-0.07000,0.02640,,-0.12320,10.71780,10.71780,-1.36440,10.71780,-1.08230,0,0
2024-03-31,0.33760,,-0.33760,0.09570,-0.24190,-0.24190,-0.24190,-0.24190,-0.33760,-0.33760,3.75000,3.75000,-0.04000,-0.04000,0.01840,,-0.15550,7.52360,7.52360,-0.76980,7.52360,-0.85730,0.00000,
2023-12-31,0.71760,,-0.71760,-0.62940,-1.34700,-1.34700,-1.34700,0.40680,-0.71760,-0.71760,3.75000,3.75000,0.04000,0.04000,,,-0.19460,52.41300,52.41300,-4.34930,52.41300,-0.68530,0,0
2023-09-30,0.37390,,-0.37390,1.00670,0.63270,0.63270,0.63270,0.63270,-0.37390,-0.37390,3.75000,3.75000,0.07000,0.07000,0.05210,,-0.18060,-28.55940,-28.55940,1.01380,-28.55940,-0.59080,0,0
2023-06-30,0.39230,,-0.39230,1.75360,1.36130,1.36130,1.36130,1.36130,-0.39230,-0.39230,3.75000,3.75000,0.08000,0.08000,0.19580,,-0.05590,-76.12720,-76.12720,2.21660,-76.12720,-0.47690,-0.0285,-0.0285
2023-03-31,0.44740,,-0.44740,1.14610,0.69880,0.69880,0.69880,0.69880,-0.44740,-0.44740,3.75000,3.75000,0.04000,0.04000,0.57860,,,-10.42790,-10.42790,0.45280,-10.42790,-1.78690,-0.04450,-0.04450
2022-12-31,0.55730,,-0.24080,1.82370,1.58280,1.58280,1.58280,1.58280,-0.24080,-0.24080,3.75000,3.75000,0.08000,0.08000,2.41360,,,-27.87850,-27.87850,1.03580,-27.87850,-1.51400,-0.0194,-0.0194
2022-09-30,0.41060,,-0.41060,0.74030,0.32970,0.32970,0.32970,0.32970,-0.41060,-0.41060,3.75000,3.75000,0.02000,0.02000,3.91600,,,-5.55950,-5.55950,0.21730,-5.55950,-1.58140,-0.0462,-0.0462
2022-06-30,0.28370,,-0.28370,2.26060,1.97700,1.97700,1.97700,1.97700,-0.28370,-0.28370,3.75000,3.75000,0.11000,0.11000,13.91530,,,-35.81620,-35.81620,1.30680,-35.81620,-1.47190,-0.0506,-0.0506
2022-03-31,,-0.31650,-0.31650,4.02320,3.70670,3.70670,3.70670,3.70670,-0.31650,-0.31650,3.75000,3.75000,0.20000,0.20000,9.88720,,,-50.83080,-50.83070,2.44820,-50.83080,-1.94460,-0.03550,-0.03550
2021-12-31,,-0.24070,-0.24070,-1.24740,-1.48810,-1.48810,-1.48810,-1.48810,-0.24070,-0.24070,3.61320,3.61320,-0.01000,-0.01000,48.96110,,,13.58210,13.58210,-0.98170,13.58210,-2.92160,-0.0392,-0.0392
2021-09-30,,-0.23260,-0.23260,5.71960,5.48700,5.48700,5.48700,5.48700,-0.23260,-0.23260,3.75000,3.75000,0.29000,0.29000,153.96940,,,-58.06710,-58.06710,3.61490,-58.06710,-2.51980,-0.0264,-0.0264
2021-06-30,,-0.03680,-0.03680,0.44770,0.41090,0.41090,0.41090,0.41090,-0.03680,-0.03680,3.75000,3.75000,0.09000,0.09000,39.73890,,,8.21750,8.21750,0.27020,8.21750,0.79300,-0.2829,-0.2829
2021-03-31,,-0.02300,-0.02300,,-0.02300,-0.02300,-0.02300,-0.02300,-0.02300,-0.02300,3.75000,3.75000,-0.01000,-0.01000,,0.97920,47.00540,-1136.40000,-1136.40100,-5.71930,-23.67230,0.00050,0.00000,
