Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,225.48600,153.55800,71.92800,47.99000,0.46700,47.52300,24.40500,-1.14700,23.25800,5.92100,17.33700,17.33700,,17.33700,29.72600,24.40500,36.28000,36.51100,0.48000,0.47000,1.70990,0.31220,0.45620,31.89910,10.82330,10.82330,10.31460,7.68870,0.43590,1.54090,1.69940,52.96120,7.73500,20.05880,3.35180,5.31980,6.16950,0.19970,0.09060
2021-12-31,199.57900,147.76300,51.81600,41.30200,0.23600,41.06590,10.75010,-1.15800,9.59200,2.33700,7.25500,7.25500,,7.25500,16.00410,10.75000,36.13900,36.35900,0.20000,0.20000,1.65970,0.32410,0.48190,25.96270,5.38640,5.38630,4.80610,3.63520,0.41190,1.57950,1.93380,46.54160,3.46590,10.31040,1.49730,2.34250,5.77260,0.8632,0.7716
2021-09-30,200.05800,145.86000,54.19800,42.53100,0.15000,42.38100,11.81700,-1.05600,10.76100,2.85800,7.90300,7.90300,,7.90300,16.69600,11.81700,36.19600,36.40200,0.22000,0.22000,1.78500,0.37040,0.59070,27.09110,5.90680,5.90680,5.37890,3.95040,0.40430,1.61390,1.72240,52.25240,3.84530,12.22090,1.59720,2.42110,5.67310,-0.2141,-0.3744
2021-06-30,187.36900,132.37500,54.99400,40.12100,0.99600,39.12500,15.86900,-0.99900,14.87000,3.79500,11.07500,11.07500,,11.07500,21.36000,15.86900,36.12300,36.33600,0.31000,0.30000,1.58250,0.25050,0.33670,29.35060,8.46940,8.46940,7.93620,5.91080,0.43530,1.66550,1.90010,47.36590,5.48320,13.21110,2.57270,4.10940,5.58480,0.4047,0.4012
2021-03-31,174.42900,124.01600,50.41300,39.54800,,39.54800,10.86500,-0.99500,9.87000,2.56500,7.30500,7.30500,,7.30500,16.12600,10.86500,35.99300,36.29100,0.20000,0.20000,1.67780,0.29360,0.41820,28.90170,6.22890,6.22890,5.65850,4.18800,0.41500,1.77550,1.84350,48.82050,3.76060,9.73290,1.73810,2.65640,5.38410,0.18150,0.03720
2020-12-31,137.46700,97.63000,39.83700,34.97100,-0.01000,34.98100,4.85600,-1.22100,3.63500,0.64500,2.99000,2.99000,,2.99000,9.87900,4.85600,35.78600,35.91700,0.09000,0.08000,1.29160,0.16580,0.41020,28.97930,3.53250,3.53250,2.64430,2.17510,0.34370,1.48110,1.62200,55.48610,1.58120,4.34550,0.74750,1.31900,5.26430,0.423,0.2986
2020-09-30,132.25800,85.19100,47.06700,33.92700,0.00000,33.92700,13.14000,-1.20400,11.93600,3.25100,8.68500,8.68500,,8.68500,17.28600,13.14000,35.79600,35.94300,0.24000,0.24000,1.69600,0.16660,0.41300,35.58730,9.93510,9.93510,9.02480,6.56670,0.36100,1.76980,1.75090,51.40340,4.62960,9.07510,2.37050,3.85830,5.23990,0.5437,0.4501
2020-06-30,118.39400,75.82100,42.57300,30.31700,,30.31700,12.25600,-1.19400,11.06200,2.69400,8.36800,8.36800,,8.36800,18.19300,12.25600,35.77400,35.92000,0.23000,0.23000,1.65130,0.17080,0.42590,35.95880,10.35190,10.35190,9.34340,7.06790,0.33360,1.53020,1.66120,54.17760,4.60550,9.38880,2.35820,3.81900,5.07740,0.1878,0.1017
2020-03-31,122.25000,79.76700,42.48300,31.11600,11.93100,19.18500,23.29800,-1.06900,22.22900,5.50300,16.72600,16.72600,,16.72600,29.12200,23.29800,35.72400,35.82800,0.47000,0.47000,1.59190,0.17480,0.43850,34.75090,19.05770,19.05770,18.18320,13.68180,0.35040,1.62370,1.87340,48.04050,9.49140,20.41850,4.79440,7.83200,4.92850,0.14030,0.07080
2019-12-31,116.81800,77.58700,39.23100,30.33800,-0.08700,30.42500,8.80600,-1.02400,7.78200,2.03500,5.74700,5.74700,-0.00900,5.73800,14.70100,8.80600,35.49200,35.65300,0.15000,0.16000,2.23950,0.31650,0.46300,33.58300,7.53820,7.53820,6.66160,4.91190,0.33080,1.75300,1.87150,48.09100,3.44790,8.31040,1.62740,2.35670,4.66750,0.2152,0.0863
