Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,8.65500,6.24700,-0.31300,-15.21500,-13.65100,-28.86600,-28.86600,-28.86600,,-28.86600,-13.75100,-15.21500,4.57710,4.57710,-6.31000,-6.31000,1.91790,,0.00930,,,,,,,,,-180.48000,-180.48020,-50.00950,-180.48020,3.48680,-1.7137,-1.7006
2024-06-30,,,9.15100,4.20500,,-13.35600,2.15300,-11.20300,-11.20300,-11.20300,,-11.20300,-11.88900,-13.35600,4.57200,4.57200,-2.45000,-2.45000,4.88960,,0.00410,,,,,,,,,-25.37600,-25.37600,-12.88990,-25.37600,9.65620,-1.8246,-1.8246
2024-03-31,,,8.77900,7.52200,,-16.30100,4.19000,-12.11100,-12.11100,-12.11100,,-12.11100,-14.84000,-16.30100,4.57090,4.57090,-2.60000,-2.60000,5.79310,,0.00380,,,,,,,,,-21.59050,-21.59060,-11.85200,-21.59050,12.27090,-2.55570,-2.55900
2023-12-31,,,9.12300,9.30500,-0.27100,-18.69900,0.01000,-18.68900,-18.68900,-18.68900,-0.02700,-18.71600,-17.22500,-18.69900,4.43720,4.43720,-4.22000,-4.22000,5.61870,,0.00350,,,,,,,,,-27.93030,-27.93030,-15.64140,-27.93030,14.64180,-1.6089,-1.5923
2023-09-30,0.33800,0.33800,9.09200,9.43100,-25.69100,-43.87600,7.26100,-36.61500,-36.61500,-36.61500,21.69200,-14.92300,-42.06100,-43.87600,4.44720,4.44720,-3.36000,-3.36000,7.81160,0.00030,0.00310,100.00000,-12981.06000,-12981.06000,-10832.84000,-4415.08900,0.00260,0.01820,4957.98800,-44.14850,-44.14850,-27.78790,-44.13520,18.64650,-3.4285,-3.8361
2023-06-30,0.93700,0.93700,6.87600,9.24900,,-15.18800,0.93800,-14.25000,-14.25000,-14.25000,-4.44700,-18.69700,-13.97700,-15.18800,4.42770,4.42770,-4.22000,-4.22000,6.08980,0.00050,0.00290,100.00000,-1620.91800,-1620.91800,-1520.81100,-1995.41100,0.00650,1.65260,54.46100,-14.62800,-14.62800,-9.92130,-14.62060,21.90850,-3.0712,-3.893
2023-03-31,1.28600,1.28600,7.05900,9.19100,,-14.96400,1.11200,-13.85200,-13.85200,-13.85200,-4.87000,-18.72200,-14.03500,-14.96400,4.40710,4.40710,-4.20000,-4.20000,6.25770,0.00060,0.00270,100.00000,-1163.60800,-1163.60800,-1077.13800,-1455.83200,0.00800,1.62580,55.35770,-12.33040,-12.33040,-8.58110,-12.32240,25.48840,-3.69950,-5.17600
2022-12-31,0.05800,0.05800,4.77600,9.08900,,-13.80700,1.80500,-12.00200,-12.00200,-12.00200,-6.20800,-18.21000,-12.86300,-13.80700,2.61110,2.61110,27.30000,27.30000,5.68210,,0.00110,100.00000,-23805.28000,-23805.28000,-20693.20000,-31396.70000,0.00030,0.09270,971.38380,-9.43090,-9.43090,-6.63860,-9.43090,28.88210,-7.4024,-15.6849
2022-09-30,1.76600,1.76600,6.51900,9.99500,,-14.74800,0.44500,-14.30300,-14.30300,-14.30300,-2.33700,-16.64000,-13.71700,-14.74800,4.34240,4.34240,-3.80000,-3.80000,7.56210,,0.00100,100.00000,-835.10760,-835.10760,-809.90940,-942.24230,0.00930,2.08750,43.11440,-10.19150,-10.19150,-7.55010,-10.19150,32.16000,5.7535,12.0525
2022-06-30,1.35800,1.35800,9.24700,13.88200,,-21.77100,10.21900,-11.55200,-11.55200,-11.55200,,-11.55200,-20.83600,-21.77100,1.34470,1.34470,-8.60000,-8.60000,8.08620,,0.00190,100.00000,-1603.16600,-1603.16600,-850.66270,-850.66270,0.00670,2.37000,37.97500,-7.48840,-7.48840,-5.70860,-7.48840,35.57140,20.0063,29.4178
