Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share
2024-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.596
2024-09-30,240.11200,80.54500,159.56700,11.08200,61.15400,132.42100,27.14600,-18.45900,8.68700,3.27400,5.41300,5.41300,5.41300,87.98600,27.14600,171.57830,176.18150,0.03000,0.03000,2.29460,0.28770,0.40850,66.45520,11.30560,11.30560,3.61790,2.25440,0.05290,1.68530,53.40400,0.17730,-0.52210,0.11920,0.12630,17.73970,0.3999
2024-06-30,234.54300,80.45100,154.09200,15.90100,85.67000,145.84700,8.24500,-50.54100,-42.29600,-14.61100,-27.68500,-27.68500,-27.68500,8.24500,8.24500,133.52780,133.52780,-0.21000,-0.21000,2.15110,0.31360,0.46150,65.69880,3.51540,3.51540,-18.03340,-11.80380,0.05140,1.47380,61.06870,-0.93970,2.32120,-0.60620,-0.64500,17.67730,0.1961
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.3288
2023-09-30,197.26300,62.92200,134.34100,8.97200,49.47900,102.12600,32.21500,-52.41000,-20.19500,-4.70900,-15.48600,-15.48600,-15.48600,78.57700,32.21500,121.67390,121.67390,-0.13000,-0.13000,,,,68.10250,16.33100,16.33100,-10.23760,-7.85040,,,,,,,,,-0.0858
2023-06-30,195.96900,60.50000,135.46900,8.24900,45.89100,98.28000,37.18900,-51.14600,-13.95700,-3.14700,-10.81000,-10.81000,-10.81000,37.18900,37.18900,121.67630,121.67630,-0.09000,-0.09000,,,,69.12780,18.97700,18.97700,-7.12200,-5.51620,,,,,,,,,0.4146
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0
