Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,10.94770,7.96290,2.98470,3.60490,3.60490,-0.62020,,-0.62020,-0.25320,-0.36700,-0.36700,-0.36700,12.70270,12.70270,-0.03000,-0.03000,1.47920,-20.77860,-12.29470,0.00300,-0.26800,-0.26830,-0.03750,-0.26800,10.45980,-0.0234,-0.0271
2024-06-30,10.77740,7.73050,3.04690,3.76080,3.76080,-0.71390,,-0.71390,-0.28140,-0.43250,-0.43250,-0.43250,12.80390,12.80390,-0.03000,-0.03000,1.31620,-23.70130,-14.35890,0.00310,-0.31720,-0.31760,-0.04440,-0.31720,10.36910,0.128,0.1097
2024-03-31,10.36030,7.41000,2.95030,3.67810,3.67800,-0.72780,,-0.72780,-0.28680,-0.44100,-0.44100,-0.44100,12.85290,12.85290,-0.03000,-0.03000,1.09440,-24.96390,-15.12630,0.00300,-0.32320,-0.32360,-0.04590,-0.32320,10.29320,-0.22410,-0.24480
2023-12-31,9.84860,6.62810,3.22050,4.94620,4.94620,-1.72570,,-1.72570,-0.54800,-1.17780,-1.17780,-1.17780,12.89190,12.89190,-0.10000,-0.10000,1.22250,-53.58590,-36.57100,0.00340,-0.85860,-0.85990,-0.12540,-0.85860,10.33010,-0.0159,-0.0204
2023-09-30,9.57920,6.07210,3.50710,3.66140,3.66140,-0.15430,,-0.15430,-0.12530,-0.02910,-0.02910,-0.02910,13.03790,13.03790,0.00000,0.00000,0.98300,-4.40030,-0.82840,0.00380,-0.02110,-0.02110,-0.00310,-0.02110,10.29260,0.0056,-0.0022
2023-06-30,9.69070,5.11380,4.57690,3.50720,3.50720,1.06960,,1.06960,0.21300,0.85660,0.85660,0.85660,13.07930,13.08120,0.07000,0.07000,0.91410,22.74950,18.21920,0.00510,0.61540,0.61650,0.09200,0.61540,10.32480,0.0286,0.0234
2023-03-31,9.30050,4.49240,4.80810,3.51730,3.51730,1.29080,,1.29080,0.29810,0.99270,0.99270,0.99270,13.01350,13.05550,0.08000,0.08000,0.80550,26.84560,20.64650,0.00510,0.71370,0.71500,0.10450,0.71370,10.24800,0.09320,0.08600
2022-12-31,9.23690,2.94030,6.29660,3.66110,3.66110,2.63550,,2.63550,0.73210,1.90340,1.90340,1.90340,13.57040,13.57690,0.15000,0.15000,0.73260,42.87710,30.96600,0.00650,1.36290,1.36550,0.20010,1.36290,10.19480,0.1287,0.1245
2022-09-30,8.44490,1.96640,6.47850,3.81380,3.81380,2.66480,,2.66480,0.73420,1.93060,1.93060,1.93060,13.46880,13.52990,0.14000,0.14000,0.90780,42.27420,30.62750,0.00670,1.36810,1.37080,0.20400,1.36810,10.03760,0.2143,0.209
2022-06-30,7.16490,1.20600,5.95890,3.69390,3.69390,2.26500,,2.26500,0.62300,1.64200,1.64200,1.64200,13.66220,13.70170,0.12000,0.12000,0.82070,38.65970,28.02580,0.00670,1.16900,1.17150,0.18770,1.16900,9.88600,-0.1348,-0.1396
2022-03-31,6.62340,1.15600,5.46740,3.54130,3.54130,1.92610,,1.92610,0.52520,1.40090,1.40090,1.40090,13.85890,13.87830,0.10000,0.10000,0.53790,35.22950,25.62270,0.00640,0.96600,0.96810,0.16470,0.96600,10.05380,0.59140,0.58790
2021-12-31,7.37360,1.25850,6.11510,3.67780,3.67790,2.43720,0.00000,2.43720,0.40440,2.03290,2.03290,2.03290,13.72590,13.89760,0.15000,0.14000,0.57630,39.85630,33.24350,0.00730,1.37750,1.38070,0.24280,1.37750,10.10380,-1.2747,-1.2868
2021-09-30,6.86000,1.41000,5.45000,3.80110,3.80110,1.64890,,1.64890,0.60670,1.04220,1.04220,1.04220,14.01930,14.01930,0.07000,0.07000,0.61880,30.39470,19.21050,0.00650,0.71570,0.71750,0.12480,0.71570,9.95180,0.3742,0.3493
2021-06-30,6.73480,1.42710,5.30780,3.44920,3.44920,1.85860,-0.07390,1.78460,0.34590,1.43870,1.43870,1.43870,13.94540,13.94540,0.10000,0.10000,0.67070,33.28450,26.83300,0.00650,0.99480,0.99740,0.17570,0.99480,10.02580,0.6508,0.5919
2021-03-31,8.59270,1.69480,6.89790,3.05520,3.05520,3.84270,-0.31830,3.52450,0.51810,3.00630,3.00630,3.00630,13.10760,13.10760,0.23000,0.23000,0.75370,50.66130,43.21330,0.00820,2.10120,2.10710,0.35620,2.10120,9.91880,0.67870,0.66970
2020-12-31,5.74800,2.00570,3.74230,2.29640,2.29650,1.44580,,1.44580,0.39950,1.04630,1.04630,1.04630,12.17060,12.17060,0.11000,0.11000,0.81180,37.87650,27.41030,0.00520,0.81450,0.81450,0.14120,0.81450,,0.1031,-0.0154
2020-09-30,6.01130,2.30910,3.70220,2.41900,2.41910,1.28320,,1.28320,0.32680,0.95640,0.95640,0.95640,12.65750,12.65750,0.08000,0.08000,0.84890,34.89570,26.00930,0.00490,0.75070,0.75070,0.12690,0.75070,9.68230,0.0607,0.0393
2020-06-30,6.58390,2.53040,4.05350,2.38470,2.38470,1.66880,,1.66880,0.26570,1.40310,1.40310,1.40310,12.65080,12.65080,0.11000,0.11000,,43.58900,36.64820,,,,,,,0.0927,0.0925
2020-03-31,6.03870,2.83340,3.20530,5.09760,5.09760,-1.89230,,-1.89230,-0.55470,-1.33760,-1.33760,-1.33760,10.69930,10.69930,-0.13000,-0.13000,,-59.50030,-42.05820,,,,,,,0.22040,0.21700
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2019-09-30,5.93700,3.05400,2.88300,1.93880,1.93870,0.94420,,0.94420,0.27320,0.67100,0.67100,0.67100,,,,0.00000,,32.75150,23.27490,,,,,,,0,0
