Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.37000,2.37000,12.26800,5.81800,,-15.71600,1.60800,-14.10800,-14.10800,-14.10800,-14.10800,-15.81800,-15.71600,60.31200,60.31200,-0.23000,-0.23000,8.31610,100.00000,-663.12230,-663.12230,-595.27420,-595.27430,0.01580,-12.69530,-12.69530,-9.40380,-12.69530,1.84180,-0.2027,-0.2026
2024-06-30,2.68800,2.68800,13.76500,6.36800,-0.57800,-18.02300,1.82300,-16.20000,-16.20000,-16.20000,-16.20000,-18.41800,-18.02300,60.09970,60.09970,-0.27000,-0.27000,8.48520,100.00000,-670.49850,-670.49850,-602.67850,-602.67860,0.01640,-13.15510,-13.15510,-9.86160,-13.15510,2.04320,-0.2679,-0.2679
2024-03-31,2.52000,2.52000,14.22200,7.50600,-12.78600,-31.99400,2.03600,-29.95800,-29.95800,-29.95800,-29.95800,-32.62500,-31.99400,59.52100,59.52100,-0.50000,-0.50000,8.32070,100.00000,-1269.60300,-1269.60300,-1188.81000,-1188.81000,0.01380,-21.87230,-21.87230,-16.37240,-21.87230,2.27940,-0.40150,-0.40160
2023-12-31,2.28600,2.28600,20.56800,11.97800,,-27.34400,2.02400,-25.32000,-25.32000,-25.32000,-25.32000,-25.18800,-27.34400,57.74400,57.74400,-0.43000,-0.43000,7.23940,100.00000,-1196.15000,-1196.15000,-1107.61100,-1107.61100,0.01070,-15.91670,-15.91670,-11.87180,-15.91670,2.69870,-0.4398,-0.4404
2023-09-30,0.91700,0.91700,25.34400,9.39800,,-33.82500,2.45100,-31.37400,-31.37400,-31.37400,-31.37400,-34.68300,-33.82500,58.14600,58.14600,-0.54000,-0.54000,7.46190,100.00000,-3688.65900,-3688.65900,-3421.37400,-3421.37400,0.00390,-17.56470,-17.56470,-13.18270,-17.56470,3.07010,-0.3815,-0.385
2023-06-30,1.86400,1.86400,20.80900,10.30700,-2.91600,-32.16800,2.42700,-29.74100,-29.74100,-29.74100,-29.74100,-33.07100,-32.16800,57.39790,57.39790,-0.52000,-0.52000,10.16200,100.00000,-1725.75100,-1725.75100,-1595.54700,-1595.54700,0.00720,-14.62610,-14.62610,-11.41190,-14.62610,3.49850,-0.4355,-0.4409
2023-03-31,1.22100,1.22100,19.65800,10.05600,,-28.49300,2.25500,-26.23800,-26.23800,-26.23800,-26.23800,-29.17700,-28.49300,57.14700,57.14700,-0.46000,-0.46000,9.19360,100.00000,-2333.57900,-2333.57900,-2148.89400,-2148.89500,0.00420,-11.63010,-11.63010,-9.07810,-11.63010,3.93360,-0.10410,-0.10630
2022-12-31,,,23.16800,10.51400,,-33.68200,1.90000,-31.78200,-31.78200,-31.78200,-31.78200,-33.82600,-33.68200,56.20100,56.20100,-0.56000,-0.56000,11.36980,,,,,,,-12.99880,-12.99880,-10.77580,-12.99880,4.29190,-0.4034,-0.4043
2022-09-30,,,23.40300,10.13500,,-33.53800,1.28200,-32.25600,-32.25600,-32.25600,-32.25600,-33.34500,-33.53800,56.31900,56.31900,-0.57000,-0.57000,13.16240,,,,,,,-12.04990,-12.04990,-10.15400,-12.04990,4.74290,-0.3947,-0.3959
2022-06-30,,,22.70600,10.82400,,-33.53000,0.62700,-32.90300,-32.90300,-32.90300,-32.90300,-32.92000,-33.53000,56.11600,56.11600,-0.59000,-0.59000,15.07260,,,,,,,-11.25880,-11.25880,-9.64280,-11.25880,5.19830,-0.3992,-0.4008
2022-03-31,,,24.43800,11.92700,,-36.36500,0.10200,-36.26300,-36.26300,-36.26300,-36.26300,-35.29100,-36.36500,55.83900,55.83900,-0.65000,-0.65000,18.18660,,,,,,,-11.43870,-11.43870,-9.91180,-11.43870,5.65450,-0.42060,-0.42710
2021-12-31,,,50.81900,11.58700,,-62.40600,0.07200,-62.33400,-62.33400,-62.33400,-62.33400,-61.03800,-62.40600,54.75400,54.75400,-1.14000,-1.14000,25.50670,,,,,,,-18.06270,-18.06270,-15.92280,-18.06280,6.19530,-1.0732,-1.0822
2021-09-30,,,24.68800,8.98500,,-33.67300,0.07000,-33.60300,-33.60300,-33.60300,-33.60300,-32.04900,-33.67300,54.97700,54.97700,-0.61000,-0.61000,27.26590,,,,,,,-8.42130,-8.42130,-7.50860,-8.42130,7.22630,-0.3602,-0.3766
2021-06-30,,,19.80200,9.33900,,-29.14100,0.08600,-29.05500,-29.05500,-29.05500,-29.05500,-27.54600,-29.14100,54.50600,54.50600,-0.53000,-0.53000,32.44400,,,,,,,-6.85090,-6.85090,-6.15910,-6.85090,7.74500,-0.3695,-0.3941
2021-03-31,,,17.59400,8.58400,,-26.17800,0.09200,-26.08600,-26.08600,-26.08600,-26.08600,-24.79100,-26.17800,54.15300,54.15300,-0.48000,-0.48000,35.91240,,,,,,,-5.85860,-5.85860,-5.34590,-5.85860,8.18700,-0.35080,-0.37860
2020-12-31,,,13.12500,7.96300,,-21.08800,-12.06900,-33.15700,-33.15700,-33.15700,-33.15700,-20.56700,-21.08800,47.22500,47.22500,-0.70000,-0.70000,32.65420,,,,,,,-7.12260,-7.12260,-6.47640,-7.12260,8.60890,2.8339,3.592
2020-09-30,,,16.75500,4.05400,,-20.80900,-18.90400,-39.71300,-39.71300,-39.71300,-39.71300,-20.57200,-20.80900,6.12700,6.12700,-6.48000,-6.48000,,,,,,,,,,,,,-1.5805,-2.2462
2020-06-30,,,7.17500,1.62300,,-8.79800,0.21900,-8.57900,-8.57900,-8.57900,-8.57900,-8.56800,-8.79800,5.83400,5.83400,-1.47000,-1.47000,,,,,,,,,,,,,-0.8155,-1.0005
2020-03-31,,,6.19500,1.15400,,-7.34900,0.35400,-6.99500,-6.99500,-6.99500,-6.99500,-7.17200,-7.34900,5.69500,5.69500,-1.23000,-1.23000,,,,,,,,,,,,,-1.24070,-1.35070
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
