Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,224.00000,187.30000,36.70000,0.00000,36.70000,,36.70000,6.40000,30.30000,30.30000,30.30000,40.30000,36.70000,24.85800,24.98200,1.22000,1.21000,,16.38390,16.38390,16.38390,13.52680,0.06190,2.77120,2.90340,0.83760,2.77120,44.20100,2.0489,2.0114
2024-06-30,217.00000,177.00000,40.00000,0.00000,40.00000,,40.00000,8.30000,31.70000,31.70000,31.70000,45.00000,40.00000,25.27800,25.36400,1.25000,1.25000,,18.43320,18.43320,18.43320,14.60830,0.06110,3.09900,3.25760,0.89300,3.09900,41.08690,0.4614,0.4217
2024-03-31,223.10000,187.80000,35.30000,0.00000,35.30000,,35.30000,7.00000,28.30000,28.30000,28.30000,38.80000,35.30000,25.34600,25.53600,1.12000,1.11000,,15.82250,15.82250,15.82250,12.68490,0.06260,2.77750,2.92020,0.79430,2.77750,40.20280,0.02350,-0.02740
2023-12-31,225.70000,165.30000,60.40000,0.60000,59.80000,-1.60000,58.20000,12.60000,45.60000,45.60000,45.60000,65.60000,60.40010,26.36900,26.52400,1.76000,1.75000,,26.49540,26.76120,25.78640,20.20380,0.06360,4.49750,4.72980,1.28440,4.49750,39.96450,1.0278,1.0023
2023-09-30,203.50000,185.10000,18.40000,1.00000,17.40000,,17.40000,3.40000,14.00000,14.00000,14.00000,24.20000,18.40000,25.98200,26.11800,0.54000,0.54000,,8.55040,9.04180,8.55040,6.87960,0.05770,1.52340,1.61070,0.39690,1.52340,35.73230,0.9653,0.9302
2023-06-30,215.20000,160.10000,55.10000,1.90000,53.20000,-9.40000,43.80000,8.90000,34.90000,34.90000,34.90000,61.80000,55.10000,26.69200,26.80300,1.31000,1.30000,,24.72120,25.60410,20.35320,16.21750,0.05950,3.66710,3.86960,0.96530,3.66710,36.49300,-0.2876,-0.2917
2023-03-31,206.50000,175.20000,31.30000,2.30000,29.00000,,29.00000,5.40000,23.60000,23.60000,23.60000,37.50000,31.30000,27.17700,27.39300,0.87000,0.86000,,14.04360,15.15740,14.04360,11.42860,0.05520,2.42270,2.55330,0.63030,2.42270,36.07510,0.15700,0.13870
2022-12-31,221.80000,163.90000,57.90000,2.00000,55.90000,,55.90000,8.70000,47.20000,47.20000,47.20000,63.80000,57.90000,27.50400,27.68100,1.70000,1.69000,,25.20290,26.10460,25.20290,21.28040,0.05970,4.99890,5.27730,1.26990,4.99890,34.76310,1.1451,1.1313
2022-09-30,204.40000,179.50000,24.90000,1.10000,23.80000,,23.80000,4.70000,19.10000,19.10000,19.10000,31.20000,24.90000,27.31200,27.43600,0.70000,0.70000,,11.64380,12.18200,11.64380,9.34440,0.05510,2.07830,2.19740,0.51500,2.07830,33.79170,1.0962,1.0699
2022-06-30,135.30000,156.40000,-21.10000,0.30000,-21.40000,,-21.40000,-5.80000,-15.60000,-15.60000,-15.60000,-15.10000,-21.10000,27.65000,27.78300,-0.56000,-0.56000,,-15.81670,-15.59500,-15.81670,-11.52990,0.03670,-1.59590,-1.68160,-0.42330,-1.59590,35.69730,0.7658,0.7404
2022-03-31,152.00000,154.40000,-2.40000,0.10000,-2.50000,,-2.50000,-0.20000,-2.30000,-2.30000,-2.30000,4.10000,-2.40000,27.80300,28.07800,-0.08000,-0.08000,,-1.64470,-1.57890,-1.64470,-1.51320,0.04050,-0.20730,-0.21710,-0.06130,-0.20730,39.99210,0.59830,0.56980
2021-12-31,199.80000,131.30000,68.50000,0.10000,68.40000,,68.40000,13.60000,54.80000,54.80000,54.80000,75.20000,68.50000,28.28900,28.60100,1.95000,1.92000,,34.23420,34.28430,34.23420,27.42740,0.05280,4.51740,4.71070,1.44850,4.51740,43.72950,0.7044,0.6523
2021-09-30,168.30000,148.50000,19.80000,0.10000,19.70000,-1.10000,18.60000,3.60000,15.00000,15.00000,15.00000,29.10000,19.80000,28.23600,28.45500,0.53000,0.53000,,11.70530,11.76470,11.05170,8.91270,0.04430,1.26060,1.31570,0.39460,1.26060,42.55110,0.5306,0.5054
2021-06-30,171.40000,138.70000,32.70000,0.20000,32.50000,-0.10000,32.40000,6.00000,26.40000,26.40000,26.40000,40.30000,32.70000,28.47900,28.80900,0.93000,0.92000,,18.96150,19.07820,18.90320,15.40260,0.04470,2.19340,2.28810,0.68810,2.19340,42.54210,-0.4846,-0.4952
2021-03-31,163.60000,133.00000,30.60000,0.10000,30.50000,-2.90000,27.60000,4.50000,23.10000,23.10000,23.10000,37.10000,30.60000,28.51700,28.96800,0.81000,0.80000,,18.64300,18.70420,16.87040,14.11980,0.04230,1.94670,2.03200,0.59780,1.94670,41.66730,-0.37280,-0.41080
2020-12-31,191.10000,110.20000,80.90000,0.40000,80.50000,-0.10000,80.40000,16.40000,64.00000,64.00000,64.00000,87.70000,80.90000,29.91200,30.20500,2.11000,2.09000,,42.12450,42.33390,42.07220,33.49030,0.04870,5.27700,5.50300,1.63160,5.27700,42.45760,-0.5173,-0.5473
2020-09-30,181.90000,142.90000,39.00000,0.00000,39.00000,-0.70000,38.30000,7.20000,31.10000,31.10000,31.10000,45.70000,39.00000,29.33700,29.56800,1.06000,1.05000,,21.44040,21.44040,21.05550,17.09730,0.04560,2.66400,2.78270,0.78040,2.66400,40.15820,0.6803,0.6539
