Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.17590,3.17590,0.41170,-2.74970,0.01450,0.01450,0.01450,-0.16500,-0.16500,-0.13760,0.01450,6.21500,6.21500,-0.03000,-0.03000,13.23740,100.00000,0.45690,0.45690,0.45690,-5.19570,0.03560,1.55890,57.73180,-0.19990,-0.19990,-0.18480,-0.19990,13.28070,-0.3677,-0.3677
2024-06-30,3.08130,3.08130,0.36240,-1.19330,1.52560,1.52560,1.52560,1.29290,1.29290,1.52560,1.52560,6.21490,6.21490,0.21000,0.21000,15.46510,100.00000,49.51210,49.51210,49.51210,41.95790,0.03420,1.88000,47.87180,1.53440,1.53440,1.43530,1.53440,13.55720,0.3993,0.3993
2024-03-31,2.76020,2.76020,0.34460,-2.49550,-0.07980,-0.07980,-0.07980,0.51980,0.51980,-0.07980,-0.07980,6.21490,6.21490,0.08000,0.08000,15.47950,100.00000,-2.89140,-2.89140,-2.89140,18.83210,0.03060,1.64780,54.61710,0.61500,0.61500,0.57530,0.61500,13.59920,0.33840,0.33840
2023-12-31,3.66440,3.66440,0.35660,-1.56610,1.74170,1.74170,1.74170,2.49770,2.49770,1.36220,1.74170,6.21470,6.21470,0.41000,0.41000,29.27790,100.00000,47.53110,47.53110,47.53110,68.16260,0.04140,2.08750,43.11290,2.91950,2.91950,2.81990,2.91950,13.76550,1.1488,1.1488
2023-09-30,2.91700,2.91700,0.36500,-0.93500,1.61700,1.61700,1.61700,1.27390,1.27390,1.48750,1.61700,6.21470,6.21470,0.20000,0.20000,50.00310,100.00000,55.43370,55.43370,55.43370,43.67130,0.03270,1.59430,56.45260,1.45750,1.45750,1.42840,1.45750,14.06320,0.1352,0.1352
2023-06-30,2.89370,2.89370,0.36310,-0.63120,1.89940,1.89940,1.89940,1.21140,1.21140,1.89940,1.89940,6.21470,6.21470,0.19000,0.19000,70.71980,100.00000,65.63960,65.63960,65.63960,41.86350,0.03170,4.89320,18.39280,1.34530,1.34530,1.32630,1.34530,14.48820,0.0566,0.0566
2023-03-31,2.45780,2.45780,0.33450,-0.75270,1.37070,1.37070,1.37070,2.35710,2.35710,1.37070,1.37070,6.21470,6.21470,0.38000,0.38000,77.76570,100.00000,55.76940,55.76940,55.76940,95.90050,0.02730,1.56750,57.41720,2.65340,2.65340,2.61930,2.65340,14.29330,-0.41540,-0.41540
2022-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,3.8971,3.8971
2022-09-30,1.18050,1.18050,0.21540,-0.41470,0.55040,0.55040,0.55040,0.55990,0.55990,0.51000,0.55040,6.21470,6.21470,0.09000,0.09000,150.19430,100.00000,46.62490,46.62490,46.62490,47.43030,0.01370,4.67440,19.25360,0.65620,0.65620,0.65190,0.65620,13.72870,0.0704,0.0704
2022-06-30,0.80960,0.80960,0.11760,-0.47080,0.22120,0.22120,0.22120,0.22120,0.21170,0.22120,0.22120,6.21470,6.21470,0.03000,0.03000,156.39910,100.00000,27.32800,27.32800,27.32800,26.15360,0.00950,12.24980,7.34700,0.26100,0.26100,0.25930,0.26100,13.63860,-3.8244,-3.8244
2022-03-31,0.01010,0.01010,0.11620,-0.10940,-0.21550,-0.21550,-0.21550,-0.21550,-0.21550,-0.21550,-0.21550,3.55750,3.55750,-0.06000,-0.06000,177.26140,100.00000,-2139.69000,-2139.69000,-2139.69000,-2139.69000,0.00010,1.09310,82.33400,-0.25490,-0.25490,-0.25350,-0.25490,13.60450,-0.14310,-0.14310
2021-09-30,,,0.10620,-0.02200,-0.12820,-0.12820,-0.12820,-0.12820,-0.12820,-0.12820,-0.12820,0.00040,0.00040,-332.09000,-332.09000,,,,,,,,,,,,,,,0,0
2021-06-30,,,0.15410,-0.01000,-0.16410,-0.16410,-0.16410,-0.16410,-0.16410,-0.16410,-0.16410,0.00040,0.00040,-425.03000,-425.03000,,,,,,,,,,,,,,,0,0
2021-03-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0.00000,
