Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,71.85300,32.84400,39.00900,17.17000,27.96200,47.52800,-8.51900,4.92100,-3.59800,0.03700,-3.63500,-3.63500,-3.63500,-4.72800,-8.51900,162.47730,162.47730,-0.02000,-0.02000,7.86220,54.29000,-11.85620,-11.85620,-5.00740,-5.05890,0.09800,1.28570,70.00040,-0.54510,-0.81800,-0.49570,-0.54510,4.08470,0.0453,0.0245
2024-06-30,70.50400,30.59900,39.90500,16.95700,21.97100,38.92800,0.97700,4.82900,5.80600,0.07700,5.72900,5.72900,5.72900,4.46300,0.97700,161.19800,170.47300,0.04000,0.03000,6.50560,56.59960,1.38570,1.38570,8.23500,8.12580,0.09530,1.17120,76.84420,0.87030,1.31780,0.77400,0.87030,4.06260,0.1046,0.0822
2024-03-31,66.51100,29.30300,37.20800,16.99900,27.36900,44.36800,-7.16000,4.84100,-2.31900,0.03700,-2.35600,-2.35600,-2.35600,-4.05700,-7.16000,162.32080,162.32080,-0.01000,-0.01000,5.91620,55.94260,-10.76510,-10.76510,-3.48660,-3.54230,0.09050,0.91890,97.94580,-0.36450,-0.55840,-0.32070,-0.36450,3.99420,0.03710,0.01730
2023-12-31,63.00400,26.56600,36.43800,17.10800,39.86400,56.97200,-20.53400,4.98500,-15.54900,0.19700,-15.74600,-15.74600,-15.74600,-17.52800,-20.53400,162.99400,162.99400,-0.10000,-0.10000,5.83750,57.83440,-32.59160,-32.59160,-24.67940,-24.99210,0.08480,0.89670,100.37080,-2.41700,-3.69670,-2.11980,-2.41700,3.98790,0.0352,0.0159
2023-09-30,57.79400,23.22900,34.56500,18.03500,32.67000,50.87100,-16.30600,4.55400,-11.75200,0.00700,-11.75900,-11.75900,-11.75900,-13.48500,-16.30600,163.99150,163.99150,-0.07000,-0.07000,7.11270,59.80730,-28.21400,-28.21400,-20.33430,-20.34640,0.07740,0.82310,109.33950,-1.76190,-2.66710,-1.57400,-1.76190,4.05100,-0.1326,-0.1488
2023-06-30,55.25100,20.77900,34.47200,18.29800,30.66300,55.64300,-21.17100,4.10200,-17.06900,0.00700,-17.07600,-17.07600,-17.07600,-18.85700,-21.17100,162.32400,162.32400,-0.11000,-0.11000,6.00700,62.39160,-38.31790,-38.31790,-30.89360,-30.90620,0.07190,0.98400,91.46440,-2.53410,-3.82560,-2.22270,-2.53410,4.13330,0.0123,-0.0117
2023-03-31,52.24000,18.74900,33.49100,20.47300,30.09100,50.56400,-17.07300,3.38500,-13.68800,0.01800,-13.70600,-13.70600,-13.70600,-14.92500,-17.07300,161.69150,161.69150,-0.08000,-0.08000,7.20120,64.10990,-32.68190,-32.68190,-26.20210,-26.23660,0.06810,1.03690,86.79730,-2.01100,-3.02520,-1.78570,-2.01100,4.21620,0.04480,0.02390
2022-12-31,49.78100,15.48500,34.29600,20.08000,25.12800,45.20800,-10.91200,2.41400,-8.49800,-0.27200,-8.22600,-8.22600,-8.22600,-9.17700,-10.91200,161.30300,161.30300,-0.05000,-0.05000,8.47070,68.89380,-21.92000,-21.92000,-17.07080,-16.52440,0.06420,1.03430,87.01150,-1.17920,-1.75720,-1.06070,-1.17920,4.29450,-0.0003,-0.0101
2022-09-30,47.26600,15.48200,31.78400,19.39100,28.31100,47.70200,-15.91800,1.44800,-14.47000,0.09000,-14.56000,-14.56000,-14.56000,-14.25700,-15.91800,162.36500,162.36500,-0.09000,-0.09000,9.69800,67.24500,-33.67750,-33.67750,-30.61400,-30.80440,0.06040,1.09650,82.08270,-2.04780,-3.02850,-1.86080,-2.04780,4.34900,0.0202,0.0088
2022-06-30,45.60100,14.43900,31.16200,17.57600,25.51800,43.09400,-11.93200,0.49400,-11.43800,0.23500,-11.67300,-11.67300,-11.67300,-10.41700,-11.93200,160.42900,160.42900,-0.07000,-0.07000,9.74800,68.33620,-26.16610,-26.16610,-25.08280,-25.59810,0.05840,1.09490,82.20020,-1.64660,-2.44360,-1.49600,-1.64660,4.39780,0.0002,-0.0184
2022-03-31,42.75600,13.06000,29.69600,17.15600,25.44200,42.59800,-12.90200,0.05800,-12.84400,-1.33500,-11.50900,-11.50900,-11.50900,-11.79300,-12.90200,159.19000,159.19000,-0.07000,-0.07000,8.81300,69.45460,-30.17590,-30.17590,-30.04020,-26.91790,0.05450,0.90180,99.79650,-1.63250,-2.43480,-1.46740,-1.63250,4.41490,-0.00560,-0.02150
2021-12-31,39.95900,8.99600,30.96300,16.85800,20.94200,37.80000,-6.83700,0.10000,-6.73700,-4.66600,-2.07100,-2.07100,-2.07100,-6.02200,-6.83700,123.82300,123.82300,0.39000,0.39000,11.59790,77.48690,-17.11000,-17.11000,-16.85980,-5.18280,0.05290,0.94420,95.31550,-0.29510,-0.39890,-0.27400,-0.29510,4.44990,-0.0452,-0.0521
2021-09-30,37.39000,8.16400,29.22600,14.48500,25.99800,40.48300,-11.25700,-0.01500,-11.27200,0.03600,-11.30800,-11.30800,-11.30800,-10.98400,-11.25700,148.45300,148.45300,-0.08000,-0.08000,9.73310,78.16530,-30.10700,-30.10700,-30.14710,-30.24340,0.05720,0.92570,97.22600,-1.93940,-1.93940,-1.72930,-1.93940,3.86510,0.0716,0.0681
