Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,448.91500,448.91500,24.30000,207.42700,,159.31600,14.35700,173.67300,43.45000,130.22300,130.22300,113.91600,217.18800,159.31600,213.20620,215.09700,0.53000,0.53000,2.99590,,,100.00000,35.48910,35.48910,38.68730,25.37590,0.06120,0.82150,109.55560,2.07150,7.15140,1.77490,2.07150,26.61080,1.3567,1.2778
2024-06-30,404.95100,404.95100,24.23000,168.29100,,162.49400,20.96900,183.46300,47.04700,136.41600,136.41600,119.23900,212.43000,162.49400,213.16220,214.89600,0.56000,0.55000,3.76850,,,100.00000,40.12680,40.12680,45.30500,29.44530,0.05560,0.60880,147.82260,2.19760,5.81590,1.87270,2.19760,26.27000,1.3292,1.2518
2024-03-31,408.73900,408.73900,21.31000,170.41400,,167.67800,19.34200,187.02000,43.63800,143.38200,143.38200,126.14200,217.01500,167.67800,212.70990,214.66090,0.59000,0.59000,2.99840,,,100.00000,41.02330,41.02330,45.75540,30.86130,0.05530,0.47050,191.28120,2.35980,6.56060,1.93870,2.35980,25.72670,0.17660,0.09620
2023-12-31,370.00000,370.00000,21.50500,159.36500,,141.63000,-0.33200,141.29800,37.55700,103.74100,103.74100,89.31400,189.13000,141.63000,210.79680,212.66880,0.42000,0.41000,3.68560,,,100.00000,38.27840,38.27840,38.18860,24.13890,0.05240,0.67320,133.68280,1.74900,4.91410,1.46950,1.74900,25.22910,1.16,1.1018
2023-09-30,328.35700,328.35700,19.73300,137.32700,,124.73800,15.55800,140.29600,28.66600,111.63000,111.63000,98.61400,171.29700,124.73800,211.61850,213.49160,0.47000,0.46000,8.26620,,,100.00000,37.98850,37.98850,42.72670,30.03260,0.05050,1.90900,47.14520,1.92080,5.68360,1.71620,1.92080,24.75980,1.0161,0.9325
2023-06-30,310.61300,310.61300,18.70100,129.69000,,116.33500,14.65300,130.98800,29.04900,101.93900,101.93900,89.08200,162.22200,116.33500,211.56970,213.15680,0.42000,0.42000,6.05240,,,100.00000,37.45340,37.45340,42.17080,28.67940,0.04790,1.06650,84.38500,1.78300,5.31520,1.57060,1.78300,24.36220,0.995,0.9259
2023-03-31,329.24900,329.24900,17.56700,143.71200,,122.56600,12.83200,135.39800,33.20500,102.19300,102.19300,87.85600,167.97000,122.56600,208.10540,210.14370,0.42000,0.42000,8.39490,,,100.00000,37.22590,37.22590,41.12330,26.68380,0.05280,1.77530,50.69540,1.82460,5.75870,1.63770,1.82460,23.86430,0.33710,0.25760
2022-12-31,293.04200,293.04200,17.23100,139.37600,,91.55400,21.05300,112.60700,13.60500,99.00200,99.00200,88.94600,136.43500,91.55400,205.57660,208.40000,0.42000,0.42000,6.01280,,,100.00000,31.24260,31.24260,38.42690,30.35270,0.04680,1.89910,47.39160,1.78500,5.84690,1.58150,1.78500,23.69980,0.9974,0.9271
2022-09-30,287.11500,287.11500,16.81600,122.71100,,102.81000,3.41300,106.22300,24.65700,81.56600,81.56600,69.08300,147.58800,102.81000,205.72120,208.32950,0.34000,0.33000,6.59790,,,100.00000,35.80800,35.80800,36.99670,24.06110,0.04680,1.90070,47.35080,1.49560,5.18310,1.32920,1.49560,23.25360,0.9618,0.9033
2022-06-30,297.13800,297.13800,16.03400,129.72700,,106.60700,0.54100,107.14800,25.54800,81.60000,81.60000,68.34400,151.37700,106.60700,204.50100,207.27270,0.33000,0.33000,7.17460,,,100.00000,35.87790,35.87790,36.06000,23.00080,0.04960,1.89170,47.57550,1.51930,5.57340,1.36240,1.51930,22.90110,0.8594,0.7867
2022-03-31,311.48600,311.48600,15.77600,139.65800,,111.60200,-0.44700,111.15500,13.71000,97.44500,97.44500,82.96500,156.05200,111.60200,204.06130,207.49710,0.41000,0.40000,4.56090,,,100.00000,35.82890,35.82890,35.68540,26.63520,0.05190,1.21650,73.98330,1.84080,7.16370,1.62380,1.84080,22.59800,0.21800,0.13110
2021-12-31,276.88300,276.88300,13.94100,128.10900,,91.18100,12.33400,103.51500,43.51000,60.00500,60.00500,48.89000,134.83300,91.18100,201.41910,207.25480,0.25000,0.23000,5.02810,,,100.00000,32.93120,32.93120,37.38580,17.65730,0.04620,2.13090,42.23560,1.13030,4.44920,1.00170,1.13030,22.71230,0.9331,0.8561
2021-09-30,265.32500,265.32500,14.74700,120.22700,,85.52800,-0.36100,85.16700,19.86200,65.30500,65.30500,54.76300,130.35100,85.52800,202.23810,208.19740,0.27000,0.26000,4.63960,,,100.00000,32.23520,32.23520,32.09910,20.64000,0.04470,1.58590,56.74960,1.24430,5.17990,1.10010,1.24430,22.55150,0.8725,0.8247
2021-06-30,260.84000,260.84000,13.95700,121.22400,,83.79200,-0.32500,83.46700,17.23400,66.23300,66.23300,55.31600,125.65900,83.79200,201.75000,207.46400,0.27000,0.27000,4.54160,,,100.00000,32.12390,32.12390,31.99930,21.20690,0.04450,1.45450,61.87900,1.27410,5.59410,1.12930,1.27410,22.34710,0.7123,0.6509
2021-03-31,273.39900,273.39900,13.54400,120.56200,,98.32700,-0.49300,97.83400,16.26900,81.56500,81.56500,67.85900,139.29300,98.32700,199.06460,205.02870,0.34000,0.33000,5.87980,,,100.00000,35.96470,35.96470,35.78430,24.82050,0.04710,1.60960,55.91480,1.57910,6.21140,1.40410,1.57910,22.25320,0.27100,0.20950
2020-12-31,233.07600,233.07600,13.10300,108.55600,,71.58010,11.04500,82.62500,16.17600,66.44900,66.44900,55.06000,111.41710,71.58010,180.40950,188.22300,0.29000,0.28000,4.49260,,,100.00000,30.71100,30.71100,35.44980,23.62320,0.04100,2.20600,40.79730,1.32390,5.81700,1.16990,1.32390,21.91590,0.7979,0.7224
2020-09-30,212.87000,212.87000,12.03700,103.45500,,58.52100,-0.34900,58.17200,11.12400,47.04800,47.04800,36.81200,97.37800,58.52100,187.77420,194.95570,0.20000,0.19000,3.64620,,,100.00000,27.49140,27.49140,27.32750,17.29320,0.03840,1.37220,65.58750,0.96430,4.81290,0.84960,0.96430,21.45360,0.6698,0.6227
2020-06-30,212.10700,212.10700,12.04200,106.50700,,55.63900,-0.28600,55.35300,12.94500,42.40800,42.40800,30.49600,93.55800,55.63900,177.64950,185.48980,0.17000,0.16000,3.52350,,,100.00000,26.23160,26.23160,26.09670,14.37770,0.03880,1.26000,71.42610,0.87820,4.69840,0.77620,0.87820,21.26550,1.0118,0.9563
2020-03-31,234.60600,234.60600,10.31800,109.49700,,77.61500,0.69900,78.31400,15.82900,62.48500,62.48500,43.92800,114.79100,77.61500,166.23480,174.51720,0.26000,0.25000,3.52590,,,100.00000,33.08310,33.08310,33.38110,18.72420,0.04520,1.02280,87.99370,1.33260,8.47300,1.20520,1.33260,20.85200,-0.12470,-0.17260
