Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,570.49300,289.69500,280.79800,194.83100,204.10400,76.69410,76.69400,2.28500,74.40900,74.40900,33.92000,82.57310,82.22010,105.13300,109.10100,0.38000,0.35000,0.06050,0.06440,13.44350,14.41210,13.44350,5.94570,0.07320,3.19510,3.32820,0.95440,3.00180,22.95190,2.4916,2.4916
2024-09-30,512.84400,273.63200,239.21200,164.59300,175.14800,64.06400,64.06400,3.02900,61.03500,61.03500,78.25000,72.36700,69.41500,101.93400,106.35900,0.77000,0.74000,0.05940,0.06320,12.49190,13.53530,12.49190,15.25810,0.06550,2.57130,2.67790,0.77980,2.41860,23.41080,1.5973,1.5973
2024-06-30,587.94200,214.49400,373.44800,161.22200,170.57000,202.87800,202.87800,2.49600,200.38200,200.38200,131.08500,200.34300,208.90900,105.90900,109.60300,1.24000,1.20000,0.06080,0.06470,34.50650,35.53230,34.50650,22.29560,0.07710,8.65270,9.02050,2.62860,8.12680,22.72150,1.486,1.486
2024-03-31,658.64500,232.35200,426.29300,139.40900,148.36900,277.92400,277.92400,0.59200,277.33200,277.33200,157.17400,253.26900,283.63200,110.92100,114.24600,1.42000,1.38000,0.06210,0.06620,42.19630,43.06300,42.19630,23.86320,0.08960,12.24840,12.77100,3.77370,11.48810,20.39790,1.38470,1.38470
2023-12-31,495.16210,195.04900,300.11310,190.39600,198.73790,101.37520,101.37500,-31.97400,133.34900,133.34900,126.86500,104.64220,106.80310,104.56300,106.20300,1.20000,1.19000,0.06820,0.07320,20.47310,21.56930,20.47310,25.62090,0.07420,6.51120,6.81400,1.99880,6.06730,18.58000,0.3169,0.3169
2023-09-30,396.26600,191.57700,204.68900,141.57200,149.65400,55.03500,55.03500,2.38700,52.64800,52.64800,43.58300,57.48500,60.32300,103.70400,105.42400,0.42000,0.41000,0.07680,0.08320,13.88840,15.22290,13.88840,10.99840,0.06090,2.92510,3.07840,0.80940,2.70040,17.35570,1.6256,1.6256
2023-06-30,357.23600,179.41600,177.82000,126.09000,133.58400,44.23600,44.23600,2.94800,41.28800,41.28800,36.78700,42.94800,49.42500,103.73200,104.89500,0.35000,0.35000,0.07870,0.08550,12.38290,13.83540,12.38290,10.29770,0.05690,2.35620,2.48200,0.65740,2.17070,15.93200,0.6082,0.6082
2023-03-31,322.38100,148.56100,173.82000,110.94600,119.24500,54.57500,54.57500,1.57300,53.00200,53.00200,51.49200,42.24200,60.10400,103.73200,104.62500,0.50000,0.49000,,,16.92870,18.64380,16.92870,15.97240,,,,,,,0.11550,0.11550
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,-1.834,-1.834
2022-09-30,226.94100,257.96300,-31.02200,112.07900,119.35900,-150.38100,-150.38100,1.05400,-151.43500,-151.43500,-136.11700,-139.61700,-146.27900,103.07400,103.07400,-1.32000,-1.32000,,,-66.26440,-64.45680,-66.26440,-59.97900,,,,,,,0.5269,0.5269
2022-06-30,504.80300,130.85000,373.95300,109.58100,116.70800,257.24500,257.24500,1.29200,255.95300,255.95300,172.56900,261.03500,261.03500,103.04000,104.24000,1.67000,1.66000,,,50.95950,51.71030,50.95950,34.18540,,,,,,,1.3071,1.3071
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
