Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,2.85900,3.31100,,-6.17000,0.52800,-5.64200,-5.64200,-5.64200,-5.64200,-6.04100,-6.17000,16.06700,16.06700,-0.35000,-0.35000,22.00580,,,,,,,,,,,-11.91050,-11.91050,-11.19670,-11.91050,2.70130,-0.2662,-0.2667
2024-06-30,,,,2.82500,2.62900,,-5.45400,0.49800,-4.95600,-4.95600,-4.95600,-4.95600,-5.31800,-5.45400,16.06700,16.06700,-0.31000,-0.31000,23.32510,,,,,,,,,,,-12.90020,-12.90020,-12.08930,-12.90020,2.88210,-0.2431,-0.244
2024-03-31,,,,3.05200,2.45100,,-5.50300,0.51100,-4.99200,-4.99200,-4.99200,-4.99200,-5.36200,-5.50300,16.05700,16.05700,-0.31000,-0.31000,29.08410,,,,,,,,,,,-11.78220,-11.78220,-11.13570,-11.78220,3.17850,-0.22100,-0.22160
2023-12-31,,,,2.97600,3.30200,,-6.27800,0.62900,-5.64900,-5.64900,-5.64900,-5.64900,-6.14400,-6.27800,12.30100,12.30100,-0.31000,-0.31000,34.22540,,,,,,,,,,,-12.22730,-12.22730,-11.61510,-12.22730,3.46930,-0.2967,-0.2968
2023-09-30,,,,2.79800,2.55100,,-5.34900,0.34800,-5.00100,-5.00100,-5.00100,-5.00100,-5.21100,-5.34900,11.23100,11.23100,-0.45000,-0.45000,12.90840,,,,,,,,,,,-20.07220,-20.07220,-17.80100,-20.07220,2.63040,-0.3751,-0.3754
2023-06-30,,,,4.21400,2.60000,,-6.81400,0.34000,-6.47400,-6.47400,-6.47400,-6.47400,-6.67600,-6.81400,11.23100,11.23100,-0.58000,-0.58000,14.56600,,,,,,,,,,,-22.46980,-22.46980,-20.17700,-22.46980,3.04180,-0.4063,-0.4082
2023-03-31,,,,3.59500,3.20200,,-6.79700,0.40500,-6.39200,-6.39200,-6.39200,-6.39200,-6.66100,-6.79700,11.23100,11.23100,-0.57000,-0.57000,29.57930,,,,,,,,,,,-18.72890,-18.72890,-17.45830,-18.72890,3.60310,-0.45490,-0.45530
2022-12-31,,,,2.79700,3.66300,,-6.46000,0.28000,-6.18000,-6.18000,-6.18000,-6.18000,-6.33000,-6.46000,11.23000,11.23000,-0.56000,-0.56000,25.77520,,,,,,,,,,,-15.95700,-15.95700,-14.83400,-15.95700,4.08880,-0.3432,-0.3441
2022-09-30,,,,2.49200,3.65900,,-6.15100,0.05400,-6.09700,-6.09700,-6.09700,-6.09700,-6.01800,-6.15100,11.22900,11.22900,-0.54000,-0.54000,31.21780,,,,,,,,,,,-14.28840,-14.28840,-13.41300,-14.28840,4.50500,-0.3993,-0.4005
2022-06-30,,,,3.07300,3.91300,,-6.98600,-0.07600,-7.06200,-7.06200,-7.06200,-7.06200,-6.85300,-6.98600,11.22900,11.22900,-0.63000,-0.63000,20.79300,,,,,,,,,,,-15.16820,-15.16820,-14.14320,-15.16820,4.91640,-0.3525,-0.3546
2022-03-31,,,,1.55200,3.78300,,-5.33500,0.00500,-5.33000,-5.33000,-5.33000,-5.33000,-5.20600,-5.33500,11.22900,11.22900,-0.47000,-0.47000,40.66930,,,,,,,,,,,-10.38640,-10.38640,-9.82960,-10.38640,5.41890,-0.29580,-0.30190
2021-12-31,,,,1.78100,7.21100,,-8.99200,0.00600,-8.98600,-8.98600,-8.98600,-8.98800,-8.87000,-8.99200,8.68000,8.68000,-0.88000,-0.88000,34.83540,,,,,,,,,,,-16.51720,-16.51720,-15.57390,-16.51720,5.74490,-0.4123,-0.4217
2021-09-30,,,,1.22500,1.48200,,-2.70700,0.31800,-2.38900,-2.38900,-2.38900,-2.38900,-2.58700,-2.70700,9.18000,9.18000,-0.26000,-0.26000,52.05730,,,,,,,,,,,-4.11510,-4.11510,-4.03740,-4.11510,6.13160,-0.1875,-0.2028
2021-06-30,,,,1.09000,1.29600,,-2.38600,0.00600,-2.38000,-2.38000,-2.38000,-2.37800,-2.27900,-2.38600,8.51200,8.51200,-0.28000,-0.28000,29.74130,,0.00770,,,,,,,,,-5.82270,-5.82270,-5.61960,-5.82270,4.80080,-0.096,-0.1095
2021-03-31,,,,1.63200,1.17600,,-2.80800,0.03500,-2.77300,-2.77300,-2.77300,-2.77300,-2.70400,-2.80800,5.74100,5.74100,-0.48000,-0.48000,23.56850,,0.00730,,,,,,,,,-6.44710,-6.44710,-6.15470,-6.44710,5.05540,-0.66920,-0.67340
2020-12-31,,,,2.27730,1.88120,,-4.15840,-0.21560,-4.37400,-4.37400,-4.37400,-4.95740,-4.06240,-4.15840,1.29100,1.29100,-2.70000,-2.70000,3.00320,,0.04410,,,,,,,,,-61.62430,-61.62430,-41.50760,-61.62430,2.79220,-2.445,-2.479
2020-09-30,,,,0.75820,1.16410,,-1.92230,-0.05250,-1.97480,-1.97480,-1.97480,-1.99860,-1.82370,-1.92230,1.44600,1.44600,-1.38000,-1.38000,3.12080,,0.06520,,,,,,,,,-41.18460,-41.18430,-28.04000,-41.18430,2.97880,-0.6241,-0.581
2020-06-30,,,,0.70620,0.83970,,-1.54590,-0.08100,-1.62700,-1.62700,-1.62700,-1.62700,-1.44250,-1.54590,0.85900,0.85900,-1.89000,-1.89000,0.60440,,0.84640,,,,,,,,,-440.37740,-440.37860,-43.57860,-440.37840,0.38570,-1.3143,-1.4559
2020-03-31,,,,0.51060,0.99790,,-1.50850,0.34880,-1.15980,-1.15980,-1.15980,-1.15980,-1.42250,-1.50850,0.73700,0.73700,-1.57000,-1.57000,0.37290,,,,,,,,,,,7929.67100,7931.09400,-41.87280,7931.05300,-0.01900,-1.56330,-1.57050
2019-12-31,,,,0.78780,0.92230,,-2.29900,0.00820,-2.29080,-2.29080,-2.29080,-2.29080,-2.19400,-2.29900,0.63000,0.63000,-3.10000,-3.10000,0.75890,,,,,,,,,,,-231.40290,-231.40300,-66.70410,-231.40300,1.38070,-3.3986,-3.4867
2019-09-30,,,,0.67700,1.15710,,-1.83400,0.01910,-1.81490,-1.81490,-1.81490,-1.81490,-1.73010,-1.83400,0.71690,0.71690,-2.50000,-2.50000,1.51830,,,,,,,,,,,-58.84870,-73.30650,-31.55550,-58.84880,4.30200,-1.0357,-1.2235
2019-06-30,,,,0.42830,1.53160,,-1.96000,0.01390,-1.94600,-1.94600,-1.94600,-1.94600,-1.86360,-1.96000,0.59350,0.59350,-3.25000,-3.25000,2.45880,,,,,,,,,,,-41.83190,-48.35600,-26.83000,-41.83190,6.48930,-1.8813,-2.1793
2019-03-31,0.03120,,0.03120,0.31300,1.30060,,-1.58230,0.00860,-1.57370,-1.57370,-1.57370,-1.57370,-1.49100,-1.58230,0.49070,0.49070,-3.25000,-3.25000,1.60220,,,100.00000,-5064.62500,-5064.62500,-5037.05100,-5037.05200,0.00570,1.17830,76.38030,-54.92840,-70.95280,-28.67570,-54.92850,5.05980,-3.04380,-3.04750
2018-12-31,0.03050,,0.03050,0.29320,1.21650,,-1.79890,0.03120,-1.76770,-1.76770,-1.76770,-1.78160,-1.76530,-1.79890,0.37450,0.37450,6.00000,6.00000,1.86280,,,100.00000,-5905.46300,-5905.46400,-5802.90300,-5848.74000,0.00860,0.95130,94.60900,-86.80230,-129.03000,-49.66180,-86.80240,4.34280,-6.4937,-6.5092
