Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.04300,0.02400,0.01900,0.00200,1.86700,,1.86900,-1.85000,-0.16900,-2.02500,-2.02500,-2.02500,-2.04000,-1.37000,-1.85000,25.89270,25.89270,-0.08000,-0.08000,0.06050,0.04240,0.53610,44.18600,-4302.32500,-4302.32500,-4709.30300,-4744.18600,0.00650,3.58330,25.11630,-144.74760,59.10680,-30.61690,-138.60370,0.05090,-0.0344,-0.0559
2024-06-30,0.07600,0.01400,0.06200,0.63300,2.32000,,2.95300,-2.89100,-0.03100,-2.92200,-2.92200,-2.92200,-2.92200,-2.52800,-2.89100,24.76530,24.76530,-0.12000,-0.12000,0.07040,0.03490,0.14600,81.57900,-3803.94800,-3803.94800,-3844.73700,-3844.73700,0.01180,5.06670,17.76320,-167.93050,87.48500,-45.20420,-162.06320,0.07000,-0.0615,-0.0615
2024-03-31,0.10500,0.01100,0.09400,0.64400,2.48100,,3.12500,-3.03100,-0.00600,-3.03700,-3.03700,-3.03700,-3.03700,-2.68400,-3.03100,22.54110,22.54110,-0.13000,-0.13000,0.42870,0.01520,0.01570,89.52380,-2886.66700,-2886.66700,-2892.38100,-2892.38100,0.01270,4.77270,18.85710,-74.39980,242.57190,-36.81210,-73.26900,0.16510,-0.09600,-0.09600
2023-12-31,0.14100,0.02800,0.11300,0.72400,2.75700,,3.48100,-3.36800,-0.01900,-3.38700,-3.38700,-3.38700,-3.38700,-3.09500,-3.36800,19.10300,19.10300,-0.15000,-0.15000,0.37160,0.01530,0.01570,80.14180,-2388.65200,-2388.65200,-2402.12700,-2402.12600,0.01690,4.70000,19.14890,-80.75790,242.79560,-40.54830,-79.52570,0.18850,-0.1156,-0.1129
2023-09-30,0.14000,0.04400,0.09600,0.75100,2.22700,,2.97800,-2.88200,-0.00900,-2.89100,-2.89100,-2.89100,-2.89100,-2.75600,-2.88200,18.80180,18.80180,-0.15000,-0.15000,0.54190,0.07590,0.08330,68.57140,-2058.57100,-2058.57100,-2065.00000,-2065.00000,0.05730,0.55340,162.64290,-354.29170,-476.27670,-118.33810,-327.40660,0.04290,-0.0548,-0.0575
2023-06-30,0.13400,0.06200,0.07200,0.49800,2.81600,,9.44500,-9.37300,0.29000,-9.08300,-9.08300,-9.08300,-9.08300,-9.08000,-9.37300,18.46870,18.46870,-0.49000,-0.49000,0.99930,0.04050,0.04280,53.73130,-6994.77600,-6994.77600,-6778.35800,-6778.35800,0.04150,0.30320,296.86570,-572.33570,-675.81850,-281.20740,-549.15360,0.08540,-0.1224,-0.1224
2023-03-31,0.08900,0.05300,0.03600,1.52500,2.07300,,3.59800,-3.56200,0.41100,-3.15100,-3.15100,-3.15100,-3.91400,-3.26500,-3.56200,17.84780,17.84780,-0.22000,-0.22000,2.00880,0.00680,0.03530,40.44940,-4002.24700,-4002.24700,-3540.44900,-4397.75300,0.00720,1.41270,63.70790,-31.96720,-32.89150,-25.45030,-31.75130,0.53160,-0.17090,-0.17090
2022-12-31,0.10800,0.05300,0.05500,1.10700,2.53900,,3.64600,-3.59100,-0.25900,-3.85000,-3.85000,-3.85000,-3.85000,-3.18800,-3.59100,16.24600,16.24600,-0.23000,-0.23000,0.89770,0.00890,0.24950,50.92590,-3325.00000,-3324.99900,-3564.81600,-3564.81600,0.00860,2.11760,42.50000,-51.85890,-54.12630,-30.75330,-51.39500,0.44460,-0.1584,-0.1632
2022-09-30,0.11500,0.05400,0.06100,1.51300,1.36500,,2.87800,-2.81700,-0.03200,-2.84900,-2.84900,-2.84900,-2.84900,-2.80000,-2.81700,16.59630,16.59630,-0.17000,-0.17000,1.45250,0.00620,0.17350,53.04350,-2449.56500,-2449.56500,-2477.39100,-2477.39100,0.00730,1.15000,78.26090,-26.44580,-27.48410,-18.05560,-26.28230,0.64760,-0.0153,-0.1092
2022-06-30,0.12300,0.06200,0.06100,2.88400,1.32000,-0.07200,4.27600,-4.21500,0.08800,-4.12700,-4.12700,-4.12700,-4.12700,-4.19700,-4.21500,16.24630,16.24630,-0.25000,-0.25000,1.84990,0.00590,0.16470,49.59350,-3426.82900,-3426.82900,-3355.28400,-3355.28400,0.00760,2.46000,36.58540,-36.71050,-38.08950,-25.49260,-36.49310,0.67870,-0.145,-0.1444
