Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.12200,0.12200,14.82800,15.03700,-29.74300,-38.84800,-68.59100,-68.59100,-68.59100,-68.59100,-29.63900,-29.74300,144.34580,144.34580,-0.48000,-0.48000,1.05690,100.00000,-24379.51000,-24379.51000,-56222.13000,-56222.13000,0.00110,-1164.13200,-1164.13800,-64.36480,-1164.13800,0.05060,-0.1768,-0.1768
2024-06-30,0.14400,0.14400,10.00400,10.58000,-20.44000,23.33800,2.89800,2.89800,2.89800,2.89800,-20.13600,-20.44000,143.93420,152.39270,0.02000,-0.13000,2.30460,100.00000,-14194.45000,-14194.45000,2012.50000,2012.50000,0.00110,4.00320,4.00320,2.26800,4.00320,0.63030,-0.1215,-0.1215
2024-03-31,0.19000,0.19000,12.21700,9.06600,-21.09300,-62.84500,-83.93800,-83.93800,-83.93800,-83.93800,-20.58900,-21.09300,125.31900,125.31900,-0.67000,-0.67000,1.79850,100.00000,-11101.58000,-11101.58000,-44177.89000,-44177.89000,0.00130,-124.73330,-124.73330,-55.50210,-124.73330,0.58900,-0.15090,-0.15090
2023-12-31,-0.66700,-0.66700,15.30200,5.03700,-21.00600,-16.67300,-37.67900,-37.67900,-37.67900,-37.67900,-20.61200,-21.00600,84.24450,84.24450,-0.40000,-0.40000,0.76400,100.00000,3149.32600,3149.32600,5649.02800,5649.02800,-0.01220,219.75400,219.75400,-68.71590,219.75390,-0.20200,-0.2339,-0.2339
2023-09-30,,,10.78500,4.71000,-15.49500,-26.87500,-42.37000,-42.37000,-42.37000,-42.37000,-14.98800,-15.49500,90.67000,90.67000,-0.47000,-0.47000,0.80150,,,,,,,383.64590,383.64730,-93.74930,383.64720,-0.14320,-0.1244,-0.1244
2023-06-30,,,11.88300,5.29300,-17.17600,-12.40100,-29.57700,-29.57700,-29.57700,-29.57700,-16.49200,-17.17600,79.04170,79.04170,-0.37000,-0.37000,0.90750,,,,,,,682.44360,682.44120,-67.76570,682.44120,-0.06980,-0.1726,-0.1726
2023-03-31,10.66000,10.66000,15.93500,5.58300,-10.85800,0.72100,-10.13700,-10.13700,-10.13700,-10.13700,-9.97800,-10.85800,56.35800,56.35800,-0.18000,-0.18000,0.87400,100.00000,-101.85740,-101.85740,-95.09380,-95.09380,0.35530,248.94460,248.94400,-33.78550,248.94400,-0.08460,-0.12400,-0.12400
2022-12-31,,,12.09200,6.88000,-18.97200,4.54300,-14.42900,-14.42900,-14.42900,-14.42900,-18.07500,-18.97200,37.82540,37.82540,0.06000,0.06000,1.11620,,,,,,,-355.30580,-355.30660,-37.61180,-355.30660,0.08450,-0.7688,-0.7688
2022-09-30,,,13.11600,6.24000,-19.35600,0.25500,-19.10100,-19.10100,-19.10100,-19.10100,-18.46300,-19.35600,48.00020,48.00020,-0.40000,-0.40000,1.19340,,,,,,,-198.36980,-198.36950,-33.70030,-198.36950,0.20040,0.2956,0.2956
2022-06-30,,,15.39600,6.12500,-21.52100,-4.33600,-25.85700,-25.85700,-25.85700,-25.85700,-20.48000,-21.52100,26.90110,26.90110,-0.96000,-0.96000,1.48700,,,,,,,-100.18980,-100.18980,-33.07450,-100.18990,0.55800,-0.6603,-0.6603
2022-03-31,,,15.03000,8.07100,-23.10100,-0.02000,-23.12100,-23.12100,-23.12100,-23.12100,-21.90000,-23.10100,26.21550,26.21550,-0.88000,-0.88000,2.86110,,,,,,,-55.09860,-55.09850,-35.59650,-55.09850,1.60070,-0.93110,-0.93110
2021-12-31,,,15.72300,11.39100,-27.11400,-0.04500,-27.15900,-27.15900,-27.15900,-27.15900,-25.88900,-27.11400,25.59820,25.59820,-1.04000,-1.04000,3.34040,,,,,,,-43.42730,-43.42730,-30.21290,-43.42730,2.38550,-1.1076,-1.1076
2021-09-30,,,17.59700,10.83300,-28.43000,0.01200,-28.41800,-28.41800,-28.41800,-28.41800,-27.20800,-28.43000,26.17710,26.17710,-1.09000,-1.09000,3.79160,,,,,,,-32.77700,-32.77700,-23.97190,-32.77700,3.30740,-0.5917,-0.5917
2021-06-30,,,14.80200,11.07300,-25.87500,0.04700,-25.82800,-25.82800,-25.82800,-25.82800,-24.71500,-25.87500,26.08250,26.08250,-0.99000,-0.99000,5.77870,,,,,,,-22.97050,-22.97050,-18.85820,-22.97050,4.30290,-0.9247,-0.9247
2021-03-31,,,14.44800,9.75100,-24.19900,0.02000,-24.17900,-24.17900,-24.17900,-24.17900,-23.10900,-24.19900,24.13570,24.13570,-1.00000,-1.00000,7.80850,,,,,,,-17.88110,-17.88110,-15.47760,-17.88110,5.19880,-0.92030,-0.92030
2020-12-31,,,13.81400,9.94000,-23.75400,0.06500,-23.68900,-23.68900,-23.68900,-23.68900,-22.64300,-23.75400,21.96630,21.96630,-1.09000,-1.09000,4.83130,,,,,,,-28.91050,-28.91050,-22.66760,-28.91050,3.64270,-1.0874,-1.0874
2020-09-30,,,19.94500,10.02000,-29.96500,0.12100,-29.84400,-29.84400,-29.84400,-29.84400,-28.85800,-29.96500,22.42620,22.42620,-1.33000,-1.33000,5.99380,,,,,,,-28.99170,-28.99170,-23.90620,-28.99170,4.58390,-0.8972,-0.8972
