,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$1.03,$1.00
1,2024-07-31,2024-06-30,$0.95,$1.17
2,2024-05-01,2024-03-31,$0.90,$0.78
3,2024-02-21,2023-12-31,$1.38,$1.15
4,2023-11-01,2023-09-30,$1.08,$1.33
5,2023-08-02,2023-06-30,$0.66,$0.85
6,2023-05-03,2023-03-31,$0.98,$1.19
7,2023-02-22,2022-12-31,$1.44,$1.48
8,2022-11-02,2022-09-30,$1.92,$1.97
9,2022-08-03,2022-06-30,$2.37,$2.37
10,2022-05-04,2022-03-31,$2.08,$1.92
11,2022-02-21,2021-12-31,$1.42,$1.29
12,2021-11-03,2021-09-30,$0.89,$0.98
13,2021-08-04,2021-06-30,$0.54,$0.70
14,2021-05-05,2021-03-31,$0.74,$0.91
15,2021-02-24,2020-12-31,$-0.08,$-0.05
16,2020-11-04,2020-09-30,$-0.37,$-0.16
17,2020-07-29,2020-06-30,$-0.99,$-0.74
18,2020-05-06,2020-03-31,$-0.30,$-0.13
19,2020-02-26,2019-12-31,$-0.04,$0.08
20,2019-10-30,2019-09-30,$-0.27,$-0.29
21,2019-07-31,2019-06-30,$0.04,$0.11
22,2019-05-01,2019-03-31,$0.09,$0.10
23,2019-02-27,2018-12-31,$0.25,$0.31
24,2018-10-31,2018-09-30,$0.43,$0.63
25,2018-08-01,2018-06-30,$0.35,$0.50
26,2018-05-02,2018-03-31,$0.26,$0.32
27,2018-02-22,2017-12-31,$0.21,$0.33
28,2017-11-02,2017-09-30,$-0.05,$0.04
29,2017-08-03,2017-06-30,$0.00,$-0.21
30,2017-05-04,2017-03-31,$0.16,$0.08
31,2017-02-23,2016-12-31,$0.06,$-0.06
32,2016-11-03,2016-09-30,$-0.11,$-0.03
33,2016-08-04,2016-06-30,$-0.24,$-0.26
34,2016-05-05,2016-03-31,$-0.91,$-0.40
35,2016-02-25,2015-12-31,$-0.52,$-0.06
36,2015-11-05,2015-09-30,$-0.38,$-0.05
37,2015-08-06,2015-06-30,$-0.32,$0.22
38,2015-05-07,2015-03-31,$-0.62,$-0.37
39,2015-02-12,2014-12-31,$0.76,$1.07
