Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,8.30400,8.04400,-16.34800,0.33500,-16.01300,-16.06100,-16.06100,-16.06100,-16.26600,-16.34800,321.87510,321.87510,-0.05000,-0.05000,0.09780,-0.68790,93.82530,93.82520,-25.49450,93.82520,-0.05020,-0.0433,-0.0435
2024-09-30,11.81300,8.14900,-19.96200,-0.55800,-20.52000,-20.52000,-20.52000,-20.52000,-19.87900,-19.96200,323.66360,323.66360,-0.06000,-0.06000,0.05100,-0.42740,95.57970,95.57970,-33.46820,95.57970,-0.06620,-0.0171,-0.0172
2024-06-30,12.40300,7.89200,-20.29500,0.12700,-20.16800,-20.16800,-20.16800,-20.16800,-20.18300,-20.29500,320.89200,320.89200,-0.06000,-0.06000,0.03920,-0.61150,209.93050,209.93030,-33.25470,209.93030,-0.02980,-0.0366,-0.0379
2024-03-31,18.12300,6.55900,-24.68200,-0.51200,-25.19400,-25.19400,-25.19400,-25.19400,-24.59700,-24.68200,311.52190,311.52190,-0.08000,-0.08000,0.16300,,-1391.93300,-1391.93300,-38.49060,-1391.93400,0.00570,-0.03800,-0.03800
2023-12-31,26.67700,6.58200,-33.25900,-0.15900,-33.41800,-33.45900,-33.45900,-33.45900,-33.16100,-33.25900,288.64370,288.64370,-0.12000,-0.12000,0.28150,,-306.45630,-306.45720,-48.56450,-306.45720,0.03560,-0.0557,-0.0572
2023-09-30,7.90500,4.61300,-12.51800,0.05100,-12.46700,-12.46700,-12.46700,-12.46700,-12.43100,-12.51800,294.63650,294.63650,-0.04000,-0.04000,1.44090,,-22.52070,-22.52070,-14.23600,-22.52070,0.18140,-0.0374,-0.0376
2023-06-30,8.09800,5.13100,-13.22900,-0.87800,-14.10700,-14.10700,-14.10700,-14.10700,-13.14200,-13.22900,281.32300,281.32300,-0.05000,-0.05000,1.19490,,-32.02130,-32.02130,-18.77000,-32.02130,0.15670,-0.027,-0.0273
2023-03-31,7.16900,6.21400,-13.38300,-0.36500,-13.74800,-13.74800,-13.74800,-13.74800,-13.29500,-13.38300,272.02960,272.02960,-0.05000,-0.05000,1.80230,,-24.74840,-24.74840,-16.11760,-24.74840,0.19800,-0.08630,-0.08630
2022-12-31,104.25400,7.02100,-111.27500,1.78300,-109.49200,-109.56900,-109.56900,-109.56900,-111.15600,-111.27500,239.86700,239.86700,-0.45000,-0.45000,1.19200,,-263.99000,-263.98980,-115.60710,-263.98980,0.15560,-0.0827,-0.0835
2022-09-30,22.66300,5.94400,-28.60700,0.71300,-27.89400,-27.89400,-27.89400,-27.89400,-28.49700,-28.60700,239.74100,239.74100,-0.12000,-0.12000,2.85490,,-35.28210,-35.28210,-23.80910,-35.28210,0.29770,-0.0271,-0.0292
