Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,171.78800,45.94800,125.84000,55.76300,56.81000,69.03000,69.03000,17.51300,51.51700,51.51700,,51.51700,48.75900,49.47800,1.06000,1.04000,0.15340,0.34670,56.45010,42.12860,0.01510,6.31860,6.32910,0.63640,5.34960,16.90500,1.1027,1.0602
2024-06-30,168.02100,43.50400,124.51700,51.57100,52.69800,71.81900,71.81900,18.13300,53.68600,53.68600,,53.68600,50.93700,51.33700,1.05000,1.05000,0.15970,0.19010,58.26390,43.55330,0.01510,6.90950,6.92240,0.65910,5.80570,15.77100,0.3837,0.352
2024-03-31,165.19100,41.39100,123.80000,47.83300,48.88100,74.91900,74.91900,18.49000,56.42900,56.42900,,56.42900,52.74700,53.32600,1.07000,1.06000,0.15320,0.18090,61.59530,46.39360,0.01540,6.90880,6.92200,0.71290,5.85050,15.63100,1.41080,1.38070
2023-12-31,159.06200,39.91400,119.14800,58.69400,59.92100,59.22700,59.22400,15.19600,44.02800,44.02800,,44.02800,54.50600,55.05300,0.81000,0.80000,0.15480,0.18320,56.49310,41.99780,0.01360,5.45390,5.46500,0.57140,4.60980,15.17360,1.0942,1.0897
2023-09-30,155.74800,40.08600,115.66200,48.56700,49.21100,66.45100,66.45100,16.31400,50.13700,50.13700,,50.13700,54.17500,54.73900,0.93000,0.92000,0.13330,0.15390,58.33640,44.01460,0.01530,6.48030,6.49500,0.67160,5.61620,14.36290,0.9853,0.9307
2023-06-30,155.62600,39.09500,116.53100,49.52300,50.30400,66.22700,66.22700,17.21800,49.00900,49.00900,,49.00900,54.87200,55.27000,0.89000,0.89000,0.13710,0.15890,57.00870,42.18730,0.01540,6.54180,6.55800,0.64970,5.64510,13.73560,0.5425,0.4366
2023-03-31,151.16500,36.36000,114.80500,49.11600,49.93600,64.86900,64.87200,15.75000,49.12200,49.12200,,49.12200,55.45300,56.04800,0.89000,0.88000,0.14450,0.16900,57.45870,43.50850,0.01480,6.77410,6.79230,0.64580,5.79500,13.10590,0.76960,0.70410
2022-12-31,136.10200,30.15000,105.95200,48.92600,49.70400,56.24800,56.24800,16.00700,40.24100,40.24100,,40.24100,56.55600,57.26900,0.71000,0.70000,0.15000,0.17650,56.40420,40.35280,0.01260,5.79820,5.81530,0.50920,4.92840,12.46240,0.9143,0.9035
2022-09-30,107.34700,19.26200,88.08500,44.86800,45.65200,42.43300,42.43300,11.82900,30.60400,30.60400,,30.60400,56.42900,57.00800,0.54000,0.54000,0.18560,0.22800,48.62660,35.07100,0.01120,4.61090,4.62580,0.39350,3.75500,11.80990,0.5044,0.4624
2022-06-30,89.56300,7.04100,82.52200,40.55100,41.39500,41.12700,41.12700,10.72500,30.40200,30.40200,,30.40200,56.80100,57.45400,0.54000,0.53000,0.18740,0.81710,48.97700,36.20490,0.01180,4.63070,4.64660,0.42700,3.76300,11.54550,0.3773,0.3581
2022-03-31,80.96600,3.00100,77.96500,38.96500,39.85900,38.10600,38.10600,9.14000,28.96600,28.96600,,28.96600,57.11600,58.09600,0.51000,0.50000,0.18850,0.23230,49.83910,37.88490,0.01080,4.44060,4.45670,0.40900,3.60370,11.41270,0.31650,0.29890
2021-12-31,82.93800,2.55500,80.38300,43.96700,44.82600,35.55700,35.55700,8.52900,27.02800,27.02800,-0.03600,26.99200,57.19000,58.83000,0.48000,0.46000,0.18850,0.23240,45.14770,34.27250,0.01150,4.14250,4.15810,0.39500,3.36140,11.37250,0.2083,0.2031
2021-09-30,80.08800,2.60700,77.48100,40.16900,40.99700,36.48400,36.48400,8.28900,28.19500,28.19500,0.06600,28.26100,57.19900,58.62800,0.49000,0.48000,0.19210,0.70810,48.08880,37.25020,0.01210,4.41940,4.43720,0.44980,3.57040,11.12800,0.6451,0.6457
2021-06-30,82.84100,2.91100,79.93000,42.12600,42.93200,36.99800,36.99800,7.84000,29.15800,29.15800,0.27700,29.43500,57.23100,59.02300,0.51000,0.50000,0.19690,0.24530,45.74380,36.39300,0.01230,4.70970,4.72990,0.44510,3.78230,10.77500,0.2397,0.2236
2021-03-31,80.99700,3.16600,77.83100,41.89700,42.70500,35.12600,35.12600,9.06600,26.06000,26.06000,-0.09500,25.96500,57.37200,59.29400,0.45000,0.44000,0.20290,0.25460,45.61290,33.71680,0.00990,4.36690,4.38710,0.33640,3.48090,10.42420,0.33290,0.32730
