Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,-0.59980,-0.59980,1.00690,0.40710,0.40710,0.40710,0.40710,-0.59980,-0.59980,7.06250,7.06250,0.04000,0.04000,0.09090,-0.36800,-20.83820,-20.83820,1.61480,-20.83820,-0.24640,-0.0324,-0.0324
2024-03-31,-0.39610,-0.39610,0.24780,-0.14820,-0.14820,-0.14820,-0.14820,-0.39610,-0.39610,7.06250,7.06250,-0.01000,-0.01000,0.16950,-0.22420,6.90320,6.90320,-0.59460,6.90320,-0.27090,-0.03050,-0.03050
2023-12-31,0.44120,0.44120,2.02960,2.47080,2.47080,2.47080,2.47080,0.44120,0.44120,7.06250,7.06250,0.10000,0.10000,,,-353.73810,-353.73760,1.56790,-353.73810,-0.08810,-0.1154,-0.1154
2023-09-30,-0.47040,-0.47040,2.35340,1.88300,1.88300,1.88300,1.88300,-0.47040,-0.47040,7.06250,7.06250,0.07000,0.07000,0.21160,-0.01310,-16.04290,-16.04290,1.21030,-16.04290,-1.48050,-0.0454,-0.0454
2023-06-30,-0.35390,-0.35390,4.29790,3.94400,3.94400,3.94400,3.94400,-0.35390,-0.35390,7.06250,7.06250,0.11000,0.11000,0.31950,,-35.38250,-35.38260,1.34400,-35.38250,-1.40600,-0.0054,-0.0054
2023-03-31,-0.45080,-0.45080,2.57160,2.12090,2.12090,2.12090,2.12090,-0.45080,-0.45080,7.06250,7.06250,0.06000,0.06000,0.67510,,-18.22430,-18.22430,0.73010,-18.22430,-1.46790,-0.05440,-0.05440
2022-12-31,-0.94790,-0.94790,3.23390,2.28600,2.28600,2.28600,2.28600,-0.94790,-0.94790,7.06250,7.06250,0.06000,0.06000,0.72590,,-21.32980,-21.32980,0.79510,-21.32980,-1.35190,-0.0393,-0.0393
2022-09-30,-0.66450,-0.66450,1.20740,0.54290,0.54290,0.54290,0.54290,-0.66450,-0.66450,7.06250,7.06250,0.02000,0.02000,1.86090,,-5.11490,-5.11490,0.19020,-5.11490,-1.33890,-0.0551,-0.0551
2022-06-30,-0.57600,-0.57600,3.58460,3.00860,3.00860,3.00860,3.00860,-0.57600,-0.57600,7.06250,7.06250,0.08000,0.08000,3.38030,,-30.44660,-30.44660,1.05680,-30.44660,-1.24660,-0.0491,-0.0491
2022-03-31,-0.62450,-0.62450,3.84260,3.21800,3.21800,3.21800,3.21800,-0.62450,-0.62450,7.06250,7.06250,0.09000,0.09000,5.42550,,-25.72640,-25.72640,1.13010,-25.72640,-1.57780,-0.05440,-0.05440
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.1257,0.1257
2021-09-30,-0.28010,-0.28010,3.29340,3.01330,3.01330,3.01330,3.01330,-0.28010,-0.28010,6.74460,6.74460,0.12000,0.12000,32.47090,,-20.04060,-20.04060,1.05540,-20.04060,-2.12890,-0.1257,-0.1257
2021-06-30,,,0.21560,0.21560,0.21560,0.21560,0.21560,,,6.25000,6.25000,0.03000,0.03000,1.01290,-0.07480,-10.65750,-10.65750,20.79910,-10.65750,-0.28150,0,0
