Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,523.81400,430.27800,93.53600,11.92100,59.70400,33.83210,-36.66200,-2.83000,0.26300,-3.09300,-3.09300,-4.12600,87.73210,33.83210,133.73270,133.73270,-0.03000,-0.03000,0.36940,0.84990,6.45880,6.45880,-0.54030,-0.78770,0.11200,-0.13700,-0.16770,-0.06610,-0.08640,14.76370,0.4627,0.2884
2024-06-30,504.58100,415.88700,88.69400,11.74600,57.02500,31.66900,-28.05700,3.61200,0.68600,2.92600,2.92600,1.97900,87.77900,31.66900,130.53220,130.68990,0.01000,0.01000,0.37620,0.97580,6.27630,6.27630,0.71580,0.39220,0.10860,0.13910,0.17320,0.06300,0.08670,15.98140,0.4661,0.3349
2024-03-31,499.53300,417.35600,82.17700,11.82800,57.37700,24.80000,-27.52600,-2.72600,0.27800,-3.00400,-3.00400,-3.89200,79.36600,24.80000,104.29510,104.29510,-0.04000,-0.04000,0.37330,0.95200,4.96460,4.96460,-0.54570,-0.77910,0.10620,-0.14100,-0.17580,-0.06390,-0.08830,16.19460,-0.05710,-0.10850
2023-12-31,482.58100,398.06500,84.51600,11.34100,58.85210,25.66390,-56.73500,-31.07100,-0.11200,-30.95900,-30.95900,-27.42500,88.26000,25.66390,66.04710,66.04710,-0.41000,-0.41000,0.48530,1.80180,5.31810,5.31810,-6.43850,-5.68300,0.10540,-2.17210,-3.06550,-0.67630,-1.11790,21.52230,0.3902,0.258
2023-09-30,464.24000,389.17700,75.06300,11.34200,61.63900,13.42400,-19.58600,-6.16200,0.28400,-6.44600,-6.44600,-5.98900,76.62600,13.42400,66.04900,66.04900,-0.09000,-0.09000,0.46080,1.72120,2.89160,2.89160,-1.32730,-1.29010,0.10120,-0.43740,-0.61870,-0.14050,-0.23580,22.24940,0.4408,1.3203
2023-06-30,467.57100,387.20200,80.36900,11.77400,57.36300,23.00600,-34.52500,-11.51900,0.34800,-11.86700,-11.86700,-12.18300,79.98400,23.00600,66.03340,66.03340,-0.19000,-0.19000,0.46190,1.71500,4.92030,4.92030,-2.46360,-2.60560,0.10020,-0.79300,-1.12930,-0.25430,-0.42670,22.59200,0.2995,1.0563
2023-03-31,452.22600,385.34100,66.88500,13.05300,58.05500,8.83000,-36.30200,-27.47200,0.14300,-27.61500,-27.61500,-25.87200,73.87000,8.83000,66.02620,66.02620,-0.39000,-0.39000,0.45630,1.69920,1.95260,1.95260,-6.07480,-5.72100,0.09530,-1.80850,-2.57420,-0.58170,-0.98330,23.06270,0.36140,0.14030
2022-12-31,452.58300,375.70400,76.87910,-19.44700,59.22500,17.65410,-66.86700,-49.21300,0.08700,-49.30000,-49.30000,-47.53100,97.49910,17.65410,65.80790,65.80790,-0.72000,-0.72000,0.44910,1.63290,3.90070,3.90070,-10.87380,-10.50220,0.09460,-3.14460,-4.48230,-1.02990,-1.73220,23.67870,0.5219,0.5601
2022-09-30,426.16200,352.33700,73.82500,9.62600,50.27900,23.54600,-31.06400,-7.51800,0.12600,-7.64400,-7.64400,-13.50500,73.10700,23.54600,65.81980,65.81980,-0.21000,-0.21000,0.41850,1.50780,5.52510,5.52510,-1.76410,-3.16900,0.08960,-0.46620,-0.66660,-0.16060,-0.27110,6.20620,0.8697,0.8058
2022-06-30,388.29900,310.72200,77.57700,10.92800,52.65600,24.92100,-40.25800,-15.33700,0.20500,-15.54200,-15.54200,-17.31000,70.91500,24.92100,65.75440,65.75440,-0.26000,-0.26000,0.40610,1.43350,6.41800,6.41800,-3.94980,-4.45790,0.08580,-0.91980,-1.25120,-0.34360,-0.54620,6.39180,0.5131,0.2893
2022-03-31,376.13100,302.44700,73.68400,42.31100,53.60300,20.08100,-20.81000,-0.72900,0.16800,-0.89700,-0.89700,-2.95600,68.55800,20.08100,65.62920,65.62920,-0.05000,-0.05000,0.39620,1.37160,5.33880,5.33880,-0.19380,-0.78590,0.08260,-0.05180,-0.07020,-0.01970,-0.03130,6.56090,0.34070,0.23740
2021-12-31,365.39700,292.16690,73.23010,19.59100,79.75910,-6.52900,-18.29900,-24.82800,0.17100,-24.99900,-24.99900,-23.03200,55.12500,-6.52900,50.08110,50.08110,-0.81000,-0.81000,0.39130,1.34100,-1.78680,-1.78680,-6.79480,-6.30330,0.07980,-1.42290,-1.92580,-0.54580,-0.86620,26.71680,0.366,-0.8192
2021-09-30,317.48600,265.00900,52.47700,9.00800,38.97500,13.50200,-17.41100,-3.90900,0.12700,-4.03600,-4.03600,-5.23700,45.52600,13.50200,179.64170,179.64170,-0.03000,-0.03000,0.03270,0.98250,4.25280,4.25280,-1.23120,-1.64950,0.29840,-0.78320,-0.87630,-0.37940,-0.75760,6.30530,-0.0282,-0.0952
2021-06-30,308.09300,258.54500,49.54800,7.34300,36.45000,13.09800,-20.56400,-7.46600,0.49500,-7.96100,-7.96100,-7.67800,45.12200,13.09800,179.62880,179.62880,-0.04000,-0.04000,0.03210,0.94520,4.25130,4.25130,-2.42330,-2.49210,0.28640,-1.50360,-1.68590,-0.74000,-1.45530,6.47810,0.0492,-0.0446
2021-03-31,291.27800,253.19700,38.08100,7.25700,34.22800,3.85310,-19.96300,-16.11000,0.16300,-16.27300,-16.27300,-11.84700,35.53110,3.85310,179.62780,179.62780,-0.07000,-0.07000,0.03170,0.92240,1.32280,1.32280,-5.53080,-4.06720,0.26810,-3.00740,-3.38180,-1.49760,-2.91210,6.62320,-0.02930,-0.18480
