Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.55400,7.55400,15.08800,9.18100,-1.16900,-17.88400,2.57100,-15.31300,-15.31300,-15.31300,-15.31300,-16.70400,-17.88400,66.73800,66.73800,-0.23000,-0.23000,6.34030,100.00000,-236.74880,-236.74880,-202.71380,-202.71380,0.03040,3.41500,26.35430,-14.66170,-14.66170,-6.15510,-14.66170,1.56460,-0.2904,-0.291
2024-06-30,4.09100,4.09100,16.38800,9.51500,-1.49700,-23.30900,2.87700,-20.43200,-20.43200,-20.43200,-20.43200,-22.04600,-23.30900,66.53100,66.53100,-0.31000,-0.31000,7.41720,100.00000,-569.76290,-569.76290,-499.43780,-499.43780,0.01540,3.05980,29.41340,-17.70430,-17.70430,-7.70250,-17.70430,1.73020,-0.323,-0.3216
2024-03-31,4.05900,4.05900,14.33500,10.42800,-56.93000,-77.63400,3.09300,-74.54100,-74.54100,-74.54100,-74.54100,-76.32200,-77.63400,66.43400,66.43400,-1.12000,-1.12000,8.01280,100.00000,-1912.63900,-1912.63900,-1836.43800,-1836.43800,0.01420,,,-56.47430,-56.47430,-26.07430,-56.47430,1.98550,-0.47710,-0.50600
2023-12-31,2.87800,2.87800,27.92300,13.37600,,-38.42100,3.23500,-35.18600,-35.18600,-35.18600,-35.18600,-37.09600,-38.42100,64.48400,64.48400,-0.53000,-0.53000,6.83010,100.00000,-1334.99000,-1334.99000,-1222.58500,-1222.58500,0.00770,0.72680,123.83600,-17.32210,-17.32210,-9.38900,-17.32210,3.06810,-0.3967,-0.4687
2023-09-30,2.14600,2.14600,21.86200,11.64100,,-31.35700,3.09100,-28.26600,-28.26600,-28.26600,-28.26600,-30.06400,-31.35700,65.90700,65.90700,-0.43000,-0.43000,9.07430,100.00000,-1461.18400,-1461.18400,-1317.14800,-1317.14800,0.00560,3.25150,27.67940,-12.18810,-12.18810,-7.40930,-12.18810,3.51770,-0.3776,-0.3867
2023-06-30,0.88000,0.88000,21.83200,12.96700,,-33.91900,2.85300,-31.06600,-31.06600,-31.06600,-31.06600,-32.60400,-33.91900,65.65600,65.65600,-0.47000,-0.47000,12.10860,100.00000,-3854.43200,-3854.43200,-3530.22700,-3530.22700,0.00220,2.58820,34.77270,-12.21690,-12.21690,-7.67280,-12.21690,3.86550,0.4158,0.3948
2023-03-31,,,22.00000,12.86600,,-34.86600,2.77200,-32.09400,-32.09400,-32.09400,-32.09400,-33.53600,-34.86600,60.23000,60.23000,-0.53000,-0.53000,15.16180,,,,,,,,,-11.49750,-11.49750,-7.43920,-11.49750,4.25930,-0.45950,-0.47210
2022-12-31,,,21.60700,13.08100,,-34.68800,2.28300,-32.40500,-32.40500,-32.40500,-32.40500,-33.34200,-34.68800,58.11500,58.11500,-0.55000,-0.55000,14.98780,,,,,,,,,-11.47110,-11.47110,-8.61230,-11.47110,4.74740,-0.4133,-0.4269
2022-09-30,,,21.19200,11.47700,,-32.66900,1.36300,-31.30600,-31.30600,-31.30600,-31.30600,-31.30500,-32.66900,58.87200,58.87200,-0.53000,-0.53000,17.93270,,,,,,,,,-10.13960,-10.13960,-7.77210,-10.13960,5.20880,-0.3177,-0.3249
2022-06-30,,,28.36500,10.11600,,-38.48100,0.55200,-37.92900,-37.92900,-37.92900,-37.92900,-37.25800,-38.48100,57.14900,57.14900,-0.66000,-0.66000,19.84130,,,,,,,,,-11.67500,-11.67500,-9.05240,-11.67500,5.64050,-0.4101,-0.4919
2022-03-31,,,25.55400,9.79000,,-35.34400,0.34500,-34.99900,-34.99900,-34.99900,-34.99900,-34.14700,-35.34400,56.99600,56.99600,-0.61000,-0.61000,22.39170,,,,,,,,,-9.91710,-9.91710,-7.88220,-9.91710,6.19110,-0.62170,-0.67060
2021-12-31,,,21.84700,9.09900,,-30.94600,0.00300,-30.94300,-30.94300,-30.94300,-30.94300,-29.78100,-30.94600,56.29500,56.29500,-0.55000,-0.55000,20.16090,,,,,,,,,-8.10570,-8.10570,-6.49010,-8.10570,6.70080,-0.377,-0.4276
2021-09-30,,,21.99100,9.66700,,-31.65800,-0.19700,-31.85500,-31.85500,-31.85500,-31.85500,-30.48500,-31.65800,56.62900,56.62900,-0.56000,-0.56000,27.80020,,,,,,,,,-7.82270,-7.82270,-6.86480,-7.82270,7.17780,-0.3936,-0.4081
2021-06-30,,,22.65600,8.18600,,-30.84200,0.05100,-30.79100,-30.79100,-30.79100,-30.79100,-29.71200,-30.84200,56.31800,56.31800,-0.55000,-0.55000,31.06320,,,,,,,,,-7.10450,-7.10450,-6.27370,-7.10450,7.68010,-0.4446,-0.4669
2021-03-31,,,18.75300,6.90200,,-25.65500,0.09300,-25.56200,-25.56200,-25.56200,-25.56200,-24.59100,-25.65500,55.36600,55.36600,-0.46000,-0.46000,42.22580,,,,,,,,,-5.57230,-5.57230,-4.97240,-5.57230,8.17780,-0.41590,-0.43240
2020-12-31,,,16.37400,7.97100,,-24.34500,0.11900,-24.22600,-24.22600,-24.22600,-24.22600,-23.35400,-24.34500,27.25600,27.25600,2.23000,2.23000,23.86230,,,,,,,,,-9.03910,-9.03910,-8.23580,-9.03910,5.78960,-1.4348,-1.5553
2020-09-30,,,15.30800,5.66100,,-20.96900,0.12000,-20.84900,-20.84900,-20.84900,-20.84900,-20.03000,-20.96900,45.46900,45.46900,-0.46000,-0.46000,31.19210,,,,,,,,,-7.27610,-7.27610,-6.70550,-7.27610,6.28930,1.6798,1.7863
2020-06-30,,,13.45600,4.30800,,-17.76400,0.03300,-17.73100,-17.73100,-17.73100,-17.73100,-16.93900,-17.76400,11.80200,11.80200,-1.50000,-1.50000,26.54100,,,,,,,,,-5.82960,-5.82960,-5.35350,-5.82960,6.75480,0.4172,0.5947
2020-03-31,,,13.39400,4.64200,,-18.03600,0.31900,-17.71700,-17.71700,-17.71700,-17.71700,-17.35900,-18.03600,5.49500,5.49500,-3.22000,-3.22000,,,,,,,,,,,,,,,-3.23570,-3.60160
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,5.8638,9.7323
2019-09-30,,,13.44700,2.88600,,-16.33300,0.20500,-16.12800,-16.12800,-16.12800,-16.12800,-15.67300,-16.33300,4.86700,4.86700,-3.31000,-3.31000,,,,,,,,,,,,,,,-2.186,-3.1566
2019-06-30,,,12.23700,3.09800,,-15.33500,0.30300,-15.03200,-15.03200,-15.03200,-15.03200,-15.33500,-15.33500,4.55600,4.55600,-3.30000,-3.30000,,,,,,,,,,,,,,,-3.6778,-6.5757
