Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,264.15900,264.15900,75.78900,-3.82800,123.16400,123.16400,0.80800,122.35600,122.35600,43.98600,178.42300,184.54200,394.31000,394.31000,0.11000,0.11000,1.12480,0.54500,1.19800,100.00000,46.62500,69.86020,46.62500,16.65130,0.02000,,,2.08390,2.08390,0.92670,0.94810,14.88040,-0.03430,-0.03430
2021-12-31,281.62400,281.62400,78.56500,-4.10500,138.85900,138.85900,1.00500,137.85400,137.85400,174.00600,179.48900,198.95400,392.29790,392.29790,0.45000,0.45000,1.62000,0.54380,1.19220,100.00000,49.30650,70.64530,49.30650,61.78660,0.02120,,,2.32160,2.32160,1.03660,1.05900,15.07970,-0.9517,-0.9517
2021-09-30,269.19100,269.19100,76.64700,-3.84900,132.17900,132.17900,1.68000,130.49900,130.49900,142.85100,170.36400,188.69500,392.71600,392.71600,0.36000,0.36000,3.34970,0.54130,1.18000,100.00000,49.10230,70.09710,49.10230,53.06680,0.02060,3.47680,25.88620,2.22050,2.22050,0.99800,1.01860,14.94840,-0.7105,-0.7105
2021-06-30,249.01500,249.01500,71.89500,-3.34900,119.32600,119.32600,0.19700,119.12900,119.12900,150.18000,162.78100,173.77100,391.83200,391.83200,0.38000,0.38000,1.57230,0.52210,1.09270,100.00000,47.91920,69.78340,47.91920,60.30960,0.01970,,,2.03910,2.03910,0.94280,0.97440,14.89550,-0.8905,-0.8905
2021-03-31,221.57300,221.57300,65.94700,-3.76800,103.78200,103.78200,1.12700,102.65500,102.65500,157.84500,144.46100,151.85800,391.11480,391.11480,0.40000,0.40000,1.15890,0.48870,0.95580,100.00000,46.83870,68.53630,46.83870,71.23840,0.01910,50.87780,1.76890,1.76930,1.76930,0.88590,0.90460,14.82360,-0.57540,-0.57540
2020-12-31,221.25400,221.25400,65.57600,3.10900,116.38100,116.38100,1.78000,114.60100,114.60100,180.66400,144.31890,158.78700,388.64600,388.64600,0.44000,0.44000,1.48130,0.47940,0.92100,100.00000,52.60060,71.76680,52.60060,81.65460,0.01960,35.03070,2.56920,1.99430,1.99430,1.01380,1.03810,14.73570,-1.8093,-1.8093
2020-09-30,187.05900,187.05900,60.60000,37.20100,126.26900,126.26900,-1.16800,127.43700,127.43700,216.04700,158.63700,163.66000,386.53420,386.53420,0.56000,0.56000,1.12720,0.43060,0.75610,100.00000,67.50220,87.49110,67.50220,115.49670,0.01830,286.46100,0.31420,2.23800,2.23800,1.24520,1.27440,14.66750,-1.7218,-1.7218
2020-06-30,190.24200,190.24200,59.16700,36.60400,128.49400,128.49400,-0.66800,129.16200,129.16200,303.61900,165.32100,167.67900,385.46990,385.46990,0.79000,0.79000,0.55720,0.38490,0.62570,100.00000,67.54240,88.13990,67.54240,159.59620,0.02000,,,2.31230,2.31230,1.36000,1.42240,14.52030,0.4646,0.4646
2020-03-31,204.73200,204.73200,61.78200,39.33800,148.33100,148.33100,2.07500,146.25600,146.25600,-312.59000,170.84100,182.28800,393.44300,393.44300,-0.79000,-0.79000,1.55580,0.39780,0.66070,100.00000,72.45130,89.03740,72.45130,-152.68250,0.02170,,,2.65570,2.65570,1.55290,1.59920,14.09030,-0.94830,-0.94830
2019-12-31,202.25500,202.25500,60.24700,39.01900,145.60300,145.60300,0.23000,145.37300,145.37300,140.19200,176.52500,181.02690,324.63030,324.63030,0.29000,0.29000,1.83030,0.33700,0.50830,100.00000,71.98980,89.50430,71.98980,69.31450,0.02200,21.86540,4.11610,2.43210,2.43210,1.57950,1.61250,15.24310,-2.1963,-2.1963
2019-09-30,188.15400,188.15400,49.33300,28.82100,138.20800,138.20800,0.30200,137.90600,137.90600,118.65200,161.77700,167.64200,384.84600,384.84600,0.31000,0.31000,1.30030,0.29330,0.41510,100.00000,73.45470,89.09830,73.45470,63.06110,0.02200,8.08880,11.12650,2.32770,2.32770,1.60940,1.64490,15.22430,-1.6905,-1.6905
2019-06-30,176.13500,176.13500,17.53400,-2.34200,119.40100,119.40100,-0.22100,119.62200,119.62200,124.67000,147.17000,156.25900,284.75100,284.75100,0.44000,0.44000,0.98680,0.21570,0.27510,100.00000,67.78950,88.71550,67.78950,70.78090,0.02330,,,2.09500,2.09500,1.58490,1.64310,15.27950,0.0831,0.0831
2019-03-31,151.47500,151.47500,16.94400,-2.12400,97.67800,97.67800,1.67300,96.00500,96.00500,114.48700,129.77900,132.40700,235.88600,235.88600,0.49000,0.49000,0.78870,0.40430,0.67880,100.00000,64.48460,87.41180,64.48460,75.58140,0.02170,,,2.35290,2.35290,1.37540,1.40150,15.26450,-3.98080,-3.98080
2018-12-31,126.82900,126.82900,15.17000,-2.25600,83.17400,83.17400,0.27800,82.89600,82.89600,34.92600,105.62000,109.40300,146.42200,146.42200,0.09000,0.09000,1.09040,0.44020,0.78650,100.00000,65.57960,86.26030,65.57970,27.53790,0.02130,,,2.53900,2.53900,1.39300,1.42130,15.10070,-8.8656,-8.8656
2018-09-30,110.48500,110.48500,14.73500,-2.52400,71.84000,71.84000,0.23200,71.60800,71.60800,72.32600,87.98700,93.22600,163.40100,163.40100,0.44000,0.44000,1.19340,0.41590,0.71280,100.00000,65.02240,84.37890,65.02240,65.46230,0.02270,,,2.58250,2.58250,1.46860,1.50830,15.26640,-4.9306,-4.9306
2018-06-30,86.10000,86.10000,14.49500,-1.63100,52.87200,52.87200,0.53100,52.34100,52.34100,50.71500,64.49800,69.97400,122.69100,122.69100,0.41000,0.41000,1.93900,0.41450,0.70800,100.00000,61.40770,81.27060,61.40770,58.90240,0.02350,,,2.49480,2.49480,1.42660,1.46060,15.21380,-2.1995,-2.1995
2018-03-31,65.44400,65.44400,13.24600,-1.41200,38.72900,38.72900,0.05200,38.67700,38.67700,44.27600,48.22700,50.78600,100.92400,100.92400,0.44000,0.44000,0.46250,0.44430,0.79960,100.00000,59.17880,77.60220,59.17880,67.65480,0.02130,,,2.31050,2.31050,1.25900,1.28390,15.14370,-5.66680,-5.66680
2017-12-31,56.37300,56.37300,12.40600,-1.46800,33.47000,33.47000,0.11500,33.35500,33.35500,38.18800,41.26800,42.49900,67.08300,67.08300,0.43000,0.43000,0.80150,0.38440,0.62440,100.00000,59.37240,75.38900,59.37240,67.74170,0.02310,2.83280,31.77050,2.26510,2.26510,1.36500,1.39440,15.03250,-4.8851,-4.8851
2017-09-30,47.35400,47.35400,10.13600,-1.52200,28.40300,28.40300,0.02800,28.37500,28.37500,27.28200,34.04300,35.69600,73.13880,73.13880,0.37000,0.37000,0.46560,0.39630,0.65640,100.00000,59.98020,75.38120,59.98020,57.61290,0.02120,3.34700,26.88940,2.17530,2.17530,1.26970,1.31330,15.27150,-1.1911,-1.1911
2017-06-30,32.83900,32.83900,7.13800,-1.18100,19.29100,19.29100,0.01500,19.27600,19.27600,20.05200,24.04900,24.52000,56.90290,56.90290,0.35000,0.35000,8.66390,0.42350,0.73450,100.00000,58.74420,74.66730,58.74420,61.06150,0.01740,,,1.77840,1.77840,1.01960,1.02530,15.15400,-10.5901,-10.5901
2017-03-31,23.31300,23.31300,6.24100,-1.25900,12.78400,12.78400,,12.78400,12.78400,18.21800,15.44500,15.81300,45.88440,45.88440,0.40000,0.40000,19.22270,0.46240,0.86010,100.00000,54.83640,67.82910,54.83640,78.14520,0.01790,,,1.84190,1.84190,0.98380,0.99020,15.05440,-3.23030,-3.23030
2016-12-31,17.44900,17.44900,5.82900,-0.93200,8.70400,8.70400,,8.35200,8.35200,13.04300,11.04100,10.68800,21.34500,21.34500,22.31000,22.31000,25.02990,0.41960,0.72280,100.00000,49.88250,61.25280,49.88250,74.74930,0.01480,,,1.22730,1.22730,0.70730,0.71240,14.84790,-22.8331,-22.8331
2016-09-30,10.72600,10.72600,3.45800,-0.92400,5.57000,5.57000,,5.57000,5.57000,7.99200,6.14800,6.34400,29.63420,29.63420,0.27000,0.27000,43.90670,0.45130,0.82260,100.00000,51.92990,59.14600,51.92990,74.51050,0.01250,40.78330,2.20680,1.18800,1.18800,0.64810,0.65180,14.50440,-1.3505,-1.3505
2016-06-30,0.62900,0.62900,2.35700,-0.86900,-2.59700,-2.59700,,-2.59700,-2.59700,-2.07900,-2.59700,-2.59700,8.30520,8.30520,-0.25000,-0.25000,3.60880,,,100.00000,-412.87760,-412.87760,-412.87760,-330.52460,0.00130,0.03170,2835.93000,-0.61710,-0.61710,-0.52130,-0.61710,14.23080,-20.0904,-20.0904
2016-03-31,,,0.79100,-1.52800,-2.31900,-2.31900,,-2.31900,-2.31900,-2.31900,-2.31900,-2.31900,0.10760,0.10760,-21.55000,-21.55000,,,,,,,,,,,,,,,,,0.00000,
