Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,406.02900,406.02900,92.80900,-3.47600,188.47100,188.47100,3.55900,184.91200,184.91200,135.35800,302.83200,309.74400,390.21730,390.21730,0.35000,0.35000,1.27900,0.56490,1.29840,100.00000,46.41810,76.28620,46.41810,33.33700,0.02880,,,3.10160,3.10160,1.31230,1.34940,15.27830,-0.0089,-0.0089
2024-06-30,396.76000,396.76000,91.97800,-4.11300,191.54400,191.54400,2.41000,189.13400,189.13400,122.22000,290.27000,300.66900,390.10360,390.10360,0.31000,0.31000,0.83710,0.55300,1.23700,100.00000,48.27710,75.78110,48.27710,30.80450,0.02860,,,3.15520,3.15520,1.36400,1.41050,15.36140,-1.8631,-1.8631
2024-03-31,399.57700,399.57700,88.84700,-3.59600,188.00500,188.00500,5.24000,182.76500,182.76500,182.51700,300.39100,307.13400,389.73290,389.73290,0.47000,0.47000,1.67090,0.53320,1.14220,100.00000,47.05100,76.86480,47.05100,45.67760,0.03000,,,3.03170,3.03170,1.37110,1.41520,15.46840,1.13970,1.13970
2023-12-31,411.22700,411.22700,92.21300,-3.83800,203.28700,203.28700,4.26400,199.02300,199.02300,188.97000,304.19300,315.17600,390.10460,390.10460,0.48000,0.48000,1.60290,0.54030,1.17530,100.00000,49.43430,76.64280,49.43430,45.95270,0.03040,,,3.30530,3.30530,1.47300,1.51940,15.45010,1.0589,1.0589
2023-09-30,399.02200,399.02200,91.90400,-3.89000,192.78300,192.78300,2.73000,190.05300,190.05300,206.93800,295.93300,303.22800,389.70360,389.70360,0.53000,0.53000,1.08580,0.54070,1.17710,100.00000,48.31390,75.99280,48.31390,51.86130,0.02960,,,3.16750,3.16750,1.41180,1.45500,15.39520,0.46,0.46
2023-06-30,394.22300,394.22300,91.01900,-4.13100,189.05600,189.05600,2.38000,186.67600,186.67600,195.56200,296.77200,299.07300,389.93100,389.93100,0.50000,0.50000,0.89080,0.54150,1.18120,100.00000,47.95660,75.86390,47.95660,49.60700,0.02940,,,3.13800,3.13800,1.39380,1.43860,15.26420,1.2738,1.2738
2023-03-31,377.62200,377.62200,88.75000,-3.67300,181.24400,181.24400,3.38500,177.85900,177.85900,201.84200,283.27800,285.19900,391.04910,391.04910,0.52000,0.52000,1.04950,0.55510,1.24770,100.00000,47.99610,75.52500,47.99610,53.45080,0.02760,,,3.00570,3.00570,1.30020,1.33720,15.14650,0.11830,0.11830
2022-12-31,350.50600,350.50600,84.93900,-3.68700,164.27610,164.27600,1.81200,162.46400,162.46400,191.88800,262.70510,261.88010,394.00690,394.00690,0.49000,0.49000,1.06470,0.55310,1.23790,100.00000,46.86830,74.71490,46.86820,54.74600,0.02580,,,2.76190,2.76190,1.19590,1.23410,14.98790,0.2403,0.2403
2022-09-30,314.05300,314.05300,80.67700,-3.78800,148.37800,148.37800,1.60400,146.77400,146.77400,265.42700,225.78700,229.58800,393.82300,393.82300,0.67000,0.67000,1.23800,0.55170,1.23060,100.00000,47.24620,73.10490,47.24620,84.51660,0.02340,,,2.50990,2.50990,1.09430,1.12520,14.84880,0.1215,0.1215
2022-06-30,273.28600,273.28600,75.82300,-3.40600,126.71000,126.71000,1.58600,125.12400,125.12400,-34.94600,191.51600,194.05700,394.18500,394.18500,-0.09000,-0.09000,1.04660,0.55290,1.23650,100.00000,46.36540,71.00880,46.36540,-12.78730,0.02090,,,2.19340,2.19340,0.95600,0.98080,14.48480,0.2239,0.2239
