Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.41040,-0.41040,0.17890,-0.23150,-0.23150,-0.23150,-0.23150,-0.41040,-0.41040,6.47780,6.47780,-0.03000,-0.03000,0.13930,,6.26110,6.26110,-1.27100,6.26110,-0.57070,-0.0691,-0.0691
2024-06-30,0.57040,-0.57040,0.84760,0.27730,0.27730,0.27730,0.27730,-0.57040,-0.57040,6.47780,6.47780,0.03000,0.03000,0.00820,,-8.51530,-8.51530,0.64830,-8.51530,-0.50270,-0.0268,-0.0268
2024-03-31,0.80180,-0.80180,1.42470,0.62300,0.62300,0.62300,0.62300,-0.80180,-0.80180,6.47780,6.47780,0.06000,0.06000,0.27630,,-20.12520,-20.12520,1.46230,-20.12520,-0.47780,-0.02660,-0.02660
2023-12-31,1.13970,-1.13970,-0.02180,-1.16150,-1.16150,-1.16150,-6.26840,-1.13970,-1.13970,6.47780,6.47780,0.03000,0.03000,0.33410,,35.35990,35.35990,-2.76000,35.35990,-0.50710,-0.0129,-0.0129
2023-09-30,0.64840,-0.64840,1.72680,1.07840,1.07840,1.07840,1.07840,-0.64840,-0.64840,6.47780,6.47780,0.07000,0.07000,1.68040,,-63.87240,-63.87240,2.58270,-63.87240,-0.26060,-0.1385,-0.1385
2023-06-30,0.90650,-0.90650,4.91500,4.00850,4.00850,4.00850,4.00850,-0.90650,-0.90650,6.47780,6.47780,0.12000,0.12000,0.17780,-0.40330,-129.33110,-129.33130,1.48600,-129.33110,-0.47850,-0.165,-0.165
2023-03-31,0.59040,-0.59040,3.81310,3.22270,3.22270,3.22270,3.22270,-0.59040,-0.59040,6.47780,6.47780,0.10000,0.10000,0.27100,,-52.80950,-52.80940,1.20880,-52.80950,-0.94210,-0.01790,-0.01790
2022-12-31,0.61050,-0.61050,1.81830,1.20780,1.20780,1.20780,-5.63700,-0.61050,-0.61050,6.47780,6.47780,0.03000,0.03000,0.46570,,-18.36200,-18.36210,0.45730,-18.36200,-1.01540,-0.0029,-0.0029
2022-09-30,0.77170,-0.77170,2.08520,1.31350,1.31350,1.31350,1.31350,-0.77170,-0.77170,6.47780,6.47780,0.04000,0.04000,0.74400,,-23.19590,-23.19590,0.50090,-23.19590,-0.87420,-0.0434,-0.0434
2022-06-30,0.61000,-0.61000,4.53400,3.92390,3.92390,3.92390,3.92390,-0.61000,-0.61000,6.47780,6.47780,0.12000,0.12000,1.26160,,-33.46560,-33.46570,1.50190,-33.46560,-1.81010,-0.0079,-0.0079
2022-03-31,0.72910,-0.72910,2.83980,2.11070,2.11070,2.11070,2.11070,-0.72910,-0.72910,6.47780,6.47780,0.07000,0.07000,1.81280,,-13.95400,-13.95400,0.80830,-13.95400,-2.33510,-0.06950,-0.06950
2021-12-31,1.32630,-1.32630,3.96990,2.64360,2.64360,2.64360,2.64360,-1.32630,-1.32630,6.14110,6.14110,0.21000,0.21000,2.60710,,-15.36170,-15.36170,1.01040,-15.36170,-2.65660,0.0458,0.0458
2021-09-30,1.05360,-1.05360,6.50330,5.44970,5.44970,5.44970,5.44970,-1.05360,-1.05360,6.40090,6.40090,0.21000,0.21000,38.34120,,-27.45070,-27.45070,2.07810,-27.45070,-3.06470,-0.403,-0.403
2021-06-30,0.16150,-0.16150,,-0.16150,-0.16150,-0.16150,-0.16150,-0.16150,-0.16150,6.00000,6.00000,-0.03000,-0.03000,,-1.36050,116.85070,116.85070,-18.71840,116.85070,-0.02000,0,0
2021-03-31,0.00170,-0.00170,,-0.00170,-0.00170,-0.00170,-0.00170,-0.00170,-0.00170,6.00000,6.00000,0.00000,0.00000,,0.85890,-7.36530,-7.36530,-0.81310,-7.36530,0.00340,0.00000,
