Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.38700,-1.41540,0.91650,-0.49900,,-0.49900,-0.49900,-0.49900,-1.38680,-1.41540,198.21900,198.21900,0.00000,0.00000,25.74410,,0.00020,-0.35700,-0.35700,-0.35160,-0.35700,0.70510,-0.0034,-0.014
2024-06-30,2.33750,-2.37490,0.15350,-2.22140,,-2.22140,-2.22140,-2.22140,-2.33810,-2.37490,187.82200,187.82200,-0.01460,-0.01460,28.48730,,0.00040,-1.59390,-1.59390,-1.57110,-1.59390,0.70320,-0.0059,-0.0196
2024-03-31,1.61220,-1.65060,0.45870,-1.19150,,-1.19150,-1.19150,-1.19150,-1.61220,-1.65060,167.10700,167.10700,-0.00740,-0.00740,7.87960,,0.00100,-1.13200,-1.13200,-1.09850,-1.13200,0.62320,-0.00460,-0.01310
2023-12-31,0.89670,-0.93480,0.54480,-0.38990,,-0.38990,-0.38990,-0.38990,-0.89710,-0.93480,159.76370,159.76370,0.00750,0.00750,7.47450,0.00010,0.00140,-0.37750,-0.37750,-0.36570,-0.37740,0.62190,-0.0019,-0.0337
2023-09-30,1.03170,-1.07030,0.45690,-0.61340,,-0.61340,-0.61340,-0.61340,-1.03160,-1.07030,162.53100,162.53100,-0.00750,-0.00750,4.62790,0.00010,0.00190,-0.61550,-0.61550,-0.58340,-0.61540,0.61300,-0.0025,-0.0279
2023-06-30,0.78380,-0.82230,0.17360,-0.64870,,-0.64870,-0.64870,-0.64870,-0.78360,-0.82230,160.37000,160.37000,-0.00740,-0.00740,11.51440,0.00060,0.00230,-0.65200,-0.65200,-0.63510,-0.65150,0.61250,-0.0007,-0.0202
2023-03-31,0.93860,-0.97680,0.15590,-0.82100,,-0.82100,-0.82100,-0.82100,-0.93860,-0.97680,152.63500,152.63500,-0.00740,-0.00740,6.76390,0.00110,0.00330,-1.00560,-1.00560,-0.97720,-1.00450,0.53410,-0.00670,-0.02220
2022-12-31,1.04820,-1.08680,0.06840,-1.01840,,-1.01840,-1.01840,-1.01840,-1.04670,-1.08680,151.53140,151.53140,-0.00730,-0.00730,5.49720,0.00160,0.00380,-1.20640,-1.20640,-1.15750,-1.20450,0.55680,-0.0053,-0.0338
2022-09-30,0.83710,-0.86670,0.32530,-0.54140,,-0.54140,-0.54140,-0.54140,-0.83840,-0.86670,151.58100,151.58100,0.00000,0.00000,5.70200,0.00200,0.00420,-0.63890,-0.63890,-0.60810,-0.63770,0.55900,-0.0025,-0.0459
2022-06-30,1.01320,-1.04350,0.03860,-1.00490,,-1.00490,-1.00490,-1.00490,-1.01350,-1.04350,151.51300,151.51300,-0.00780,-0.00780,10.31270,0.00250,0.00470,-1.15890,-1.15890,-1.11720,-1.15600,0.57230,-0.0028,-0.0234
