Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.03700,,0.03700,0.07900,-0.01400,,-0.05600,0.05200,-0.00400,-0.00400,-0.00400,,-0.00400,-0.05300,-0.05600,5.13200,5.13200,-0.01000,-0.01000,7.47540,,,100.00000,-151.35130,-151.35130,-10.81080,-10.81080,0.00800,,,-0.08780,-0.08780,-0.08660,-0.08780,0.88780,0.0027,0.0027
2024-06-30,0.03700,,0.03700,0.07800,-0.01200,,-0.05300,0.05600,0.00300,0.00300,0.00300,,0.00300,-0.04900,-0.05300,5.13200,5.13200,0.01000,0.01000,7.60000,,,100.00000,-143.24330,-143.24330,8.10810,8.10810,0.00800,,,0.06580,0.06580,0.06490,0.06580,0.88850,0.0041,0.0041
2024-03-31,0.03600,,0.03600,0.07800,-0.01300,,-0.05500,0.05700,0.00200,0.00200,0.00200,,0.00200,-0.05200,-0.05500,5.13200,5.13200,0.01000,0.01000,6.80600,,,100.00000,-152.77780,-152.77780,5.55550,5.55560,0.00780,,,0.04390,0.04390,0.04330,0.04390,0.88800,-0.01010,-0.01010
2023-12-31,0.03700,,0.03700,0.11900,-0.01600,,-0.09800,0.05900,-0.03900,-0.03900,-0.03900,,-0.03900,-0.09500,-0.09800,5.13200,5.13200,-0.02000,-0.02000,6.12000,,,100.00000,-264.86480,-264.86490,-105.40540,-105.40540,0.00800,,,-0.85640,-0.85620,-0.84230,-0.85620,0.88760,-0.0025,-0.0026
2023-09-30,0.03500,,0.03500,0.07000,-0.01500,,-0.05000,0.05700,0.00700,0.00700,0.00700,,0.00700,-0.04600,-0.05000,5.13200,5.13200,0.01000,0.01000,7.56250,,,100.00000,-142.85710,-142.85710,20.00000,20.00000,0.00750,,,0.15240,0.15240,0.15030,0.15240,0.89520,0.0076,0.0055
2023-06-30,0.03500,,0.03500,0.08100,-0.01400,,-0.06000,0.05400,-0.00600,-0.00600,-0.00600,,-0.00600,-0.05700,-0.06000,5.13200,5.13200,-0.01000,-0.01000,70.50880,,,100.00000,-171.42860,-171.42860,-17.14290,-17.14290,0.00750,,,-0.13080,-0.13080,-0.12920,-0.13080,0.89380,-0.001,-0.001
2023-03-31,0.04500,,0.04500,0.06800,-0.01200,,-0.03500,0.05200,0.01700,0.01700,0.01700,,0.01700,-0.03200,-0.03500,5.13200,5.13200,0.01000,0.01000,53.17110,,,100.00000,-77.77780,-77.77780,37.77780,37.77780,0.00960,,,0.37020,0.37010,0.36410,0.37010,0.89510,0.00020,0.00020
2022-12-31,0.05700,,0.05700,0.08600,-0.01400,,-0.04300,0.05400,0.01100,0.01100,0.01100,,0.01100,-0.04000,-0.04300,5.13200,5.13200,,0.00000,7.39680,,,100.00000,-75.43870,-75.43860,19.29820,19.29830,0.01230,,,0.24040,0.24040,0.23710,0.24040,0.89170,0.0073,0.0073
2022-09-30,0.06300,,0.06300,0.07100,-0.01800,,-0.02600,0.05300,0.02700,0.02700,0.02700,,0.02700,-0.02300,-0.02600,5.13200,5.13200,0.01000,0.01000,69.96490,,,100.00000,-41.26980,-41.26980,42.85710,42.85710,0.01360,,,0.59160,0.59150,0.58420,0.59150,0.88950,0.0052,0.0052
2022-06-30,0.04700,,0.04700,0.08000,-0.01300,,-0.04600,0.18400,0.13800,0.13800,0.13800,,0.13800,-0.04300,-0.04600,5.13200,5.13200,0.02000,0.02000,70.66070,,,100.00000,-97.87230,-97.87230,293.61710,293.61700,0.01020,,,3.04170,3.04100,3.00390,3.04100,0.88430,0.023,0.023
2022-03-31,0.04500,,0.04500,0.08000,-0.01200,,-0.04700,0.05200,0.00500,0.00500,0.00500,,0.00500,-0.04400,-0.04700,5.13200,5.13200,0.01000,0.01000,40.16670,,,100.00000,-104.44440,-104.44440,11.11110,11.11110,0.01000,2.04550,44.00000,0.11370,0.11360,0.11120,0.11360,0.85740,0.00040,0.00040
2021-12-31,0.02400,,0.02400,0.12200,-0.00500,,-0.10300,0.05300,-0.05000,-0.05000,-0.05000,,-0.05000,-0.11700,-0.10300,5.13200,5.13200,,0.00000,63.53330,,,100.00000,-429.16670,-429.16660,-208.33320,-208.33330,0.00540,,,-1.13790,-1.13770,-1.12230,-1.13770,0.85640,-0.0269,-0.0269
2021-09-30,0.02500,,0.02500,0.05300,-0.03400,,-0.06200,0.05400,-0.00800,-0.00800,-0.00800,,-0.00800,-0.04100,-0.06200,5.13200,5.13200,-0.01000,-0.01000,45.68240,,,100.00000,-248.00000,-248.00000,-32.00000,-32.00000,0.00550,,,-0.18000,-0.18000,-0.17660,-0.18000,0.86610,0.0016,0.0016
2021-06-30,0.02600,,0.02600,0.11100,-0.02000,,-0.10500,0.15400,0.04900,0.04900,0.04900,,0.04900,-0.10200,-0.10500,5.13200,5.13200,0.01000,0.01000,19.67820,0.02260,0.03480,100.00000,-403.84610,-403.84610,188.46150,188.46150,0.00550,,,1.10060,1.10040,1.02980,1.07550,0.86770,0.0444,0.0444
2021-03-31,0.02600,,0.02600,0.07400,-0.01800,,-0.06600,0.14500,0.07900,0.07900,0.07900,,0.07900,-0.06300,-0.06600,5.13200,5.13200,0.01000,0.01000,21.90450,0.02540,0.03790,100.00000,-253.84610,-253.84610,303.84610,303.84620,0.00550,,,1.79420,1.79380,1.68190,1.74820,0.85810,0.00490,0.00490
2020-12-31,0.02400,,0.02400,0.10000,,,-0.10100,0.07400,-0.02700,-0.02700,-0.04300,0.01100,-0.03200,-0.10200,-0.10100,5.13200,5132.00000,-0.04000,-0.04000,23.18290,0.02740,0.04020,295.83330,-420.83330,-420.83310,-112.49990,-133.33300,0.00520,,,-0.99450,-0.99420,-0.93260,-0.96690,0.84280,0.0956,0.0956
2020-09-30,0.02500,0.01500,0.01000,0.06500,,0.06500,-0.05500,0.13700,0.08200,0.08200,0.08200,2.10000,2.18200,-0.04800,-0.05500,5.13200,5.13200,0.43000,0.43000,38.80410,0.03330,0.04360,40.00000,-220.00000,-220.00000,328.00000,8728.00000,0.00540,,,1.88250,1.88200,1.78110,1.81940,0.84900,-0.1035,-0.1035
2020-06-30,0.02600,0.01600,0.01000,0.12700,,0.12700,-0.11700,0.06000,-0.05700,-0.05700,-0.05700,-0.08000,-0.13700,-0.11400,-0.11700,5.13200,5.13200,-0.03000,-0.03000,13.94490,0.06890,0.09240,38.46150,-450.00000,-450.00000,-219.23080,-526.92300,0.00490,0.37680,238.84610,-2.62190,-2.62070,-1.06480,-2.44010,0.42380,0.0111,0.0111
2020-03-31,0.02600,0.01600,0.01000,0.10400,,0.10400,-0.09400,0.06000,-0.03400,-0.03400,-0.03400,-0.06300,-0.09700,-0.09100,-0.09400,5.13200,5.13200,0.01000,0.01000,8.89830,0.06890,0.09130,38.46150,-361.53850,-361.53850,-130.76920,-373.07690,0.00450,0.46430,193.84620,-1.47120,-1.47060,-0.59490,-1.36930,0.45050,-0.00330,-0.00330
2019-12-31,-0.27100,-0.36600,0.09500,0.10400,,0.10400,-0.00900,0.06200,0.05300,0.05300,0.05300,-0.07000,-0.01700,-0.00300,-0.00900,5.13200,5.13200,0.00000,0.00000,14.02760,0.06840,0.09170,-35.05530,3.32100,3.32100,-19.55720,6.27310,-0.04680,,,2.20100,2.20010,0.91540,2.04950,0.46940,-0.1236,-0.1231
2019-09-30,0.02500,0.01700,0.00800,0.09200,,0.09200,-0.08400,0.10600,0.02200,0.02200,0.02200,-2.34200,-2.32000,-0.11800,-0.08400,5.13200,5.13200,-0.45000,-0.45000,7.15190,0.06940,0.09560,32.00000,-336.00000,-336.00000,88.00000,-9280.00000,0.00420,0.36230,248.40000,0.90720,0.90680,0.36810,0.84390,0.47270,0.0965,0.0962
2019-06-30,0.16400,0.23100,-0.06700,0.13400,,0.13400,-0.20100,0.06000,-0.14100,-0.14100,-0.14100,,-0.14100,-0.17800,-0.20100,5.13200,5.13200,-0.03000,-0.03000,29.89260,0.03790,0.05010,-40.85370,-122.56100,-122.56100,-85.97560,-85.97560,0.02090,2.12990,42.25610,-2.97160,-2.97090,-1.79570,-2.85830,0.92480,-0.0417,-0.0551
