,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,--,$-0.18
1,2024-08-08,2024-06-30,$-0.13,$-0.31
2,2024-05-09,2024-03-31,$-0.21,$-0.21
3,2024-03-14,2023-12-31,$-0.22,$-0.25
4,2023-11-09,2023-09-30,$-0.16,$-0.26
5,2023-08-09,2023-06-30,--,$-0.13
6,2023-05-09,2023-03-31,--,$-0.16
7,2023-03-15,2022-12-31,--,$-0.18
8,2022-11-11,2022-09-30,--,$-0.19
9,2022-08-10,2022-06-30,--,$-0.08
