Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,31.69500,31.69500,17.91500,-6.41400,7.22200,-1.93900,5.28300,0.14200,5.14100,5.14100,2.15000,7.38200,7.22200,1.63100,5.79100,1.32000,1.31000,0.25720,5.77240,22.78590,22.78590,16.66820,6.78340,0.03870,5.11040,5.11460,0.62850,3.79480,51.60260,0.707,0.6541
2024-06-30,10.79800,10.79800,10.69900,-6.34100,-6.36700,-7.42100,-13.78800,-0.20500,-13.58300,-13.58300,-2.34900,-6.25000,-6.36700,1.61600,5.68200,-1.45000,-1.47000,0.23690,5.97610,-58.96460,-58.96460,-127.69030,-21.75400,0.01310,-14.20950,-14.22170,-1.64440,-10.83980,49.03490,-0.7463,-0.8122
2024-03-31,18.56400,18.56400,14.83900,-6.97600,-3.37500,27.37900,24.00400,0.49800,23.50600,23.50600,2.02300,-3.27000,-3.37500,1.58100,5.64500,1.28000,1.28000,0.20760,6.35880,-18.18040,-18.18040,129.30400,10.89740,0.01750,20.74740,20.76250,2.21480,16.43550,58.80800,0.91000,0.89250
2023-12-31,34.46400,34.46400,16.33500,-6.55000,11.44900,15.59800,27.04700,0.16600,26.88100,26.88100,4.54800,11.81600,11.44900,1.51300,1.51300,3.01000,3.01000,0.24460,4.77050,33.22020,33.22020,78.47900,13.19640,0.04460,29.29170,29.31790,3.47860,22.12190,48.46730,-19.6779,-19.8703
2023-09-30,17.12100,17.12100,15.21900,-5.86600,-4.10400,-2.38700,-6.49100,-0.75500,-5.73600,-5.73600,-0.42300,-3.80900,-4.10400,1.52200,5.53600,-0.28000,-0.28000,0.28840,6.15260,-23.97060,-23.97060,-37.91250,-2.47070,0.02140,-7.89060,-7.89950,-0.71610,-5.61250,39.93470,16.9302,17.0195
2023-06-30,22.57200,22.57200,10.00100,-5.42300,6.99900,-2.14100,4.85800,5.55000,-0.69200,-0.69200,-6.60100,7.29900,6.99900,1.52000,1.52000,-4.34000,-4.34000,0.26510,5.98540,31.00740,31.00740,21.52220,-29.24420,0.02640,-0.85130,-0.85220,-0.08080,-0.62550,44.65180,-18.4152,-18.5412
2023-03-31,8.82400,8.82400,10.53700,-5.62600,-7.48300,-1.98700,-9.47000,0.58400,-10.05400,-10.05400,-2.63700,-7.19000,-7.48300,1.49000,5.48700,-1.77000,-1.77000,0.26160,5.15270,-84.80280,-84.80280,-107.32090,-29.88440,0.01180,-12.21060,-12.22280,-1.34910,-9.01400,45.25550,-5.04990,-5.06740
2022-12-31,12.45000,12.45000,8.97000,-6.10800,-2.77100,-7.58000,-10.35100,1.26000,-11.61100,-11.61100,-3.00100,-2.48300,-2.77100,1.42000,1.42000,-2.03000,-1.80000,0.23590,5.12430,-22.25700,-22.25700,-83.14050,-24.10440,0.01400,-12.35230,-12.36300,-1.30890,-9.43600,53.00230,-19.5129,-19.5791
2022-09-30,23.46500,23.46500,15.22700,-5.25100,2.84800,-0.72800,2.12000,1.76100,0.35900,0.35900,-0.91900,3.12900,2.84800,1.42900,1.42900,-0.64000,-0.64000,0.21470,7.37030,12.13720,12.13720,9.03470,-3.91650,0.01900,0.33990,0.34020,0.02900,0.26690,61.52180,1.9262,1.6618
2022-06-30,9.15400,9.15400,12.21400,-4.95900,-8.16200,-4.15000,-12.31200,-0.06000,-12.25200,-12.25200,-1.85700,-7.88000,-8.16200,1.42800,5.39400,-1.30000,-1.53000,0.21320,17.15700,-89.16320,-89.16320,-134.49860,-20.28620,0.00400,-11.55780,-11.56680,-0.53950,-9.09100,61.75480,-9.2409,-9.1002
