Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.66720,1.52130,,-4.18850,1.45250,-2.73600,-2.73600,-2.73600,-2.73600,-4.18850,-4.18850,23.89500,23.89500,-0.11000,-0.11000,2.56030,-169.03490,-169.03510,-29.60120,-169.03510,0.06750,-0.1212,-0.1212
2024-06-30,2.05220,1.76300,,-3.81530,-5.06400,-8.87930,-8.87930,-8.87930,-8.87930,-3.81530,-3.81530,22.20300,22.20300,-0.40000,-0.40000,3.42250,-280.82190,-280.82140,-73.87330,-280.82140,0.13320,-0.1687,-0.1687
2024-03-31,2.32070,1.62810,,-3.94890,-4.11860,-8.06750,-8.06750,-8.06750,-8.06750,-3.94890,-3.94890,17.60100,17.60100,-0.46000,-0.46000,1.77270,139.94030,139.94030,-92.55880,139.94030,-0.28010,-0.20380,-0.20380
2023-12-31,3.71740,2.66050,,-6.37780,0.12120,-6.25670,-6.25670,-6.25670,-6.25670,-6.37780,-6.37780,13.26200,13.26200,-0.40000,-0.40000,1.53210,-1310.25600,-1310.26600,-82.68520,-1310.26600,0.02810,-0.3218,-0.3218
2023-09-30,2.59960,2.35610,,-4.95560,0.07990,-4.87570,-4.87570,-4.87570,-4.87570,-4.95560,-4.95560,13.67600,13.67600,-0.36000,-0.36000,1.59840,-177.44740,-177.44740,-69.64280,-177.44740,0.19970,-0.2043,-0.2043
2023-06-30,2.59930,2.06530,,-4.66460,0.14100,-4.52360,-4.52360,-4.52360,-4.52360,-4.66460,-4.66460,12.88500,12.88500,-0.35000,-0.35000,2.98710,-65.80450,-65.80460,-44.05230,-65.80450,0.50370,-0.1533,-0.1533
2023-03-31,2.19600,1.98830,,-4.18430,0.06740,-4.11690,-4.11690,-4.11690,-4.11690,-4.18430,-4.18430,10.97700,10.97700,-0.38000,-0.38000,2.21260,-80.98970,-80.98970,-45.36980,-80.98970,0.46230,-0.30620,-0.30620
2022-12-31,2.39340,1.80160,,-4.19500,0.04560,-4.14940,-4.14940,-4.14940,-4.14570,-4.19500,-4.19500,9.27700,9.27700,-0.37000,-0.37000,3.61220,-48.77150,-48.77150,-34.51480,-48.77150,0.77650,-0.4042,-0.4042
2022-09-30,2.34320,1.65310,-1.09940,-5.09560,0.19520,-4.90040,-4.90040,-4.90040,-4.90380,-5.09560,-5.09560,10.16600,10.16600,-0.48000,-0.48000,6.01710,-40.46330,-40.46330,-33.14950,-40.46330,1.10640,-0.3107,-0.3107
2022-06-30,2.11950,1.32260,,-3.44200,0.13640,-3.30570,-3.30570,-3.30570,-3.30590,-3.44200,-3.44200,8.19600,8.19600,-0.40000,-0.40000,2.77950,-49.61920,-49.61920,-33.87080,-49.61920,0.79160,-0.2268,-0.2268
2022-03-31,2.07730,1.36620,,-3.44360,0.02970,-3.41380,-3.41380,-3.41380,-3.86440,-3.44360,-3.44360,7.75200,7.75200,-0.50000,-0.50000,,,,,,,-0.36220,-0.36220
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0.4914,0.4914
2021-09-30,1.08170,1.15150,0.00000,-2.23320,-2.97030,-5.20360,-5.20360,-5.20360,-5.19640,-1.90620,-2.23320,5.11900,5.11900,-1.02000,-1.02000,,,,,,,-0.2159,-0.2159
2021-06-30,0.64400,0.85930,,-1.50330,-1.95710,-3.46040,-3.46040,-3.46040,-3.43070,-1.50330,-1.50330,4.37200,4.37200,-0.78000,-0.78000,,,,,,,-0.2755,-0.2755
