Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,5.33590,4.62200,0.71390,0.01030,0.32940,0.33970,0.37420,-0.01500,0.35920,0.15720,0.20200,0.20200,,0.20200,0.37550,0.37420,21.35600,21.35600,1.13560,0.92170,13.37990,7.01370,7.01370,6.73250,3.78590,0.19660,1.13460,3.46050,26.00750,6.12120,6.13790,0.74430,6.12120,0.11600,-0.1232,-0.1232
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0432,0.0432
2020-09-30,0.03130,0.01010,0.02110,0.01600,0.27410,0.29010,-0.26890,-0.00530,-0.27430,,-0.27430,-0.27430,-0.04570,-0.31990,-0.26580,-0.26890,21.82600,21.82600,,,67.61780,-860.26680,-860.26680,-877.29760,-1023.45400,,,,,,,,,,-0.0432,-0.0432
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
