Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,62.01700,27.79700,34.22000,27.19200,27.19200,7.02800,,7.02800,1.39900,5.62900,5.62900,5.57100,22.83260,22.83260,0.24000,0.24000,0.23270,20.39410,16.16610,0.00750,1.45520,1.45520,0.12200,1.45520,16.76600,0.4515,0.3691
2024-06-30,60.11600,26.49100,33.62500,27.70100,27.70100,5.92400,,5.92400,1.12100,4.80300,4.80300,4.75600,22.82650,22.82650,0.21000,0.21000,0.65310,17.75250,14.25230,0.00740,1.31800,1.31800,0.10600,1.31800,15.79380,-0.1096,-0.1888
2024-03-31,59.09400,25.63000,33.46400,26.23000,26.23000,7.23400,,7.23400,1.42300,5.81100,5.81100,5.75100,22.77030,22.77030,0.25000,0.25000,0.86470,21.59980,17.17180,0.00740,1.61840,1.61840,0.12760,1.61840,15.59730,0.77440,0.71710
2023-12-31,55.10800,24.44300,30.66500,31.45400,31.45400,-0.78900,,-1.88900,-0.00100,-1.88800,-1.88800,-1.89100,23.24050,23.24050,-0.07000,-0.07000,1.12000,-6.94920,-6.95660,0.00600,-0.53750,-0.53750,-0.04180,-0.53750,15.30070,0.3174,0.2435
2023-09-30,54.15600,21.49200,32.66400,28.25700,28.25700,4.40700,,4.40700,0.78000,3.62700,3.62700,3.59400,22.94620,22.94620,0.16000,0.16000,1.55510,13.90700,11.34150,0.00710,1.09700,1.09700,0.08150,1.09700,14.40240,0.4348,0.3413
2023-06-30,48.74400,17.00500,31.73900,25.98100,25.98100,5.75800,,5.75800,0.05400,5.70400,5.70400,5.65500,23.51380,23.51380,0.24000,0.24000,1.20570,18.39970,18.07060,0.00710,1.65700,1.65700,0.13010,1.65700,14.72860,0.3147,0.1415
2023-03-31,56.69000,11.17000,45.52000,25.07500,25.07500,20.44500,,20.44500,4.50400,15.94100,15.94100,15.82900,23.77050,23.77050,0.67000,0.67000,1.22610,46.44370,35.95780,0.01010,4.49190,4.49190,0.36520,4.49190,14.85100,0.94380,0.86280
2022-12-31,53.76000,6.69400,47.06600,27.40100,28.78600,18.28000,0.79800,19.07800,3.46900,15.60900,15.60900,15.51800,24.59580,24.59580,0.64000,0.64000,0.60380,40.85660,33.23270,0.01110,4.74980,4.74980,0.37120,4.74980,13.71740,0.9125,0.8455
2022-09-30,47.56200,4.60200,42.96000,24.30700,23.54300,19.41700,,19.41700,5.00900,14.40800,14.40800,14.31600,24.26510,24.26510,0.59000,0.59000,0.09530,45.28220,33.38620,0.01040,4.57660,4.57660,0.35020,4.57660,13.05700,0.8715,0.8021
2022-06-30,42.56500,4.50200,38.06300,24.87800,24.87800,13.18500,-0.61500,12.57000,1.79200,10.77800,10.77800,10.70900,24.49030,24.49030,0.44000,0.44000,,34.93610,29.76380,0.00870,3.22560,3.22560,0.26140,3.22560,13.59570,0.6098,0.5388
2022-03-31,38.01300,4.45600,33.55700,22.29000,22.29000,11.26700,-0.61500,10.65200,1.32900,9.32300,9.32300,9.28000,25.74060,25.74060,0.36000,0.36000,,32.12010,27.98300,0.00800,2.60020,2.60020,0.22610,2.60020,14.34970,0.48440,0.46890
2021-12-31,38.70900,4.88300,33.82600,26.61900,27.47300,6.35300,-0.54200,6.97500,1.36500,5.61000,5.61000,5.60200,26.34270,26.34270,0.20000,0.20000,0.01720,21.00210,16.86790,0.00800,1.37640,1.37640,0.13570,1.37640,15.42110,0.6654,0.5818
2021-09-30,41.82800,5.51200,36.31600,23.77800,24.20500,12.11100,-0.00700,12.10400,0.93100,11.17300,11.17300,11.12500,26.34850,26.34850,0.42000,0.42000,0.07390,32.90110,30.24000,0.00890,2.75290,2.75290,0.27030,2.75290,15.33840,1.3884,1.2732
