Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,,
2023-09-30,19.47970,12.84640,4.53830,-27.78780,-10.28040,-38.06820,-38.06820,-38.06820,-38.06820,-27.78780,-27.78780,18.79910,18.79910,-2.02500,-2.02500,5.82540,-0.08930,-0.10790,116.71200,111.07340,-29.10260,127.13820,-1.47450,1.8386,1.7477
2022-09-30,11.48000,11.54010,1.07890,-21.94120,-116.91550,-138.85670,-138.85670,-138.85670,-138.85670,-21.43150,-21.94120,17.84300,17.84300,-7.77300,-7.77300,8.00660,-0.04350,-0.05300,309.59840,281.66810,-69.08420,323.07080,-2.13180,-5.1884,-5.2053
2022-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.0,0.0
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.0,0.0
