Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2022-09-30,5.34800,5.34800,5.34800,5.34800,5.34800,1.40700,1.40700,5.34800,5.34800,7.40700,7.40700,0.19000,0.19000,100.00000,100.00000,100.00000,100.00000,26.30890
2022-06-30,5.03700,5.03700,5.03700,5.03700,5.03700,-0.84600,-0.84600,5.03700,5.03700,7.68700,7.68700,-0.11000,-0.11000,100.00000,100.00000,100.00000,100.00000,-16.79570
2022-03-31,4.67600,4.67600,4.67600,4.67600,4.67600,0.99100,0.99200,4.67600,4.67600,7.10500,7.10500,0.13000,0.13000,100.00000,100.00000,100.00000,100.00000,21.21470
2021-12-31,4.54700,4.54700,4.54700,4.54700,4.54700,2.22700,2.22700,4.54700,4.54700,7.00200,7.00200,0.32000,0.32000,100.00000,100.00000,100.00000,100.00000,48.97740
2021-09-30,4.43700,4.43700,4.43700,4.43700,4.43700,3.04900,3.04900,4.43700,4.43700,6.92900,6.92900,0.44000,0.44000,100.00000,100.00000,100.00000,100.00000,68.71760
2021-06-30,4.25400,4.25400,4.25400,4.25400,4.25400,3.71700,3.71700,4.25400,4.25400,6.63700,6.63700,0.56000,0.56000,100.00000,100.00000,100.00000,100.00000,87.37660
2021-03-31,4.12600,4.12600,4.12600,4.12600,4.12600,3.64100,3.64100,4.12600,4.12600,6.50200,6.50200,0.56000,0.56000,100.00000,100.00000,100.00000,100.00000,88.24530
2020-12-31,4.66900,4.66900,4.66900,4.66900,4.66900,6.48200,6.48200,4.66900,4.66900,6.62300,6.62300,0.98000,0.98000,100.00000,100.00000,100.00000,100.00000,138.83060
2020-09-30,4.28200,4.28200,4.28200,4.28200,4.28200,6.53800,6.53800,4.28200,4.28200,11.27100,11.27100,0.58000,0.58000,100.00000,100.00000,100.00000,100.00000,152.68570
2020-06-30,4.01800,4.01800,4.01800,4.01800,4.01800,10.83700,10.83700,4.01800,4.01800,6.56800,6.56800,1.65000,1.65000,100.00000,100.00000,100.00000,100.00000,269.71130
2020-03-31,3.68500,3.68500,3.68500,3.68500,3.68500,-16.07600,-16.07600,3.68500,3.68500,6.56200,6.56200,-2.45000,-2.45000,100.00000,100.00000,100.00000,100.00000,-436.25510
2019-12-31,4.11500,4.11500,4.11500,4.11500,4.11500,3.45400,3.45400,4.11500,4.11500,6.51000,6.51000,0.53000,0.53000,100.00000,100.00000,100.00000,100.00000,83.93680
2019-09-30,3.96100,3.96100,3.96100,3.96100,3.96100,2.19800,2.19800,3.96100,3.96100,6.65900,6.65900,0.33000,0.33000,100.00000,100.00000,100.00000,100.00000,55.49100
2019-06-30,4.04300,4.04300,4.04300,4.04300,4.04300,3.59200,3.59200,4.04300,4.04300,6.49200,6.49200,0.55000,0.55000,100.00000,100.00000,100.00000,100.00000,88.84490
2019-03-31,4.23600,4.23600,4.23600,4.23600,4.23600,3.80500,3.80500,4.23600,4.23600,6.53100,6.53100,0.58000,0.58000,100.00000,100.00000,100.00000,100.00000,89.82530
2018-12-31,4.71200,4.71200,4.71200,4.71200,4.71200,-0.60900,-0.60900,4.71200,4.71200,6.77000,6.77000,-0.09000,-0.09000,100.00000,100.00000,100.00000,100.00000,-12.92450
2018-09-30,4.40200,4.40200,4.40200,4.40200,4.40200,2.74200,2.74200,4.40200,4.40200,6.68800,6.68800,0.41000,0.41000,100.00000,100.00000,100.00000,100.00000,62.28990
2018-06-30,4.38100,4.38100,4.38100,4.38100,4.38100,5.26100,5.26100,4.38100,4.38100,6.49500,6.49500,0.81000,0.81000,100.00000,100.00000,100.00000,100.00000,120.08670
2018-03-31,4.23400,4.23400,4.23400,4.23400,4.23400,2.63900,2.63900,4.23400,4.23400,6.60700,6.60700,0.40000,0.40000,100.00000,100.00000,100.00000,100.00000,62.32880
2017-12-31,4.23800,4.23800,4.23800,4.23800,4.23800,2.45700,2.45700,4.23800,4.23800,6.49300,6.49300,0.38000,0.38000,100.00000,100.00000,100.00000,100.00000,57.97550
2017-09-30,4.36000,4.36000,4.36000,4.36000,4.36000,3.08500,3.08500,4.36000,4.36000,6.56300,6.56300,0.47000,0.47000,100.00000,100.00000,100.00000,100.00000,70.75690
2017-06-30,4.25700,4.25700,4.25700,4.25700,4.25700,3.42300,3.42300,4.25700,4.25700,6.58300,6.58300,0.52000,0.52000,100.00000,100.00000,100.00000,100.00000,80.40870
2017-03-31,4.51900,4.51900,4.51900,4.51900,4.51900,3.06500,3.06500,4.51900,4.51900,6.52200,6.52200,0.47000,0.47000,100.00000,100.00000,100.00000,100.00000,67.82470
2016-12-31,4.21300,4.21300,4.21300,4.21300,4.21300,2.02600,2.02600,4.21300,4.21300,6.52800,6.52800,0.30000,0.30000,100.00000,100.00000,100.00000,100.00000,48.08930
2016-09-30,4.24600,4.24600,4.24600,4.24600,4.24600,2.90400,2.90400,4.24600,4.24600,6.45400,6.45400,0.45000,0.45000,100.00000,100.00000,100.00000,100.00000,68.39380
2016-06-30,4.26000,4.26000,4.26000,4.26000,4.26000,3.20400,3.20400,4.26000,4.26000,6.53700,6.53700,0.49000,0.49000,100.00000,100.00000,100.00000,100.00000,75.21130
2016-03-31,4.31600,4.31600,4.31600,4.31600,4.31600,2.88400,2.88400,4.31600,4.31600,6.55400,6.55400,0.44000,0.44000,100.00000,100.00000,100.00000,100.00000,66.82110
2015-12-31,4.48300,4.48300,4.48300,4.48300,4.48300,-0.75900,-0.75900,4.48300,4.48300,6.54700,6.54700,-0.12000,-0.12000,100.00000,100.00000,100.00000,100.00000,-16.93060
2015-09-30,4.10500,4.10500,4.10500,4.10500,4.10500,2.42300,2.42300,4.10500,4.10500,6.47700,6.47700,0.37000,0.37000,100.00000,100.00000,100.00000,100.00000,59.02560
2015-06-30,3.95400,3.95400,3.95400,3.95400,3.95400,3.09000,3.09000,3.95400,3.95400,6.43800,6.43800,0.48000,0.48000,100.00000,100.00000,100.00000,100.00000,78.14870
2015-03-31,3.22300,3.22300,3.22300,3.22300,3.22300,3.53300,3.53300,3.22300,3.22300,6.54300,6.54300,0.54000,0.54000,100.00000,100.00000,100.00000,100.00000,109.61840
2014-12-31,2.95400,2.95400,2.95400,2.95400,2.95400,2.14500,2.14500,2.95400,2.95400,5.49600,5.49600,0.39000,0.39000,100.00000,100.00000,100.00000,100.00000,72.61340
2014-09-30,2.75400,2.75400,2.75400,2.75400,2.75400,1.24300,1.24300,2.75400,2.75400,4.60300,4.60300,0.27000,0.27000,100.00000,100.00000,100.00000,100.00000,45.13440
2014-06-30,2.20000,2.20000,2.20000,2.20000,2.20000,0.58600,0.58600,2.20000,2.20000,4.88600,4.88600,0.12000,0.12000,100.00000,100.00000,100.00000,100.00000,26.63640
2014-03-31,0.72100,0.72100,0.72100,0.72100,0.72100,0.55900,0.55900,0.72100,0.72100,4.66000,4.66000,0.12000,0.12000,100.00000,100.00000,100.00000,100.00000,77.53120
