Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.06010,1.40890,1.65120,0.11110,-0.59100,0.70210,0.94910,0.14720,1.09630,0.23080,0.86550,0.86550,0.86550,0.97080,0.94910,4.59400,4.59400,0.19000,0.19000,6.65760,,53.96030,31.01610,31.01610,35.82500,28.28280,0.23090,1.18250,2.04800,43.94450,7.60590,7.60590,6.52980,7.60590,2.47700,0.2675,0.2608
2024-06-30,3.39020,1.56110,1.82910,0.11170,-0.60280,0.71440,1.11470,0.09050,1.20520,0.24900,0.95620,0.95620,0.95620,1.13880,1.11470,4.59400,4.59400,0.21000,0.21000,7.67220,,53.95290,32.87940,32.87940,35.54900,28.20550,0.24510,1.33190,2.02160,44.51830,7.88860,7.88860,6.91180,7.88860,2.63860,0.2882,0.274
2024-03-31,3.25490,1.55650,1.69850,0.10300,-0.56890,0.67180,1.02660,0.13960,1.16620,0.24070,0.92540,0.92540,0.92540,1.05030,1.02660,4.59400,4.59400,0.20000,0.20000,6.67440,,52.18080,31.53990,31.53990,35.82780,28.43190,0.24950,1.21730,1.52590,58.98160,8.28840,8.28840,7.09290,8.28840,2.43040,0.14020,0.13540
2023-12-31,2.60700,1.20750,1.39950,0.11020,-0.49810,0.60820,0.79130,0.13970,0.93090,0.19350,0.73740,0.73740,0.73740,0.82260,0.79130,4.59400,4.59400,0.16000,0.16000,7.98610,,53.68170,30.35140,30.35140,35.70850,28.28680,0.20170,0.98690,1.66390,54.09080,6.47520,6.47520,5.70650,6.47520,2.47900,0.2455,0.2251
2023-09-30,3.05750,1.74900,1.30850,0.09810,-0.48850,0.58660,0.72190,0.06530,0.78720,0.16040,0.62680,0.62680,0.62680,0.74730,0.72190,4.59400,4.59400,0.14000,0.14000,7.88230,,42.79540,23.60970,23.60970,25.74630,20.49890,0.25120,0.19270,1.68340,53.46220,5.88440,5.88440,5.14880,5.88440,2.31850,0.2535,0.2387
2023-06-30,2.65030,1.42940,1.22090,0.12870,-0.57410,0.70280,0.51810,0.06240,0.58050,0.11940,0.46110,0.46110,0.46110,0.54250,0.51810,4.59400,4.59400,0.10000,0.10000,8.39420,,46.06620,19.54760,19.54760,21.90320,17.39780,0.22310,0.80350,1.72070,52.30350,4.39810,4.39810,3.88210,4.39810,2.28210,0.0946,0.0965
2023-03-31,2.57030,1.09360,1.47670,0.12700,-0.51790,0.64490,0.83180,0.12030,0.95220,0.19610,0.75610,0.75610,0.75610,0.85630,0.83180,4.59400,4.59400,0.16000,0.16000,5.86250,,57.45300,32.36260,32.36260,37.04420,29.41580,0.21530,0.44270,1.73590,51.84550,7.54370,7.54370,6.33220,7.54370,2.18170,0.09090,0.09030
2022-12-31,2.76290,1.51650,1.24650,0.12590,-0.47480,0.60070,0.64570,0.19850,0.84430,0.16500,0.67920,0.67920,0.67920,0.67830,0.64570,4.59400,4.59400,0.15000,0.15000,7.25830,,45.11400,23.37160,23.37160,30.55630,24.58260,0.25970,0.90700,1.93540,46.50180,7.32960,7.32960,6.38330,7.32960,2.01710,0.136,0.1408
2022-09-30,2.41700,1.07600,1.34100,0.12090,-0.53230,0.65330,0.68770,-0.25350,0.43420,0.08870,0.34550,0.34550,0.34550,0.72210,0.68770,4.59400,4.59400,0.07000,0.07000,6.53400,,55.48100,28.45360,28.45360,17.96420,14.29520,0.20700,0.46890,2.14460,41.96520,3.45120,3.45120,2.95920,3.45120,2.17930,0.1602,0.1498
2022-06-30,3.62620,1.69380,1.93240,0.11230,-0.62020,0.73240,1.19990,-0.40140,0.79850,0.16520,0.63330,0.63330,0.63330,1.23420,1.19990,4.59400,4.59400,0.14000,0.14000,5.58580,,53.29100,33.09070,33.09070,22.02070,17.46530,0.31040,0.98010,1.72140,52.28330,6.55200,6.55200,5.42160,6.55200,2.10410,0.2475,0.2459
2022-03-31,3.89240,1.71010,2.18220,0.13170,-0.54670,0.67840,1.50380,-0.35310,1.15070,0.23930,0.91150,0.91150,0.91150,1.53810,1.50380,4.59400,4.59400,0.20000,0.20000,6.12370,,56.06480,38.63530,38.63530,29.56350,23.41680,0.30080,1.14190,1.52590,58.98070,8.49240,8.49240,7.04320,8.49240,2.33630,0.00600,0.00490
2021-12-31,3.66100,1.56700,2.09400,0.12960,-0.60720,0.73690,1.35720,0.04630,1.40350,0.28710,1.11630,1.11630,1.11630,1.39620,1.35720,4.59400,4.59400,0.24000,0.24000,4.95490,,57.19740,37.07090,37.07090,38.33480,30.49160,0.29900,1.11070,2.01890,44.57780,11.36630,11.36630,9.11850,11.36630,2.13780,0.3624,0.3548
