Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,167.74800,115.18800,52.56000,31.26900,34.16900,18.39100,-2.36100,16.03000,4.59300,11.43700,11.43700,11.41200,25.13800,18.39100,6.76000,6.84300,1.68000,1.67000,1.06440,,0.29340,31.33270,10.96350,10.96350,9.55600,6.80310,0.28810,0.72040,124.93110,5.59230,11.17580,1.96400,5.59230,30.24450,4.5274,4.0867
2024-06-30,171.44200,125.32700,46.11500,32.01600,34.82700,11.28800,-1.67400,9.61400,3.07600,6.53800,6.53800,6.51600,17.99600,11.28800,6.83400,6.91100,0.96000,0.94000,1.07330,,0.45370,26.89830,6.58420,6.58420,5.60770,3.80070,0.31400,0.79160,113.69030,3.40970,7.27150,1.19740,3.40970,28.39460,0.1313,-0.2054
2024-03-31,171.78900,118.88000,52.90900,30.49900,33.29100,19.61800,-0.60600,19.01200,5.32100,13.69100,13.69100,13.69100,25.97500,19.61800,6.92600,7.01100,1.97000,1.95000,1.16330,,0.33050,30.79880,11.41980,11.41980,11.06710,7.96970,0.31090,0.82070,109.65880,6.46440,12.32470,2.47780,6.46440,30.74320,-8.99730,-9.10140
2023-12-31,161.61300,112.68700,48.92610,28.97900,31.78100,17.14500,-1.58600,15.55900,4.10000,11.45900,11.45900,11.52200,23.61800,17.14500,7.00800,7.11800,1.65000,1.61000,1.12450,,,30.27360,10.60870,10.60870,9.62730,7.12940,0.29210,0.80990,111.12990,5.40260,10.33120,2.07140,5.40260,30.58860,8.4432,8.3944
2023-09-30,147.55300,105.89400,41.65900,27.91900,30.86600,10.79300,-0.27000,10.52300,1.92700,8.59600,8.59600,8.56700,17.14900,10.79300,6.97700,7.08300,1.22000,1.21000,1.10900,,0.15390,28.23330,7.31470,7.31470,7.13170,5.80610,0.27370,0.76330,117.91620,4.13350,8.03740,1.59470,4.13350,29.79770,9.174,9.0716
2023-06-30,161.96500,113.33300,48.63200,29.84600,32.71800,15.91400,-2.30200,13.61200,4.10400,9.50800,9.50800,9.47400,22.40900,15.91400,6.98300,7.08000,1.36000,1.34000,1.06580,,0.39450,30.02620,9.82560,9.82560,8.40430,5.84940,0.29390,0.76010,118.41170,4.68870,9.41380,1.72540,4.68870,29.09830,0.4817,0.3781
2023-03-31,152.84500,107.83700,45.00800,28.37200,31.31500,13.69300,-1.09900,12.59400,3.67600,8.91800,8.91800,8.91800,20.20600,13.69300,7.11900,7.25200,1.25000,1.23000,1.01780,,0.50820,29.44680,8.95880,8.95880,8.23970,5.83470,0.27190,0.77500,116.13060,4.53190,9.38980,1.58670,4.53190,28.12000,-9.65950,-9.73700
2022-12-31,144.97600,100.67800,44.29800,28.06100,30.99700,13.30100,-2.16000,11.14100,2.46800,8.67300,8.67300,8.71500,19.73200,13.30100,7.21800,7.35500,1.21000,1.19000,1.14620,,,30.55540,9.17460,9.17460,7.68470,6.01130,0.26320,0.74350,121.04640,4.10740,7.91010,1.57430,4.10740,29.53200,8.2478,8.1433
2022-09-30,148.44100,102.26700,46.17400,28.24600,31.28000,14.89400,1.00000,15.89400,4.01700,11.87700,11.87700,11.83500,21.36300,14.89400,7.11900,7.24600,1.66000,1.63000,1.11410,,0.22420,31.10600,10.03360,10.03360,10.70730,7.97290,0.26780,0.71080,126.62610,5.91850,11.40150,2.14280,5.91850,28.22830,5.8468,5.713
2022-06-30,149.10200,103.07600,46.02600,27.96300,31.01300,15.01300,1.23200,16.24500,4.60200,11.64300,11.64300,11.64300,21.51000,15.01300,7.26300,7.38000,1.60000,1.57000,1.08400,,0.35360,30.86880,10.06900,10.06900,10.89520,7.80870,0.27260,0.74660,120.55070,5.88070,11.61440,2.12840,5.88070,27.76410,-2.4373,-2.538
2022-03-31,148.38200,104.06000,44.32200,25.81700,28.79300,15.52900,-0.00900,15.52000,4.09400,11.42600,11.42600,11.42600,21.88300,15.52900,7.36000,7.50300,1.55000,1.52000,1.15890,,0.28680,29.87020,10.46560,10.46560,10.45950,7.70040,0.26940,0.85450,105.32670,5.46110,10.37030,2.07430,5.46110,28.50480,-8.24180,-8.42120
2021-12-31,134.76600,93.65800,41.10800,25.63300,28.74400,12.36400,-0.42000,11.94400,3.27700,8.66700,8.66700,8.66700,18.77500,12.36400,7.42300,7.62100,1.17000,1.14000,1.17020,,,30.50320,9.17440,9.17440,8.86280,6.43110,0.24270,0.83160,108.22560,4.21070,7.68920,1.56060,4.21070,27.95520,8.0938,7.9784
2021-09-30,136.41200,95.98000,40.43200,24.49000,27.63100,12.80100,0.05200,12.85300,1.90800,10.94500,10.94500,10.94500,19.21600,12.80100,7.37500,7.56000,1.48000,1.44000,1.17480,,0.02940,29.63960,9.38410,9.38410,9.42220,8.02350,0.25740,0.78470,114.68980,5.35770,9.86760,2.06550,5.35770,27.62100,6.6437,6.5701
2021-06-30,148.23700,105.04200,43.19500,24.04300,27.25800,15.93700,-0.34600,15.59100,4.02500,11.56600,11.56600,11.56600,22.39000,15.93700,7.32000,7.53900,1.57000,1.53000,1.08810,,0.22750,29.13920,10.75100,10.75100,10.51760,7.80240,0.27710,0.85250,105.57730,5.84640,11.12460,2.16200,5.84640,26.95610,0.2838,0.217
2021-03-31,146.51800,105.37400,41.14400,23.20600,26.50700,14.63700,-0.75000,13.88700,3.38600,10.50100,10.50100,10.50100,21.13700,14.63700,7.62600,7.83100,1.37000,1.34000,1.14960,,0.18930,28.08120,9.98990,9.98990,9.47800,7.16700,0.27010,0.94120,95.62480,4.96910,8.95910,1.93560,4.96910,27.70430,-5.08850,-5.17690
2020-12-31,137.42200,101.24000,36.18200,22.29300,25.84000,10.34200,-1.26600,9.07600,2.37100,6.70500,6.70500,6.68200,17.02600,10.34200,7.76800,7.94800,0.86000,0.84000,1.09910,,,26.32910,7.52570,7.52570,6.60450,4.86240,0.24610,0.90130,99.85910,3.20780,5.84450,1.20050,3.20780,27.17000,8.2202,8.0536
