Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,17.52820,6.84000,10.68820,0.09270,-2.79800,2.89070,7.79750,-0.79580,7.00170,7.00170,7.00170,1.51800,7.79750,7.79750,33.00000,33.00000,0.04600,0.04600,60.97720,44.48540,44.48540,39.94530,8.66030,0.38600,15.41940,15.41940,15.41940,1.37600
2024-06-30,18.44550,9.68100,8.76450,0.41700,-13.79300,14.21000,-5.44540,0.56340,-4.88210,-4.88210,-4.88210,0.00000,-5.44540,-5.44540,33.00000,33.00000,0.00000,0.00000,47.51570,-29.52180,-29.52180,-26.46750,,0.38160,-10.21150,-10.10010,-10.21150,1.44880
2024-03-31,11.39370,7.51000,3.88370,0.19110,-3.67200,3.86310,0.02060,0.19110,0.21170,0.21170,0.21170,0.00000,0.02060,0.02060,33.00000,33.00000,0.00000,0.00000,34.08650,0.18070,0.18070,1.85810,,0.22660,0.42370,0.42100,0.42370,1.51430
2023-12-31,5.69090,4.61200,1.07890,0.12690,-0.71400,0.84090,0.23800,-0.10210,0.13590,0.13590,0.13590,5.16850,0.23800,0.23800,33.00000,33.00000,0.16220,0.16220,18.95800,4.18140,4.18150,2.38800,90.82010,0.11020,0.26320,0.26320,0.26320,1.56450
2023-09-30,13.99030,7.72600,6.26430,0.30030,-2.76200,3.06230,3.20210,0.23070,3.43270,3.43270,3.43270,2.47500,3.20210,3.20210,33.00000,33.00000,0.07500,0.07500,44.77610,22.88770,22.88770,24.53630,17.69080,0.24500,6.01200,6.01200,6.01200,1.73020
2023-06-30,11.33130,6.27800,5.05330,0.11340,-2.10700,2.22040,2.83290,-0.26960,2.56330,2.56330,2.56330,2.07410,2.83290,2.83290,33.00000,33.00000,0.06290,0.06290,44.59600,25.00050,25.00050,22.62150,18.30370,0.19330,4.37380,4.37380,4.37380,1.77590
2023-03-31,14.19600,6.48300,7.71300,0.37850,-2.84200,3.22050,4.49250,-0.02270,4.46980,4.46980,4.46980,4.39560,4.49250,4.49250,33.00000,33.00000,0.13000,0.13000,54.33220,31.64600,31.64600,31.48640,30.96360,0.23880,7.51970,7.51970,7.51970,1.80130
2022-12-31,17.75660,7.44100,10.31560,0.19560,-3.17400,3.36950,6.94610,-0.06670,6.87940,6.87940,6.87940,4.91700,6.94610,6.94610,33.00000,33.00000,0.15050,0.15050,58.09440,39.11820,39.11820,38.74270,27.69110,0.29320,11.35880,11.35880,11.35880,1.83530
2022-09-30,17.11790,6.20600,10.91190,0.23910,-7.18900,7.42810,3.48370,-0.18620,3.29760,3.29760,3.29760,3.00300,3.48370,3.48370,33.00000,33.00000,0.09100,0.09100,63.74550,20.35140,20.35140,19.26390,17.54310,0.27810,5.35650,5.35650,5.35650,1.86550
2022-06-30,14.18040,6.68600,7.49440,0.18440,-2.22600,2.41040,5.08390,-0.25680,4.82720,4.82720,4.82720,2.62350,5.08390,5.08390,33.00000,33.00000,0.07950,0.07950,52.85030,35.85210,35.85210,34.04130,18.50100,0.22560,7.68100,7.68100,7.68100,1.90440
2022-03-31,13.09450,6.33100,6.76350,0.20970,-2.83000,3.03970,3.72380,-0.20810,3.51560,3.51560,3.51560,2.93700,3.72380,3.72380,33.00000,33.00000,0.08900,0.08900,51.65150,28.43760,28.43760,26.84830,22.42930,0.20450,5.49060,5.49060,5.49060,1.94030
2021-12-31,19.29550,14.93100,4.36450,0.19960,-2.97000,3.16960,1.19490,0.09190,1.28680,1.28680,1.28680,2.68950,1.19490,1.19490,33.00000,33.00000,0.08150,0.08150,22.61930,6.19250,6.19250,6.66890,13.93850,0.29600,1.97380,1.97380,1.97380,1.97550
2021-09-30,9.42370,5.40300,4.02070,0.17880,-1.66200,1.84080,2.17990,-0.79170,1.38830,1.38830,1.38830,0.42900,2.17990,2.17990,33.00000,33.00000,0.01300,0.01300,42.66600,23.13250,23.13250,14.73160,4.55230,0.14170,2.08760,2.08760,2.08760,2.01520
2021-06-30,8.38960,6.10500,2.28460,0.18390,-1.32600,1.50990,0.77470,0.18390,0.95860,0.95860,0.95860,0.00000,0.77470,0.77470,33.00000,33.00000,,0.00000,27.23160,9.23400,9.23400,11.42640,,0.12330,1.42560,1.40890,1.42560,2.03770
2021-03-31,6.35840,4.84200,1.51640,0.28750,-0.94300,1.23050,0.28600,0.28750,0.57340,0.57340,0.57340,0.00000,0.28600,0.28600,33.00000,33.00000,0.00000,0.00000,23.84930,4.49770,4.49770,9.01870,,0.09120,0.82990,0.82260,0.82990,2.09390
2020-12-31,,0.00000,0.00000,0.22370,0.00000,0.22370,-0.22370,0.22370,0.00000,0.00000,0.00000,0.00000,-0.22370,-0.22370,33.00000,33.00000,-0.00240,-0.00240,,,,,,,0.00000,0.00000,0.00000,2.14990
2020-09-30,2.26500,1.85700,0.40800,0.12390,-0.19200,0.31590,0.09210,0.07650,0.16860,0.16860,0.16860,0.12540,0.09210,0.09210,33.00000,33.00000,0.00400,0.00400,18.01410,4.06780,4.06780,7.44390,5.53640,0.03100,0.23090,0.23040,0.23090,2.21240
2020-06-30,11.18320,6.09700,5.08620,0.21340,-1.20700,1.42040,3.66590,-0.07510,3.59070,3.59070,3.59070,2.81490,3.66590,3.66590,33.00000,33.00000,0.08530,0.08530,45.48070,32.78000,32.78000,32.10830,25.17080,0.15040,4.82980,4.82860,4.82980,2.25290
2020-03-31,9.92500,5.89500,4.03000,0.35590,-1.16900,1.52490,2.50510,0.15040,2.65550,2.65550,2.65550,2.08330,2.50510,2.50510,33.00000,33.00000,0.06310,0.06310,40.60480,25.24010,25.24010,26.75550,20.99030,0.13090,3.50680,3.50210,3.50680,2.29470
2019-12-31,10.42810,7.00800,3.42010,0.17260,-0.79900,0.97150,2.44850,0.58220,3.03070,3.03070,3.03070,2.40900,2.44850,2.44850,33.00000,33.00000,0.07830,0.07830,32.79680,23.48000,23.48000,29.06330,23.10120,0.13500,3.92470,3.92290,3.92470,2.34010
2019-09-30,11.99300,6.63350,5.35950,0.20220,-1.66540,1.86770,3.49180,0.00680,3.49870,3.49870,3.49870,2.75990,3.49180,3.49180,33.00000,33.00000,0.08000,0.08000,44.68820,29.11550,29.11550,29.17250,23.01220,0.15090,4.41170,4.40280,4.41170,2.40310
2019-06-30,12.69830,5.78700,6.91130,0.17730,-2.94330,3.12060,3.79070,0.21020,4.00090,4.00090,4.00090,3.30480,3.79070,3.79070,33.00000,33.00000,0.10000,0.10000,54.42680,29.85210,29.85210,31.50720,26.02550,0.15710,4.95260,4.94830,4.95260,2.44800
2019-03-31,9.83840,6.28700,3.55140,0.37590,-1.98200,2.35790,1.19350,0.16600,1.35950,1.35950,1.35950,1.04560,1.19350,1.19350,33.00000,33.00000,0.03170,0.03170,36.09720,12.13060,12.13060,13.81810,10.62780,0.11920,1.64680,1.64680,1.64680,2.50160
2018-12-31,12.04680,6.98200,5.06480,0.34840,-1.27900,1.62740,3.43730,-0.03360,3.40380,3.40380,3.40380,2.75860,3.43730,3.43730,33.00000,33.00000,0.07860,0.07860,42.04250,28.53320,28.53330,28.25470,22.89940,0.14330,4.04810,4.04810,4.04810,2.54800
2018-09-30,13.96380,6.65200,7.31180,0.17300,-1.01200,1.18500,6.12680,0.02300,6.14980,6.14980,6.14980,4.78990,6.12680,6.12680,33.00000,33.00000,0.14510,0.14510,52.36260,43.87630,43.87630,44.04100,34.30190,0.16340,7.19510,7.19510,7.19510,2.59010
2018-06-30,13.60480,7.31500,6.28980,0.25530,-0.50800,0.76330,5.52650,0.10520,5.63170,5.63170,5.63170,4.43300,5.52650,5.52650,33.00000,33.00000,0.13430,0.13430,46.23200,40.62160,40.62160,41.39520,32.58410,0.15580,6.45130,6.45130,6.45130,2.64530
2018-03-31,18.63430,11.84600,6.78830,0.35620,-3.59900,3.95520,2.83310,0.20620,3.03940,3.03940,3.03940,2.37330,2.83310,2.83310,33.00000,33.00000,0.07190,0.07190,36.42920,15.20370,15.20370,16.31050,12.73600,0.20390,3.32620,3.32620,3.32620,2.76890
2017-12-31,3.36080,2.30000,1.06080,0.14420,-0.84800,0.99220,0.06860,38.04440,38.11300,38.11300,38.11300,38.07040,0.06860,0.06860,33.00000,33.00000,1.15780,1.15780,31.56440,2.04190,2.04190,1134.03700,1132.77000,0.03570,40.50270,40.50270,40.50270,2.85150
2017-09-30,11.11800,6.89200,4.22600,0.13870,-2.28900,2.42770,1.79830,-0.23630,1.56200,1.56200,1.56200,1.17460,1.79830,1.79830,33.00000,33.00000,0.03560,0.03560,38.01050,16.17490,16.17490,14.04930,10.56490,0.11510,1.61710,1.61710,1.61710,2.92710
2017-06-30,12.58950,6.18900,6.40050,0.16680,-1.96800,2.13480,4.26580,-0.10820,4.15750,4.15750,4.15750,3.27100,4.26580,4.26580,33.00000,33.00000,0.09910,0.09910,50.84010,33.88340,33.88340,33.02370,25.98210,0.12590,4.15900,4.15900,4.15900,3.02930
2017-03-31,10.51860,6.90600,3.61260,0.23330,-0.76500,0.99830,2.61430,0.08320,2.69750,2.69750,2.69750,2.22800,2.61430,2.61430,33.00000,33.00000,0.06750,0.06750,34.34480,24.85420,24.85420,25.64550,21.18180,0.10160,2.60530,2.60530,2.60530,3.13760
2016-12-31,10.32460,5.84000,4.48460,0.14430,-0.67900,0.82330,3.66140,-0.00580,3.65560,3.65560,3.65560,3.19450,3.66140,3.66140,33.00000,33.00000,0.09960,0.09960,43.43630,35.46260,35.46260,35.40680,30.94060,0.09620,3.40610,3.40610,3.40610,3.25230
2016-09-30,9.21260,6.26200,2.95060,0.14490,-1.02200,1.16690,1.78370,0.09490,1.87860,1.87860,1.87860,1.94290,1.78370,1.78370,33.00000,33.00000,0.05890,0.05890,32.02800,19.36160,19.36160,20.39190,21.08970,0.08290,1.68980,1.68980,1.68980,3.36890
2016-06-30,8.11420,6.53500,1.57920,0.17350,-0.56800,0.74150,0.83780,0.06340,0.90120,0.90120,0.90120,0.59900,0.83780,0.83780,33.00000,33.00000,0.01820,0.01820,19.46250,10.32460,10.32460,11.10640,7.38150,0.07090,0.78740,0.78740,0.78740,3.46830
