Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,46.55200,2.18200,44.37000,9.48400,26.16500,0.00000,39.16600,5.20400,0.13500,5.33900,0.02100,5.31800,5.31800,3.33200,9.62000,5.20400,97.16680,97.81130,0.03000,0.03000,2.13660,95.31280,11.17890,11.17890,11.46890,7.15760,0.26820,5.88740,15.28680,4.62480,11.94230,3.06390,4.62480,0.75220,0.0727,0.0489
2024-06-30,45.90300,2.24500,43.65800,9.64200,29.59800,,42.42700,1.23100,0.00500,1.23600,0.04200,1.19400,1.19400,0.71600,5.61500,1.23100,95.34260,97.27570,0.01000,0.01000,1.77490,95.10930,2.68170,2.68170,2.69260,1.55980,0.27330,6.55760,13.72460,1.09350,3.09420,0.71090,1.09350,0.71630,0.1291,0.103
2024-03-31,44.38900,2.30200,42.08700,9.22900,26.16000,,38.32600,3.76100,-1.79300,1.96800,0.00900,1.95900,1.95900,1.24000,7.88600,3.76100,94.70420,96.02340,0.01000,0.01000,1.67560,94.81400,8.47280,8.47280,4.43350,2.79350,0.26760,5.62380,16.00330,1.83380,5.42790,1.18120,1.83380,0.70960,0.07710,0.02980
2023-12-31,46.46700,2.77900,43.68800,8.11900,29.37600,-16.02100,56.23200,-12.54400,1.40800,-11.13600,,-11.22900,-11.22900,-7.11100,-8.56400,-12.54400,93.24490,93.24490,-0.07000,-0.07000,1.52710,94.01940,-26.99550,-26.99550,-23.96540,-15.30330,0.27820,4.16450,21.61150,-10.88600,-34.79060,-6.72310,-10.88600,0.68830,0.1134,0.0808
2023-09-30,46.68700,3.01500,43.67200,7.74800,29.69500,-8.38200,49.22000,-5.54800,3.03600,-2.51200,0.00000,-2.51200,-2.51200,-1.53800,-0.91000,-5.54800,93.65190,93.65190,-0.02000,-0.02000,1.50960,93.54210,-11.88340,-11.88340,-5.38050,-3.29430,0.26130,3.79140,23.73810,-2.18850,-5.73940,-1.40580,-2.18850,0.76850,0.0888,0.0561
2023-06-30,48.42300,3.23900,45.18400,9.20000,29.34600,,41.40100,3.78300,-1.80000,1.98300,,1.98300,1.98300,1.22600,7.85900,3.78300,92.85140,93.62260,0.01000,0.01000,1.44990,93.31100,7.81240,7.81240,4.09520,2.53190,0.25660,3.23450,27.82540,1.64600,4.62640,1.05060,1.64600,0.80910,0.0203,-0.0067
2023-03-31,46.41600,3.49400,42.92200,10.93400,32.96900,,47.07000,-4.14800,0.17900,-3.96900,,-3.96900,-3.96900,-2.47500,0.22100,-4.14800,92.32380,92.32380,-0.03000,-0.03000,1.21310,92.47240,-8.93660,-8.93660,-8.55090,-5.33220,0.24350,3.01380,29.86230,-3.44410,-10.70190,-2.08210,-3.44410,0.77830,0.02340,-0.01160
2022-12-31,49.28500,3.53700,45.74800,12.17900,49.36900,,68.44700,-22.69900,146.67300,123.97400,184.77600,-60.80200,-60.80200,-108.62400,-15.46200,-22.69900,85.02710,85.02710,-1.25000,-1.24000,1.18690,92.82330,-46.05660,-46.05660,251.54500,-220.39970,0.24760,2.82630,31.84380,-52.97400,-168.56660,-30.54840,-52.97400,0.77790,-0.0198,-0.062
2022-09-30,50.50000,4.27200,46.22800,11.98800,51.37200,,65.87300,-19.64500,6.54000,-13.10500,-2.64100,-10.46400,-10.46400,-5.16400,-17.13200,-19.64500,89.55290,89.55290,-0.06000,-0.06000,1.67260,91.54060,-38.90100,-38.90100,-25.95050,-10.22570,0.12820,3.03450,29.65900,-6.19040,-11.46310,-2.65630,-6.19040,1.15430,-0.0732,-0.1217
2022-06-30,58.29400,3.85800,54.43600,13.26300,51.73300,,67.45400,-13.01800,31.55600,18.53800,-1.31000,19.84800,19.84800,11.69200,-10.56000,-13.01800,86.42540,87.23090,0.14000,0.13000,2.01430,93.38180,-22.33160,-22.33160,31.80090,20.05700,0.13960,2.13490,42.15610,11.15530,19.94590,4.75160,11.15530,1.22450,0.0094,-0.0307
