Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.15700,2.15700,2.69300,,-0.55900,0.99500,0.43600,0.12100,0.31500,0.31500,,0.31500,-0.59600,-0.55800,13.71450,13.71450,0.02000,0.02000,20.96140,,0.00070,100.00000,-25.91560,-25.86930,20.21330,14.60360,0.04220,1.24470,72.30880,0.65130,0.65130,0.61660,0.65130,3.54840,0.00120,0.00120
2024-06-30,2.44000,2.44000,2.80600,,-0.39900,0.85000,0.45100,0.13600,0.31500,0.31500,,0.31500,-0.43400,-0.39800,14.18230,14.18240,0.01000,0.01000,18.63080,0.00020,0.00080,100.00000,-16.35240,-16.31150,18.48360,12.90980,0.04700,1.37390,65.50820,0.64280,0.64280,0.60620,0.64270,3.54550,0.0092,0.0069
2024-03-31,2.59300,2.59300,3.03900,,-0.48800,0.52800,0.04000,0.07500,-0.03500,-0.03500,,-0.03500,-0.52500,-0.48700,14.07700,14.07700,0.00000,0.00000,17.48910,0.00030,0.00090,100.00000,-18.81990,-18.78130,1.54260,-1.34980,0.04910,1.46000,61.64290,-0.07020,-0.07020,-0.06630,-0.07020,3.56620,-0.0031,-0.008
2023-12-31,2.81800,2.81800,2.56400,,0.19200,1.47300,1.66500,0.43600,1.22900,1.22900,,1.22900,0.16500,0.19200,14.29100,14.29100,0.09000,0.09000,18.77750,0.00050,0.00110,100.00000,6.81330,6.81330,59.08450,43.61250,0.05250,1.75250,51.35560,2.41500,2.41500,2.29150,2.41390,3.58810,0.0026,-0.0011
2023-09-30,3.13300,3.13300,2.85600,,0.21500,-0.45600,-0.24100,-0.06500,-0.17600,-0.17600,,-0.17600,0.17800,0.21600,14.46550,14.46570,-0.01000,-0.01000,14.32430,0.00060,0.00120,100.00000,6.86240,6.89430,-7.69230,-5.61760,0.05790,2.04770,43.95150,-0.34710,-0.34710,-0.32540,-0.34690,3.52760,0.06110,0.05700
2023-06-30,3.31000,3.31000,2.94700,,0.30200,0.56300,0.86500,0.23600,0.62900,0.62900,,0.62900,0.25500,0.30300,14.63880,14.63910,0.05000,0.05000,13.73730,0.00070,0.00130,100.00000,9.12390,9.15410,26.13290,19.00300,0.05950,1.81770,49.51360,1.20910,1.20910,1.12980,1.20820,3.57160,0.0205,0.0205
2023-03-31,3.62400,3.62400,2.83200,,0.73000,1.21600,1.94600,0.32600,1.62000,1.62000,,1.62000,0.67700,0.73100,14.74750,14.74760,0.11000,0.11000,14.26930,0.00080,0.00140,100.00000,20.14350,20.17110,53.69760,44.70200,0.06500,2.54140,35.41390,3.06120,3.06120,2.90610,3.05860,3.61190,0.1025,0.1025
2022-12-31,3.72800,3.72800,2.75800,,0.90800,0.17800,1.08600,0.23900,0.84700,0.84700,,0.84700,0.84200,0.90900,14.89000,14.89000,0.06000,0.06000,15.40970,0.00100,0.00150,100.00000,24.35620,24.38310,29.13090,22.72000,0.06780,2.15240,41.81330,1.61700,1.61700,1.54140,1.61540,3.52990,-0.0028,-0.0029
2022-09-30,4.41200,4.41200,2.76500,,1.58500,-1.39900,0.18600,0.13300,0.05300,0.05300,,0.05300,1.50900,1.58600,14.94870,14.94930,0.00000,0.00000,10.62940,0.00110,0.00160,100.00000,35.92480,35.94740,4.21580,1.20130,0.07740,2.63880,34.10700,0.09940,0.09940,0.09300,0.09930,3.57400,0.07860,0.07770
2022-06-30,5.44400,5.44400,2.59300,,2.79000,-4.16300,-1.37300,0.32100,-1.69400,-1.69400,,-1.69400,2.70400,2.79000,15.01010,15.01110,-0.11000,-0.11000,9.20430,0.00120,0.00170,100.00000,51.24910,51.24910,-25.22040,-31.11680,0.09330,2.49720,36.03970,-3.14960,-3.14960,-2.90260,-3.14570,3.59590,0.0924,0.092
