Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.6297,0.6421
2023-03-31,17.83240,12.87630,4.95600,5.22710,1.11300,6.36940,-1.41330,0.15350,-1.25970,0.00520,-1.26500,-1.26500,-1.25880,-1.30610,-1.41330,4.38570,4.38570,-0.30000,-0.30000,6.97840,,27.79230,-7.92540,-7.92540,-7.06440,-7.05930,0.23580,,10.44710,8.61480,-1.89040,-2.50360,-1.67250,-1.89040,15.25760,-0.62970,-0.64210
2022-12-31,63.77600,50.22050,13.55550,10.72540,4.48510,22.40250,-8.84700,0.05260,-8.79430,-0.57630,-8.21810,-8.21810,-8.24670,-8.84700,-8.84700,3.98600,3.98600,-1.20000,-1.20000,11.49400,,21.25490,-13.87190,-13.87190,-13.78940,-12.93080,0.88470,384.76070,22.22700,4.04910,-12.26370,-16.18110,-11.40020,-12.26370,15.27950,3.0689,3.0285
2022-09-30,,,,,0.10010,,-0.10010,0.53340,0.43330,,0.43330,0.43330,0.43330,-0.10010,-0.10010,0.14500,0.14500,-0.70000,-0.70000,0.01510,-0.41610,,,,,,,,,,-13.06680,-13.06680,0.89960,-13.06680,-22.86990,-0.5701,-0.5701
2022-06-30,,,,,0.09050,,-0.09050,0.06690,-0.02360,,-0.02360,-0.02360,-0.02360,-0.09050,-0.09050,0.14500,0.14500,0.20000,0.20000,0.02740,-0.25450,,,,,,,,,,0.78340,0.78340,-0.04990,0.78340,-20.77770,-2.0234,-2.0172
2022-03-31,23.35620,17.95980,5.39640,3.20310,1.01650,4.21960,1.17690,-0.27700,0.89980,0.01150,0.88840,0.88840,0.87350,1.50000,1.17690,30.00000,30.00000,0.00000,0.00000,0.03110,-0.12450,23.10470,5.03870,5.03870,3.85260,3.73980,0.49900,,,,-36.07900,-36.07900,1.89790,-36.07900,-16.98110,0.01520,0.00900
2021-12-31,,,,,5.48600,,-73.35400,0.52810,9.20940,,9.12460,9.12460,9.20800,-73.35400,8.68130,3.96040,3.96040,13.10000,13.10000,2.45840,,,,,,,,,,,15.55950,28.22790,11.18050,15.55950,14.80740,8.2328,8.2237
2021-09-30,,,,,0.33430,,-0.33430,0.00070,-0.33360,,-0.33360,-0.33360,-0.33360,-0.33430,-0.33430,0.14500,0.14500,-0.60000,-0.60000,0.14380,,,,,,,,,,,18.57150,18.57150,-0.71730,18.57150,-12.38930,-1.7962,-1.7962
2021-06-30,,,,,0.21880,,-0.21880,0.00070,-0.21810,,-0.21810,-0.21810,-0.21810,-0.21880,-0.21880,0.14500,0.14500,-0.40000,-0.40000,3.16940,,,,,,,,,,,14.91230,14.91230,-0.46840,14.91230,-10.08840,-1.065,-1.065
2021-03-31,,,,,0.07870,,-0.07870,-0.00960,-0.08830,,-0.08830,-0.08830,-0.08830,-0.07870,-0.07870,0.13100,0.13100,-9.90000,-9.90000,17.75480,,,,,,,,,,,7.09610,7.09600,-0.18880,7.09610,-8.58400,-1.51530,-1.51530
2020-12-31,,,,0.00000,0.07010,,-0.07010,,-0.07010,0.00000,-0.07010,-0.07010,-0.07010,-0.07010,-0.07010,0.10000,0.10000,-0.70000,-0.70000,0.00080,-2.20410,,,,,,,,,,67.62360,67.62360,-36.59750,67.62360,-0.90140,-0.3596,-0.3596
2020-09-30,,,,,0.03420,,-0.03420,,-0.03420,,-0.03420,-0.03420,-0.03420,-0.03420,-0.03420,0.10000,0.10000,-0.30000,-0.30000,,,,,,,,,,,,,,,,,-0.3014,-0.3014
2020-06-30,,,,,0.00610,,-0.00610,,-0.00610,,-0.00610,-0.00610,-0.00610,-0.00610,-0.00610,0.11500,0.11500,-0.10000,-0.10000,,,,,,,,,,,,,,,,,-0.0562,-0.0562
2020-03-31,,,,,0.00740,,-0.00740,,-0.00740,,-0.00740,-0.00740,-0.00740,-0.00740,-0.00740,0.11500,0.11500,-0.10000,-0.10000,,,,,,,,,,,,,,,,,-0.06080,-0.06080
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
