Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.51700,1.74200,-6.25900,0.60700,-5.65200,-5.65200,-5.65200,-5.65200,-6.25400,-6.25900,10.21400,10.21400,-0.55000,-0.55000,2.40670,,,-43.63470,-43.63470,-25.52150,-43.63470,1.50460,0.6344,0.6351
2024-06-30,8.07400,2.01000,-10.08400,0.03100,-10.05300,-10.05300,-10.05300,-10.05300,-10.07800,-10.08400,5.42900,5.42900,-1.85000,-1.85000,2.93660,,,-53.07250,-53.07250,-34.96570,-53.07250,2.30410,-1.2563,-1.2568
2024-03-31,4.90400,1.97700,-6.88100,0.16700,-6.71400,-6.71400,-6.71400,-6.71400,-6.87700,-6.88100,5.08900,5.08900,-1.32000,-1.32000,2.45630,,,-66.63360,-66.63360,-39.45240,-66.63360,2.05380,-1.26590,-1.26690
2023-12-31,3.86500,1.80200,-5.66700,0.35300,-5.31400,-5.31400,-5.31400,-5.31400,-5.66300,-5.66700,5.07100,5.07100,-1.05000,-1.05000,3.77720,,,-31.84900,-31.84900,-23.32650,-31.84900,3.40090,-0.6706,-0.6723
2023-09-30,2.29200,1.60100,-3.89300,0.07500,-3.81800,-3.81800,-3.81800,-3.81800,-3.89200,-3.89300,5.07600,5.07600,-0.75000,-0.75000,5.53680,,,-17.71690,-17.71690,-14.44840,-17.71690,4.48620,-0.5513,-0.5586
2023-06-30,2.36400,1.44200,-3.80600,3.07200,-0.73400,-0.73400,-0.73400,-0.73400,-3.80600,-3.80600,5.05900,5.05900,-0.15000,-0.15000,7.32460,,,-2.91320,-2.91320,-2.51550,-2.91320,5.27090,-0.4042,-0.4043
2023-03-31,0.63700,1.88300,-2.52000,-0.08400,-2.60400,-2.60400,-2.60400,-2.60400,-2.51900,-2.52000,5.05900,5.05900,-0.51000,-0.51000,2.86730,,,-12.69750,-12.69750,-8.26980,-12.69750,6.03690,-0.50350,-0.50420
2022-12-31,8.51500,1.91500,-10.43000,5.75400,-4.67600,-4.67600,-4.67600,-4.67600,-10.42900,-10.43000,0.32200,0.32200,40.26000,40.26000,2.84560,,,-21.49890,-21.49890,-13.94410,-21.49890,6.83960,52.7612,52.7141
2022-09-30,0.57100,2.53300,-3.10400,-0.00900,-3.11300,-3.11300,-3.11300,-3.11300,-3.10200,-3.10400,0.11110,0.11110,-28.00000,-28.00000,4.66580,,,-52.42510,-52.42510,-41.19360,-52.42510,53.43530,-21.2284,-21.2284
2022-06-30,0.98200,2.23700,-3.21900,-0.08400,-3.30300,-3.30300,-3.30300,-3.30300,-3.21400,-3.21900,0.11110,0.11110,-29.76000,-29.76000,8.06810,,,-37.39390,-37.39390,-32.76140,-37.39390,79.59050,-24.4499,-24.3779
2022-03-31,0.92000,1.95500,-2.87500,,-2.87500,-2.87500,-2.87500,-2.87500,-2.86300,-2.87500,0.11110,0.11110,-25.92000,-25.92000,8.86630,,,-24.10300,-24.10300,-21.35800,-24.10300,107.47830,-43.45560,-43.45560
2021-12-31,1.99700,2.58100,-4.57800,0.01800,-4.57800,-4.57800,-4.57800,-4.57800,-4.56600,-4.57800,0.09640,0.09640,-41.92070,-41.92070,7.68850,,,-31.36260,-31.36260,-27.25160,-31.36260,131.35660,-25.2962,-25.2951
2021-09-30,1.39400,2.07000,-3.46400,-0.00300,-3.46100,-3.46100,-3.46100,-3.46100,-3.45200,-3.46400,0.09290,0.09290,-37.28000,-37.28000,4.12620,,,-56.50610,-56.50610,-42.85010,-56.50610,66.02970,-25.5063,-25.5059
2021-06-30,2.01200,1.91400,-3.92600,0.00500,-3.92100,-3.92100,-3.92100,-3.92100,-3.91400,-3.92600,0.09160,0.09160,-43.24320,-43.24320,8.84870,,,-41.36950,-41.36950,-36.57990,-41.36950,102.17620,-37.9788,-38.0115
2021-03-31,1.14300,2.18700,-3.33000,-0.00600,-3.32400,-3.32400,-3.32400,-3.32400,-3.31800,-3.33000,0.09000,0.09000,-36.03600,-36.03600,14.71820,,,-25.27560,-25.27560,-23.47460,-25.27560,142.50140,-68.25110,-68.25110
2020-12-31,17.77900,1.73600,-19.51500,0.00500,-19.51000,-19.51000,-19.51000,-19.51000,-19.50300,-19.51500,0.06750,0.06750,-285.88590,-285.88590,2.89120,,,-270.85960,-270.85940,-177.88110,-270.85940,87.96960,-36.3774,-36.4073
