Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2023-12-31,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,
2021-12-31,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,
2021-03-31,28.40000,28.40000,28.40000,28.40000,28.40000,-0.49500,-0.49500,28.40000,28.40000,100.00000,100.00000,100.00000,100.00000,-1.74300
2020-12-31,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,
