Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.77800,3.83050,3.94750,2.58810,13.11910,-0.04860,15.75580,-11.80830,-0.30490,-12.11320,-0.07530,-12.03790,-12.03790,-0.02900,-10.67220,-11.80830,-11.80830,12.72300,12.72300,-0.84000,-0.84000,1.40150,,50.75190,-151.81750,-151.81750,-155.73690,-137.21100,0.03300,0.42880,1.32980,67.68040,-6.68410,-9.20720,-5.10580,-6.68410,,0,0
2024-06-30,5.94150,2.17330,3.76830,3.02550,12.10390,0.75210,14.37720,-10.60900,-0.70020,-11.30910,-0.08920,-11.21990,-11.21990,0.07420,-10.72200,-10.60900,-10.60900,12.22200,12.22200,-0.88000,-0.88000,2.05530,,63.42260,-178.55600,-178.55600,-190.34030,-180.45770,0.02550,0.75510,1.41140,63.76470,-5.87420,-7.51120,-4.80910,-5.87420,,0,0
2024-03-31,6.41340,2.63080,3.78260,2.73110,10.95840,0.74790,12.94150,-9.15890,-0.15200,-9.31090,-0.28590,-9.02500,-9.02500,-0.02660,-8.56810,-9.15890,-9.15890,12.21600,12.21600,-0.70000,-0.70000,2.32640,,58.98040,-142.80910,-142.80910,-145.17910,-133.59680,0.02630,0.93430,1.51450,59.42730,-4.45100,-5.62580,-3.70510,-4.45100,16.59670,0.00000,
2023-12-31,5.42850,2.75830,2.67020,1.83100,6.87630,-3.18470,11.89200,-9.22180,-3.20590,-12.42770,-0.10520,-12.32260,-12.32260,-5.19310,-16.94740,-9.22180,-9.22180,11.24600,11.24600,-1.37000,-1.37000,2.37210,,49.18840,-169.87870,-169.87880,-228.93670,-312.19550,0.02140,0.88220,1.29400,69.55410,-5.86350,-7.35400,-4.84820,-5.86350,,-1.224,-1.2459
2023-09-30,4.87890,3.22430,1.65460,4.00450,12.22130,1.62760,14.59820,-12.94350,0.94580,-11.99770,-0.01150,-11.98620,-11.98620,-2.09430,-13.57050,-12.94350,-12.94350,11.74300,11.74300,-1.16000,-1.16000,2.60750,,33.91360,-265.29350,-265.29350,-245.90790,-278.14350,0.01770,0.98000,1.05570,85.25410,-5.23910,-6.61090,-4.33630,-5.23910,1.26910,0,0
2023-06-30,6.51120,3.46220,3.04900,2.59280,16.39300,1.08690,17.89900,-14.85000,-3.60590,-18.45580,-0.07200,-18.38380,-18.38380,-3.82360,-21.80760,-14.85000,-14.85000,10.59800,10.59800,-2.06000,-2.06000,4.12280,,46.82660,-228.06670,-228.06670,-283.44590,-334.92200,0.02320,0.91860,1.12730,79.83390,-8.34810,-10.66880,-6.54600,-8.34810,20.90870,0,0
2023-03-31,4.92400,3.46790,1.45610,3.23350,14.19110,1.07710,16.34760,-14.89140,1.10370,-13.78780,-0.08070,-13.70710,-13.70710,2.73340,-10.39840,-14.89140,-14.89140,10.52300,10.52300,-0.99000,-0.99000,4.68690,,29.57120,-302.42340,-302.42340,-280.00920,-211.17700,0.01690,1.01400,0.83450,107.84680,-5.86950,-7.39850,-4.70960,-5.86950,22.04530,0.00000,
2022-12-31,-87.35910,-51.65100,-35.70800,-0.82200,-6.61750,1.17470,-10.04370,-25.66440,-1.16290,-26.82730,-0.77480,-26.05250,-26.05240,27.66040,1.60790,-25.66440,-25.66440,5.06900,5.06900,22.16020,22.16020,4.22780,,40.87500,29.37800,29.37800,30.70920,-1.84060,-0.27990,-11.39180,-2.09530,-42.95230,-10.70080,-13.36870,-8.34660,-10.70080,26.66040,2.8634,1.8971
2022-09-30,4.29530,2.36750,1.92790,0.79670,16.55960,-0.15940,18.94510,-17.01720,-1.88760,-18.90480,-1.38430,-17.52060,-17.52060,2.62230,-14.89820,-17.01720,-17.01720,70.37200,70.37200,-0.21000,-0.21000,5.04760,,44.88310,-396.17800,-396.17800,-440.12420,-346.84610,0.01590,0.28830,0.07030,1279.73400,,-8.48580,-6.49870,-8.45300,28.00070,0,0
2022-06-30,4.18350,2.82290,1.36060,2.19280,21.39970,-0.55640,24.14890,-22.78830,-125.98130,-148.76960,0.24690,-149.01640,-149.01640,4.83920,-144.17720,-22.78830,-22.78830,3.30950,3.30950,-43.62820,-43.62820,4.89060,0.04200,32.52280,-544.71780,-544.71780,-3556.10500,-3446.33100,0.01500,0.24990,0.09810,917.20760,,-76.89660,-53.55590,-68.04340,29.58570,0,0
2022-03-31,92.04410,56.00620,36.03780,3.82150,32.73800,-0.02900,36.58850,-0.55070,-30.76780,-31.31850,1.66740,-32.98590,-32.98590,,-32.98590,-0.55070,-0.55070,2.08160,2.08160,-15.89210,-15.89210,0.12910,-0.00070,39.15280,-0.59830,-0.59830,-34.02550,-35.83700,0.27040,,,,166.08070,166.08130,-9.69190,166.08070,-29.83270,0.00000,
2021-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2021-09-30,74.65900,48.91940,25.73970,2.17060,28.75220,-0.15670,31.07940,-5.33980,-74.23810,-79.56690,0.84650,-80.41340,-80.41340,,-80.41090,-5.33980,-5.33980,2.02750,2.02750,-39.73010,-39.73010,0.41280,,34.47630,-7.15230,-7.15230,-106.57370,-107.70430,0.21930,,,,240.77210,240.77250,-23.62190,240.77210,-50.15460,0,0
2021-06-30,79.02330,44.33240,34.69090,1.64030,18.15750,-0.07410,19.87200,14.81900,-22.17580,-7.35690,2.41820,-9.77510,-9.77510,,-9.77510,14.81900,14.81900,2.02750,2.02750,-4.79760,-4.79760,2.02820,0.00000,43.89960,18.75270,18.75270,-9.30970,-12.36980,0.23150,,,,33.39240,-3.15280,-2.86360,33.39240,-43.95830,0,0
